PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr5-41029	chr5	140849063	141020713	+	1528.9	7.358	intron (NM_175362, intron 1 of 24)	MTEa|LTR|ERVL-MaLR	65708	NM_175362	108723	Mm.46187	NM_175362	ENSMUSG00000036526	Card11	0610008L17Rik|2410011D02Rik|BIMP3|CARMA1	caspase recruitment domain family, member 11	protein-coding
chr4-47680	chr4	62583515	62698680	+	1524.0	5.003	intron (NM_019492, intron 17 of 19)	MIRb|SINE|MIR	21425	NM_134257	50780	Mm.286753	NM_019492	ENSMUSG00000059810	Rgs3	4930506N09Rik|C2PA-RGS3|C2pa|PDZ-RGS3|RGS3S	regulator of G-protein signaling 3	protein-coding
chr4-52775	chr4	155110074	155252073	+	1518.6	4.740	intron (NM_011385, intron 1 of 6)	MTA_Mm-int|LTR|ERVL-MaLR	41462	NM_011385	20481	Mm.28520	NM_011385	ENSMUSG00000029050	Ski	2310012I02Rik|2610001A11Rik|AA062172|AA589460|BC004088	ski sarcoma viral oncogene homolog (avian)	protein-coding
chr6-43532	chr6	114772552	114938549	+	1516.7	4.053	intron (NM_001253717, intron 19 of 19)	intron (NM_001253717, intron 19 of 19)	66202	NM_177683	232334	Mm.268357	NM_177683		Vgll4	BC048841|VGL-4	vestigial like 4 (Drosophila)	protein-coding
chr7-36065	chr7	16272352	16432461	+	1513.8	3.952	intron (NM_019748, intron 6 of 8)	intron (NM_019748, intron 6 of 8)	35490	NM_001285891	56459	Mm.258530	NM_019748	ENSMUSG00000052833	Sae1	2400010M20Rik|2610044L12Rik|AL033372|AOS1|AW743391|D7Ertd177e|HSPC140|Sua1|Uble1a	SUMO1 activating enzyme subunit 1	protein-coding
chr3-24597	chr3	100951637	101110637	+	1513.2	5.755	Intergenic	Intergenic	-1642	NM_001167906	630146	Mm.190915	NM_001099332	ENSMUSG00000086564	Cd101	Gm1016|Gm734|Igsf2	CD101 antigen	protein-coding
chr10-39536	chr10	79981182	80124294	+	1512.8	5.657	promoter-TSS (NM_008162)	promoter-TSS (NM_008162)	-750	NM_008162	625249	Mm.332810	NM_008162	ENSMUSG00000075706	Gpx4	GPx-4|GSHPx-4|PHGPx|mtPHGPx|snGPx	glutathione peroxidase 4	protein-coding
chr4-15390	chr4	145177748	145324105	+	1510.2	4.812	Intergenic	B4A|SINE|B4	-4056	NM_011610	21938	Mm.235328	NM_011610		Tnfrsf1b	CD120b|TNF-R-II|TNF-R2|TNF-R75|TNF-alphaR2|TNFBR|TNFR80|TNFRII|TNFalpha-R2|Tnfr-1|Tnfr2|p75	tumor necrosis factor receptor superfamily, member 1b	protein-coding
chr13-30672	chr13	49178081	49326948	+	1509.2	5.366	Intergenic	RMER15|LTR|ERVL	-3808	NM_028340	66329	Mm.34308	NM_025491	ENSMUSG00000021384	Susd3	1700017I11Rik|2810440J20Rik	sushi domain containing 3	protein-coding
chr3-33178	chr3	126573469	126765313	+	1509.2	5.743	intron (NM_023813, intron 2 of 17)	intron (NM_023813, intron 2 of 17)	72440	NM_001025438	108058	Mm.255822	NM_023813	ENSMUSG00000053819	Camk2d	2810011D23Rik|8030469K03Rik|CaMK II|[d]-CaMKII	calcium/calmodulin-dependent protein kinase II, delta	protein-coding
chr15-27467	chr15	100657196	100766757	+	1499.3	5.987	intron (NM_001161767, intron 4 of 11)	MTE2a|LTR|ERVL-MaLR	8501	NM_001161768	207839	Mm.22969	NM_172451		Galnt6	4632410F13|AW047994|GalNAc-T6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6	protein-coding
chr15-42469	chr15	9504640	9649967	+	1494.9	6.128	Intergenic	Intergenic	-47427	NM_008372	16197	Mm.389	NM_008372	ENSMUSG00000003882	Il7r	CD127|IL-7Ralpha	interleukin 7 receptor	protein-coding
chr15-38629	chr15	63976053	64115790	+	1493.9	6.121	intron (NM_144846, intron 1 of 11)	intron (NM_144846, intron 1 of 11)	14527	NM_144846	223601	Mm.246108	NM_144846	ENSMUSG00000022378	Fam49b	0910001A06Rik|AW122079	family with sequence similarity 49, member B	protein-coding
chr9-36885	chr9	45174440	45330465	+	1487.1	5.963	Intergenic	Intergenic	14255	NR_106054	102466803		NR_106054		Mir7086	mmu-mir-7086	microRNA mir-7086	ncRNA
chr11-61310	chr11	58092720	58239646	+	1486.2	6.318	intron (NM_172558, intron 2 of 27)	intron (NM_172558, intron 2 of 27)	2356	NM_001166669	216766	Mm.275349	NM_172558	ENSMUSG00000037275	Gemin5	AA407055|AA407208|AI451603|BB194447|C330013N08	gem (nuclear organelle) associated protein 5	protein-coding
chr5-51973	chr5	96855837	97025437	+	1482.4	4.497	Intergenic	Intergenic	-57052	NM_080708	140780	Mm.281490	NM_080708	ENSMUSG00000034663	Bmp2k	4933417M22Rik|AA673486|AV128808|BIKE	BMP2 inducible kinase	protein-coding
chr16-25515	chr16	32056785	32215591	+	1481.3	4.258	Intergenic	RLTR17|LTR|ERVK	29288	NM_146069	224109	Mm.33498	NM_146069	ENSMUSG00000052384	Nrros	E430025L02Rik|Lrcc33|Lrrc33	negative regulator of reactive oxygen species	protein-coding
chr11-44717	chr11	4179955	4351019	+	1478.7	4.127	intron (NM_008501, intron 1 of 3)	intron (NM_008501, intron 1 of 3)	-1309	NM_001039537	16878	Mm.4964	NM_008501	ENSMUSG00000034394	Lif	-	leukemia inhibitory factor	protein-coding
chr12-32390	chr12	86784194	86915703	+	1478.5	5.363	Intergenic	Intergenic	34866	NM_145836	238330	Mm.248358	NM_145836	ENSMUSG00000034168	Irf2bpl	6430527G18Rik|Eap1	interferon regulatory factor 2 binding protein-like	protein-coding
chr1-37832	chr1	171882686	172027813	+	1476.7	6.070	Intergenic	Intergenic	37712	NM_030710	30925	Mm.486404	NM_030710	ENSMUSG00000015314	Slamf6	KAL1|KAL1b|Ly108|NTB-A|NTBA|SF2000	SLAM family member 6	protein-coding
chr5-54524	chr5	123964450	124095722	+	1476.1	5.535	intron (NM_177876, intron 1 of 3)	intron (NM_177876, intron 1 of 3)	2174	NM_177876	330192	Mm.4079	NM_177876	ENSMUSG00000066278	Vps37b	2300007F24Rik|AI415429|BC026744	vacuolar protein sorting 37B (yeast)	protein-coding
chr12-27718	chr12	84148033	84288425	+	1473.0	5.459	intron (NM_001163501, intron 1 of 12)	intron (NM_001163501, intron 1 of 12)	652	NM_001163501	238317	Mm.31256	NM_001163501	ENSMUSG00000042507	Elmsan1	9430029N19Rik|C130039O16Rik|Gm260	ELM2 and Myb/SANT-like domain containing 1	protein-coding
chr19-27146	chr19	29360904	29501483	+	1472.6	4.998	intron (NM_021396, intron 2 of 5)	intron (NM_021396, intron 2 of 5)	20274	NM_021396	58205	Mm.116737	NM_021396		Pdcd1lg2	B7-DC|Btdc|F730015O22Rik|PD-L2	programmed cell death 1 ligand 2	protein-coding
chr13-34520	chr13	30654352	30848043	+	1459.5	6.018	intron (NM_013674, intron 2 of 8)	intron (NM_013674, intron 2 of 8)	1939	NM_013674	16364	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding
chr9-19687	chr9	61618854	61766294	+	1455.0	6.529	Intergenic	Intergenic	221936	NM_018853	56040	Mm.3158	NM_018853	ENSMUSG00000007892	Rplp1	2410042H16Rik|Arpp1|C430017H15Rik	ribosomal protein, large, P1	protein-coding
chr8-32496	chr8	124229189	124346989	+	1453.9	6.487	intron (NM_139272, intron 1 of 15)	intron (NM_139272, intron 1 of 15)	56695	NM_139272	108148	Mm.33808	NM_139272	ENSMUSG00000089704	Galnt2	AI480629	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
chr1-45109	chr1	51449792	51602996	+	1453.2	6.228	Intergenic	Intergenic	-47995	NM_028696	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding
chr1-60451	chr1	51996190	52169854	+	1453.0	7.576	exon (NM_011487, exon 13 of 24)	exon (NM_011487, exon 13 of 24)	-36416	NM_009283	20846	Mm.277406	NM_009283	ENSMUSG00000026104	Stat1	2010005J02Rik|AA408197	signal transducer and activator of transcription 1	protein-coding
chr11-65782	chr11	109325802	109496613	+	1447.6	6.073	Intergenic	Intergenic	-14739	NM_025275	13929	Mm.211850	NM_025275	ENSMUSG00000020610	Amz2	AA408420|ESTM12|X83328	archaelysin family metallopeptidase 2	protein-coding
chr7-7523	chr7	24365061	24472521	+	1443.1	5.241	intron (NM_028047, intron 9 of 13)	MYSERV16_I-int|LTR|ERVK	19163	NM_028047	71997	Mm.150977	NM_028047	ENSMUSG00000002210	Smg9	1500002O20Rik|AI429693|N28092	smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)	protein-coding
chr11-56696	chr11	104580629	104703723	+	1442.7	6.242	intron (NM_016780, intron 8 of 14)	intron (NM_016780, intron 8 of 14)	34176	NM_016780	16416	Mm.87150	NM_016780	ENSMUSG00000020689	Itgb3	CD61|GP3A|INGRB3	integrin beta 3	protein-coding
chr11-34235	chr11	115403286	115537165	+	1440.9	6.172	intron (NM_001080934, intron 3 of 3)	intron (NM_001080934, intron 3 of 3)	-5452	NM_177778	276905	Mm.38019	NM_177778	ENSMUSG00000057219	Armc7	A630084C13|BC023126	armadillo repeat containing 7	protein-coding
chr7-61166	chr7	122242248	122435427	+	1433.7	6.421	intron (NM_008855, intron 2 of 16)	intron (NM_008855, intron 2 of 16)	49712	NM_008855	18751	Mm.207496	NM_008855	ENSMUSG00000052889	Prkcb	A130082F03Rik|PKC-Beta|Pkcb|Prkcb1|Prkcb2	protein kinase C, beta	protein-coding
chr2-32945	chr2	172963373	173096558	+	1428.2	6.587	intron (NM_019547, intron 3 of 3)	intron (NM_019547, intron 3 of 3)	8063	NM_019547	56190	Mm.485782	NM_019547	ENSMUSG00000027510	Rbm38	Rnpc1|Seb4|Seb4l	RNA binding motif protein 38	protein-coding
chr4-37487	chr4	133046141	133200828	+	1428.0	6.024	Intergenic	Intergenic	-7149	NM_153423	242687	Mm.23566	NM_153423	ENSMUSG00000028868	Wasf2	AW742646|D4Ertd13e|WAVE2	WAS protein family, member 2	protein-coding
chr1-21084	chr1	43445467	43565661	+	1421.8	6.034	intron (NM_010879, intron 1 of 4)	intron (NM_010879, intron 1 of 4)	59813	NM_010879	17974	Mm.389903	NM_010879	ENSMUSG00000066877	Nck2	4833426I10Rik|Grb4|NCKbeta|Nck-2	non-catalytic region of tyrosine kinase adaptor protein 2	protein-coding
chr17-22714	chr17	31718889	31875762	+	1421.4	6.979	Intergenic	Intergenic	58467	NM_010831	17691	Mm.290941	NM_010831	ENSMUSG00000024042	Sik1	Msk|Sik|Snf1lk	salt inducible kinase 1	protein-coding
chr6-52519	chr6	136423268	136555694	+	1419.9	6.007	Intergenic	Intergenic	-29370	NM_019426	54343	Mm.173271	NM_019426	ENSMUSG00000030213	Atf7ip	2610204M12Rik|AM|Mcaf1	activating transcription factor 7 interacting protein	protein-coding
chr4-51110	chr4	135061324	135206853	+	1413.7	5.489	intron (NM_019732, intron 1 of 5)	MLTR14|LTR|ERV1	13443	NM_019732	12399	Mm.378894	NM_019732	ENSMUSG00000070691	Runx3	AML2|Cbfa3|Pebp2a3	runt related transcription factor 3	protein-coding
chr1-8412	chr1	165763816	165868190	+	1412.1	6.020	intron (NM_031162, intron 1 of 7)	intron (NM_031162, intron 1 of 7)	27322	NM_001113392	12503	Mm.217308	NM_031162	ENSMUSG00000005763	Cd247	4930549J05Rik|A430104F18Rik|AW552088|Cd3|Cd3-eta|Cd3-zeta|Cd3h|Cd3z|Cd3zeta|T3z|Tcrk|Tcrz	CD247 antigen	protein-coding
chr14-34231	chr14	55539220	55682457	+	1411.7	5.228	TTS (NM_001159417)	TTS (NM_001159417)	6259	NM_001159418	16391	Mm.2032	NM_008394	ENSMUSG00000002325	Irf9	Irf-9|Isgf3g|p48	interferon regulatory factor 9	protein-coding
chrX-1511	chrX	167067945	167234023	+	1405.0	6.098	Intergenic	Intergenic	58234	NM_021278	19241	Mm.142729	NM_021278	ENSMUSG00000049775	Tmsb4x	Ptmb4|Tb4	thymosin, beta 4, X chromosome	protein-coding
chr1-27512	chr1	85641320	85778813	+	1402.7	6.632	TTS (NM_013673)	TTS (NM_013673)	26540	NM_177055	319997	Mm.116691	NM_177055	ENSMUSG00000052760	A630001G21Rik	-	RIKEN cDNA A630001G21 gene	protein-coding
chr9-37830	chr9	63641326	63760054	+	1400.0	5.837	intron (NM_016769, intron 1 of 8)	B4A|SINE|B4	57304	NM_016769	17127	Mm.7320	NM_016769	ENSMUSG00000032402	Smad3	AU022421|Madh3	SMAD family member 3	protein-coding
chr15-25279	chr15	60087420	60195389	+	1397.0	6.086	Intergenic	Intergenic	-124786	NM_027668	71088	Mm.425950	NM_027668	ENSMUSG00000071749	4933412E24Rik	-	RIKEN cDNA 4933412E24 gene	protein-coding
chr18-22621	chr18	60700950	60866602	+	1394.9	6.117	Intergenic	Intergenic	9180	NM_020600	20044	Mm.43778	NM_020600	ENSMUSG00000024608	Rps14	2600014J02Rik|AL023078	ribosomal protein S14	protein-coding
chr2-16782	chr2	31060425	31185103	+	1390.0	5.056	intron (NM_001038700, intron 1 of 14)	ORR1E|LTR|ERVL-MaLR	19244	NM_001038700	14269	Mm.52297	NM_019406	ENSMUSG00000075415	Fnbp1	1110057E06Rik|2210010H06Rik|FBP1|Fbp17	formin binding protein 1	protein-coding
chr15-37032	chr15	27481907	27642180	+	1385.8	6.582	intron (NM_020332, intron 4 of 11)	intron (NM_020332, intron 4 of 11)	-9451	NR_106065	102466808		NR_106065		Mir7117	mmu-mir-7117	microRNA mir-7117	ncRNA
chr12-38420	chr12	102270767	102397960	+	1383.6	6.226	intron (NM_177620, intron 3 of 9)	intron (NM_177620, intron 3 of 9)	50722	NM_001161365	217835	Mm.24145	NM_177620	ENSMUSG00000044456	Rin3	6430500K07|C86933	Ras and Rab interactor 3	protein-coding
chr6-37435	chr6	108435810	108605541	+	1380.8	6.580	intron (NM_010585, intron 59 of 61)	intron (NM_010585, intron 59 of 61)	30932	NR_106121	102465766		NR_106121		Mir7661	mmu-mir-7661	microRNA mir-7661	ncRNA
chr5-23487	chr5	140556928	140663938	+	1380.2	6.710	intron (NM_008494, intron 1 of 7)	intron (NM_008494, intron 1 of 7)	3092	NM_008494	16848	Mm.12834	NM_008494	ENSMUSG00000029570	Lfng	AW061165	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	protein-coding
chr16-3494	chr16	95701982	95876028	+	1379.0	8.123	Intergenic	Intergenic	86598	NM_011809	23872	Mm.290207	NM_011809	ENSMUSG00000022895	Ets2	AU022856|Ets-2	E26 avian leukemia oncogene 2, 3' domain	protein-coding
chr10-14710	chr10	93066011	93228943	+	1368.9	7.880	Intergenic	Intergenic	-13399	NM_146239	237459	Mm.217404	NM_146239	ENSMUSG00000020015	Cdk17	6430598J10Rik|Pctk2	cyclin-dependent kinase 17	protein-coding
chr8-33347	chr8	14931639	15042648	+	1368.0	8.434	intron (NM_001037736, intron 25 of 27)	(TG)n|Simple_repeat|Simple_repeat	-23882	NM_029116	74901	Mm.46675	NM_029116	ENSMUSG00000055675	Kbtbd11	2900016B01Rik|4930465M17Rik|mKIAA0711	kelch repeat and BTB (POZ) domain containing 11	protein-coding
chr3-37890	chr3	106447253	106573756	+	1363.1	8.288	intron (NM_001293694, intron 5 of 8)	intron (NM_001293694, intron 5 of 8)	24464	NM_028110	72121	Mm.14816	NM_028110	ENSMUSG00000027901	Dennd2d	2010308M01Rik|AI451421	DENN/MADD domain containing 2D	protein-coding
chr19-19634	chr19	5784740	5898606	+	1360.4	8.997	TTS (NR_003513)	TTS (NR_003513)	3805	NR_003513	66961	Mm.281895	NR_003513		Neat1	2310043N10Rik|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
chr10-41614	chr10	122697393	122830944	+	1348.2	8.947	intron (NM_176919, intron 1 of 8)	intron (NM_176919, intron 1 of 8)	84853	NR_106182	102466884		NR_106182		Mir8104	mmu-mir-8104	microRNA mir-8104	ncRNA
chr15-36602	chr15	6519254	6627213	+	1345.2	7.415	Intergenic	Intergenic	-6614	NM_011815	23880	Mm.170905	NM_011815		Fyb	ADAP|B630013F22Rik|FYB-120/130|Slap130|p120/130|p120/p130	FYN binding protein	protein-coding
chr6-42529	chr6	90653254	90809870	+	1340.2	7.436	intron (NM_001134384, intron 1 of 13)	intron (NM_001134384, intron 1 of 13)	-15033	NM_001134383	232227	Mm.196943	NM_182784	ENSMUSG00000034312	Iqsec1	AW561907|BC026481|BRAG2|D6Ertd349e|cI-43	IQ motif and Sec7 domain 1	protein-coding
chr8-42449	chr8	105594049	105758965	+	1338.1	6.730	intron (NM_181322, intron 9 of 11)	L1Md_F2|LINE|L1	-14399	NM_001033320	234695	Mm.471640	NM_001033320	ENSMUSG00000050357	Rltpr	CG1399-PB|D130029J02Rik|Gm585	RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing	protein-coding
chr11-75254	chr11	103130769	103289797	+	1333.9	8.119	intron (NM_177801, intron 2 of 4)	B4A|SINE|B4	-1735	NM_001254724	69441	Mm.380648	NM_027082	ENSMUSG00000020940	1700023F06Rik	-	RIKEN cDNA 1700023F06 gene	protein-coding
chr3-21680	chr3	101191154	101312487	+	1332.9	5.803	Intergenic	Intergenic	36119	NM_013486	12481	Mm.22842	NM_013486	ENSMUSG00000027863	Cd2	LFA-2|Ly-37|Ly37	CD2 antigen	protein-coding
chr2-58786	chr2	35405847	35510094	+	1330.7	5.339	intron (NM_010283, intron 1 of 8)	AT_rich|Low_complexity|Low_complexity	3455	NM_010283	14594	Mm.281124	NM_010283	ENSMUSG00000035778	Ggta1	AW108479|GALT|Gal|Ggta|Ggta-1|alpha3GalT	glycoprotein galactosyltransferase alpha 1, 3	protein-coding
chr14-34578	chr14	60688947	60785207	+	1329.7	4.804	intron (NM_001033272, intron 4 of 12)	MIRc|SINE|MIR	-31057	NM_183175	239126	Mm.319636	NM_183175	ENSMUSG00000071347	C1qtnf9	9130217G22Rik|CTRP9|Ciqtnf9	C1q and tumor necrosis factor related protein 9	protein-coding
chr9-44989	chr9	96322314	96453097	+	1328.5	4.670	Intergenic	Intergenic	-23406	NM_007502	11933	Mm.424	NM_007502	ENSMUSG00000032412	Atp1b3	AA409958|AI664000|AW212096	ATPase, Na+/K+ transporting, beta 3 polypeptide	protein-coding
chr7-38365	chr7	80287542	80458470	+	1318.6	5.502	Intergenic	B2_Mm2|SINE|B2	-1631	NM_172903	140481	Mm.269245	NM_172903	ENSMUSG00000038886	Man2a2	1700052O22Rik|4931438M07Rik|AI480988|MX|Man IIx	mannosidase 2, alpha 2	protein-coding
chr3-43417	chr3	100458566	100584820	+	1318.4	5.711	Intergenic	Intergenic	-32501	NM_001142952	74645	Mm.226900	NM_001142952		Fam46c	4930431B09Rik|AI449797	family with sequence similarity 46, member C	protein-coding
chr5-14884	chr5	62680856	62868038	+	1317.7	5.364	Intergenic	MERVL-int|LTR|ERVL	-8270	NM_178407	212285	Mm.244403	NM_178407	ENSMUSG00000037999	Arap2	Centd1|Gm148|mKIAA0580	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	protein-coding
chr7-42870	chr7	58655682	58795878	+	1315.5	6.291	intron (NM_009728, intron 1 of 20)	intron (NM_009728, intron 1 of 20)	67578	NM_009728	11982	Mm.135129	NM_009728	ENSMUSG00000025324	Atp10a	Atp10c|pfatp	ATPase, class V, type 10A	protein-coding
chr5-16969	chr5	72711713	72869313	+	1314.1	6.847	intron (NM_013689, intron 3 of 17)	RLTR17D_Mm|LTR|ERVK	-37736	NM_001289495	22165	Mm.3264	NM_013698	ENSMUSG00000054892	Txk	A130089B16Rik|Btkl|PTK-RL-18|PTK4|Rlk	TXK tyrosine kinase	protein-coding
chr3-42435	chr3	88484017	88636681	+	1305.6	4.957	intron (NM_033526, intron 5 of 10)	B1F2|SINE|Alu	6633	NM_033526	94232	Mm.303059	NM_033526	ENSMUSG00000008604	Ubqln4	A1Up|A1u|AI663987|CIP75|UBIN	ubiquilin 4	protein-coding
chr11-68929	chr11	32522720	32625930	+	1303.5	4.946	intron (NM_009288, intron 2 of 18)	intron (NM_009288, intron 2 of 18)	41059	NM_009288	20868	Mm.8235	NM_009288	ENSMUSG00000020272	Stk10	Gek1|Lok|mKIAA4026	serine/threonine kinase 10	protein-coding
chr7-14774	chr7	83564844	83687787	+	1303.1	6.072	Intergenic	RLTR20B5_MM|LTR|ERVK	-5702	NM_023377	170460	Mm.357953	NM_023377	ENSMUSG00000046027	Stard5	2310058G22Rik|AI607880|D7Ertd152e	StAR-related lipid transfer (START) domain containing 5	protein-coding
chr6-48756	chr6	83380514	83508478	+	1297.3	5.821	intron (NR_028382, intron 2 of 2)	MIRb|SINE|MIR	2741	NR_028382	320775	Mm.434334	NR_028382	ENSMUSG00000051844	B230319C09Rik	-	RIKEN cDNA B230319C09 gene	ncRNA
chr5-40635	chr5	137596350	137758687	+	1293.3	5.902	intron (NM_145566, intron 1 of 4)	B2_Mm2|SINE|B2	7099	NM_178162	231801	Mm.260869	NM_145566	ENSMUSG00000029722	Agfg2	A630095P14Rik|Hrbl|RABR	ArfGAP with FG repeats 2	protein-coding
chr6-12297	chr6	113623679	113749658	+	1293.1	4.389	intron (NM_172161, intron 10 of 12)	intron (NM_172161, intron 10 of 12)	-10831	NM_001033463	381801	Mm.333322	NM_001033463	ENSMUSG00000056952	Tatdn2	AI646012|mKIAA0218	TatD DNase domain containing 2	protein-coding
chr12-45840	chr12	107874111	108006013	+	1292.9	4.066	intron (NM_001286343, intron 1 of 1)	intron (NM_001286343, intron 1 of 1)	63352	NM_001286343	58208	Mm.392694	NM_021399	ENSMUSG00000048251	Bcl11b	9130430L19Rik|AI604821|B630002E05Rik|BCL-11B|Ctip2|Rit1	B cell leukemia/lymphoma 11B	protein-coding
chr19-24323	chr19	41827215	42042494	+	1286.5	4.018	5' UTR (NM_023740, exon 2 of 11)	5' UTR (NM_023740, exon 2 of 11)	1382	NM_023740	74168	Mm.20387	NM_023740	ENSMUSG00000025157	Zdhhc16	1500015N03Rik|Aph2	zinc finger, DHHC domain containing 16	protein-coding
chr3-17776	chr3	9751308	9899899	+	1285.5	2.963	intron (NM_001195031, intron 1 of 8)	URR1B|DNA|hAT-Charlie	8076	NM_053182	94212	Mm.23897	NM_053182	ENSMUSG00000027508	Pag1	Cbp|F730007C19Rik|Pag	phosphoprotein associated with glycosphingolipid microdomains 1	protein-coding
chr10-48366	chr10	127055543	127171160	+	1283.7	2.220	intron (NM_177614, intron 5 of 13)	L1MB4|LINE|L1	7809	NM_177614	216440	Mm.295246	NM_177614	ENSMUSG00000040462	Os9	4632413K17Rik|AU022351	amplified in osteosarcoma	protein-coding
chr2-68007	chr2	32485373	32571637	+	1283.0	2.209	Intergenic	ID_B1|SINE|B4	-6854	NM_153560	98952	Mm.4065	NM_153560	ENSMUSG00000039157	Fam102a	AI426465|C230093N12Rik|Eeig1	family with sequence similarity 102, member A	protein-coding
chr15-45212	chr15	67086691	67181477	+	1282.6	2.598	intron (NM_009177, intron 2 of 8)	intron (NM_009177, intron 2 of 8)	42798	NM_009177	20442	Mm.248334	NM_009177	ENSMUSG00000013846	St3gal1	5330418N22Rik|AI467004|ST3GalI|Siat4|Siat4a|St3gal-1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein-coding
chr11-23671	chr11	106083674	106217710	+	1282.4	1.623	intron (NM_011947, intron 12 of 15)	intron (NM_011947, intron 12 of 15)	9450	NM_172397	67803	Mm.21687	NM_172397	ENSMUSG00000040699	Limd2	0610025L06Rik|AI413966	LIM domain containing 2	protein-coding
chr8-29606	chr8	46814721	46949944	+	1282.1	1.528	Intergenic	Intergenic	-104593	NM_177304	320981	Mm.211429	NM_177304	ENSMUSG00000038173	Enpp6	4833421B01Rik|B830047L21Rik|D8Ertd514e|E-NPP 6|Npp6	ectonucleotide pyrophosphatase/phosphodiesterase 6	protein-coding
chr4-12352	chr4	150486274	150626273	+	1281.8	1.892	intron (NM_001085492, intron 11 of 22)	intron (NM_001085492, intron 11 of 22)	95901	NM_173774	242773	Mm.29280	NM_173774		Slc45a1	C230078B22|Dnb5	solute carrier family 45, member 1	protein-coding
chr6-38180	chr6	124656098	124782935	+	1281.7	1.822	Intergenic	Intergenic	-1126	NR_029792	723944		NR_029792		Mir200c	Mirn200c	microRNA 200c	ncRNA
chr17-21715	chr17	6722973	6835755	+	1279.6	1.842	intron (NM_009510, intron 1 of 12)	intron (NM_009510, intron 1 of 12)	3416	NM_009510	22350	Mm.277812	NM_009510	ENSMUSG00000052397	Ezr	AW146364|R75297|Vil2|p81	ezrin	protein-coding
chr18-9359	chr18	49978727	50098716	+	1278.1	2.158	intron (NM_001177760, intron 1 of 2)	intron (NM_001177760, intron 1 of 2)	-14561	NM_134131	106869	Mm.27740	NM_134131	ENSMUSG00000062210	Tnfaip8	AA987150|E130304C20Rik|ENSMUSG00000073567|Gg2-1|Gm10539|Nded|Ssc-2	tumor necrosis factor, alpha-induced protein 8	protein-coding
chr12-37185	chr12	80198726	80369951	+	1277.7	2.159	Intergenic	Intergenic	-23967	NM_134156	109711	Mm.253564	NM_134156	ENSMUSG00000015143	Actn1	3110023F10Rik|Actn1a	actinin, alpha 1	protein-coding
chr1-56033	chr1	143808098	144010610	+	1273.9	2.506	Intergenic	L1Md_F2|LINE|L1	94795	NM_009061	19735	Mm.28262	NM_009061	ENSMUSG00000026360	Rgs2	GOS8	regulator of G-protein signaling 2	protein-coding
chr5-34289	chr5	122202159	122317880	+	1273.6	3.401	intron (NR_104441, intron 2 of 12)	B1_Mm|SINE|Alu	4441	NR_104441	654470	Mm.28804	NM_001039153	ENSMUSG00000038593	Tctn1	G730031O11Rik|Tect1	tectonic family member 1	protein-coding
chr5-53146	chr5	112219944	112348881	+	1273.1	3.025	intron (NM_009419, intron 1 of 6)	intron (NM_009419, intron 1 of 6)	7705	NM_009419	22022	Mm.250631	NM_009419	ENSMUSG00000029344	Tpst2	AI448750|D5Ucla3|Tango13b|grm|grt	protein-tyrosine sulfotransferase 2	protein-coding
chr11-9059	chr11	11497682	11588767	+	1271.3	3.292	Intergenic	Intergenic	53958	NM_028669	73862	Mm.159077	NM_028669	ENSMUSG00000020191	4930415F15Rik	-	RIKEN cDNA 4930415F15 gene	protein-coding
chr19-28663	chr19	53118504	53259622	+	1270.9	3.269	intron (NM_013758, intron 1 of 15)	intron (NM_013758, intron 1 of 15)	45066	NM_013758	27360	Mm.426080	NM_013758	ENSMUSG00000025026	Add3	AI463285|R75380	adducin 3 (gamma)	protein-coding
chr2-22801	chr2	167887944	168006208	+	1268.9	2.953	intron (NM_011201, intron 1 of 8)	RSINE1|SINE|B4	14749	NM_011201	19246	Mm.277916	NM_011201	ENSMUSG00000027540	Ptpn1	PTP-1B|PTP-HA2|PTP1B	protein tyrosine phosphatase, non-receptor type 1	protein-coding
