PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr3-56968	chr3	126571382	126770372	+	1863.8	8.801	intron (NM_023813, intron 2 of 17)	intron (NM_023813, intron 2 of 17)	73926	NM_001025439	108058	Mm.255822	NM_023813	ENSMUSG00000053819	Camk2d	2810011D23Rik|8030469K03Rik|CaMK II|[d]-CaMKII	calcium/calmodulin-dependent protein kinase II, delta	protein-coding
chr2-76532	chr2	43722951	43882914	+	1849.5	9.256	intron (NM_153820, intron 2 of 13)	Charlie1b|DNA|hAT-Charlie	54105	NM_001025377	76117	Mm.217350	NM_153820	ENSMUSG00000049744	Arhgap15	5830480G12Rik	Rho GTPase activating protein 15	protein-coding
chr10-63583	chr10	21151061	21335541	+	1847.2	9.884	Intergenic	Intergenic	-52678	NM_019702	56422	Mm.25527	NM_019702	ENSMUSG00000019977	Hbs1l	2810035F15Rik|AI326327|eRFS	Hbs1-like (S. cerevisiae)	protein-coding
chr2-45915	chr2	22744882	22876937	+	1839.6	14.460	intron (NM_019456, intron 1 of 13)	intron (NM_019456, intron 1 of 13)	36582	NM_019456	54519	Mm.14255	NM_019456	ENSMUSG00000026786	Apbb1ip	9930118P07Rik|Prp48	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	protein-coding
chr9-69281	chr9	41046139	41182776	+	1838.5	14.667	intron (NM_176860, intron 1 of 13)	intron (NM_176860, intron 1 of 13)	43037	NM_176860	72828	Mm.133615	NM_176860	ENSMUSG00000032020	Ubash3b	2810457I06Rik|BB125008|TULA-2|p70	ubiquitin associated and SH3 domain containing, B	protein-coding
chr19-25064	chr19	34549166	34650902	+	1835.3	13.548	promoter-TSS (NM_001110517)	promoter-TSS (NM_001110517)	-607	NM_001110517	667373	Mm.371956	NM_001101605	ENSMUSG00000079339	Gm14446	OTTMUSG00000016644	predicted gene 14446	protein-coding
chr14-49763	chr14	66170978	66282728	+	1829.0	12.668	intron (NM_001162365, intron 1 of 30)	L3|LINE|CR1	-13301	NM_001162366	19229	Mm.21613	NM_172498	ENSMUSG00000059456	Ptk2b	CADTK|CAKB|CAKbeta|E430023O05Rik|FADK2|FAK2|PYK2|Raftk	PTK2 protein tyrosine kinase 2 beta	protein-coding
chr7-39823	chr7	142324164	142504952	+	1819.2	12.502	Intergenic	B3A|SINE|B2	-20419	NM_018802	55925	Mm.213002	NM_018802	ENSMUSG00000031098	Syt8	-	synaptotagmin VIII	protein-coding
chr2-75788	chr2	31024891	31187256	+	1788.7	13.172	intron (NM_001038700, intron 1 of 14)	B3|SINE|B2	-9573	NM_001177650	14269	Mm.52297	NM_019406	ENSMUSG00000075415	Fnbp1	1110057E06Rik|2210010H06Rik|FBP1|Fbp17	formin binding protein 1	protein-coding
chr11-34657	chr11	98438370	98563381	+	1780.0	13.044	intron (NM_011771, intron 3 of 7)	intron (NM_011771, intron 3 of 7)	45156	NM_011771	22780	Mm.133367	NM_011771	ENSMUSG00000018168	Ikzf3	5830411O07Rik|Aiolos|Zfpn1a3|Znfn1a3	IKAROS family zinc finger 3	protein-coding
chr5-40134	chr5	64952362	65139690	+	1777.6	13.028	Intergenic	Intergenic	75708	NR_030577	100124451		NR_030577	miRBase:MI0005518	Mir574	Mirn574|mmu-mir-574	microRNA 574	ncRNA
chr3-55567	chr3	100424477	100583345	+	1769.0	12.625	Intergenic	Intergenic	-14719	NM_001142952	74645	Mm.226900	NM_001142952		Fam46c	4930431B09Rik|AI449797	family with sequence similarity 46, member C	protein-coding
chr13-43190	chr13	95682589	95918914	+	1767.7	11.527	intron (NM_027711, intron 2 of 35)	intron (NM_027711, intron 2 of 35)	91171	NM_027711	544963	Mm.38878	NM_027711	ENSMUSG00000021676	Iqgap2	4933417J23Rik|A630053O10|AI788777	IQ motif containing GTPase activating protein 2	protein-coding
chr11-66619	chr11	11496335	11589957	+	1755.8	7.478	Intergenic	Intergenic	53880	NM_028669	73862	Mm.159077	NM_028669	ENSMUSG00000020191	4930415F15Rik	-	RIKEN cDNA 4930415F15 gene	protein-coding
chr2-63383	chr2	102835813	103026423	+	1755.6	7.385	Intergenic	LTR33|LTR|ERVL	-29453	NM_009851	12505	Mm.423621	NM_009851	ENSMUSG00000005087	Cd44	AU023126|AW121933|AW146109|HERMES|Ly-24|Pgp-1	CD44 antigen	protein-coding
chr1-51693	chr1	51448720	51597870	+	1752.4	7.052	Intergenic	Intergenic	-44896	NM_028696	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding
chr6-46296	chr6	114777087	114938807	+	1748.7	5.811	intron (NM_001253717, intron 19 of 19)	intron (NM_001253717, intron 19 of 19)	63805	NM_177683	232334	Mm.268357	NM_177683		Vgll4	BC048841|VGL-4	vestigial like 4 (Drosophila)	protein-coding
chr6-74793	chr6	136422599	136562615	+	1745.9	7.605	Intergenic	Intergenic	-26244	NM_019426	54343	Mm.173271	NM_019426	ENSMUSG00000030213	Atf7ip	2610204M12Rik|AM|Mcaf1	activating transcription factor 7 interacting protein	protein-coding
chr1-95735	chr1	165759972	165884264	+	1741.1	6.362	intron (NM_031162, intron 1 of 7)	intron (NM_031162, intron 1 of 7)	33437	NM_001113393	12503	Mm.217308	NM_031162	ENSMUSG00000005763	Cd247	4930549J05Rik|A430104F18Rik|AW552088|Cd3|Cd3-eta|Cd3-zeta|Cd3h|Cd3z|Cd3zeta|T3z|Tcrk|Tcrz	CD247 antigen	protein-coding
chr9-69995	chr9	46004902	46217182	+	1733.0	7.057	intron (NM_027498, intron 1 of 24)	intron (NM_027498, intron 1 of 24)	98222	NM_027498	70661	Mm.219459	NM_027498	ENSMUSG00000034135	Sik3	5730525O22Rik|9030204A07Rik|AI447252|AI846254|AI849445|Qsk|SIK-3|mKIAA0999	SIK family kinase 3	protein-coding
chr1-78685	chr1	51996214	52150803	+	1732.7	6.568	intron (NM_011487, intron 6 of 23)	intron (NM_011487, intron 6 of 23)	-45930	NM_009283	20846	Mm.277406	NM_009283	ENSMUSG00000026104	Stat1	2010005J02Rik|AA408197	signal transducer and activator of transcription 1	protein-coding
chr11-28584	chr11	53734998	53872525	+	1732.0	6.392	intron (NR_033332, intron 3 of 3)	ID_B1|SINE|B4	33288	NM_001159396	16362	Mm.105218	NM_008390	ENSMUSG00000018899	Irf1	AU020929|Irf-1	interferon regulatory factor 1	protein-coding
chr7-76752	chr7	58605413	58779996	+	1719.3	7.725	intron (NM_009728, intron 1 of 20)	intron (NM_009728, intron 1 of 20)	34502	NM_009728	11982	Mm.135129	NM_009728	ENSMUSG00000025324	Atp10a	Atp10c|pfatp	ATPase, class V, type 10A	protein-coding
chr4-72054	chr4	145192639	145324211	+	1715.3	9.090	Intergenic	Intergenic	-11555	NM_011610	21938	Mm.235328	NM_011610		Tnfrsf1b	CD120b|TNF-R-II|TNF-R2|TNF-R75|TNF-alphaR2|TNFBR|TNFR80|TNFRII|TNFalpha-R2|Tnfr-1|Tnfr2|p75	tumor necrosis factor receptor superfamily, member 1b	protein-coding
chr5-54767	chr5	62677857	62868055	+	1710.7	7.852	Intergenic	MT2_Mm|LTR|ERVL	-6779	NM_178407	212285	Mm.244403	NM_178407	ENSMUSG00000037999	Arap2	Centd1|Gm148|mKIAA0580	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	protein-coding
chr5-66545	chr5	140502495	140665083	+	1710.6	8.081	Intergenic	Intergenic	-18722	NM_030022	77998	Mm.160040	NM_030022	ENSMUSG00000036586	Grifin	E130101O17Rik	galectin-related inter-fiber protein	protein-coding
chrX-4299	chrX	167063793	167213238	+	1708.0	10.250	Intergenic	B3A|SINE|B2	-68145	NM_001101606	667794	Mm.302232	NM_001101606		Gm8817	EG667794	predicted gene 8817	protein-coding
chr1-88002	chr1	39823025	39987037	+	1696.8	8.299	intron (NM_008696, intron 2 of 30)	B4A|SINE|B4	4118	NM_001252200	26921	Mm.491139	NM_008696	ENSMUSG00000026074	Map4k4	9430080K19Rik|AU043147|AU045934|AW046177|HGK|Nik	mitogen-activated protein kinase kinase kinase kinase 4	protein-coding
chr6-25297	chr6	22314734	22474815	+	1683.3	8.144	Intergenic	Intergenic	-38693	NM_138587	27999	Mm.490307	NM_138587	ENSMUSG00000029672	Fam3c	D6Wsu176e|Ilei	family with sequence similarity 3, member C	protein-coding
chr5-71797	chr5	100550118	100675135	+	1683.1	8.605	Intergenic	L1VL2|LINE|L1	-40421	NM_139198	231507	Mm.34609	NM_139198	ENSMUSG00000029322	Plac8	C15|D5Wsu111e	placenta-specific 8	protein-coding
chr9-45277	chr9	44947010	45103399	+	1681.3	9.707	Intergenic	MER94|DNA|hAT-Blackjack	-15614	NM_007648	12501	Mm.210361	NM_007648	ENSMUSG00000032093	Cd3e	AI504783|CD3|CD3epsilon|T3e	CD3 antigen, epsilon polypeptide	protein-coding
chr11-48424	chr11	87686610	87776961	+	1666.8	9.764	exon (NM_172448, exon 9 of 10)	exon (NM_172448, exon 9 of 10)	-5780	NM_009296	20922	Mm.622	NM_009296	ENSMUSG00000020485	Supt4a	AL022777|Supt4h|Supt4h1|Supt4h1a	suppressor of Ty 4A	protein-coding
chr3-55778	chr3	101195626	101304513	+	1666.5	10.350	Intergenic	Intergenic	37870	NM_013486	12481	Mm.22842	NM_013486	ENSMUSG00000027863	Cd2	LFA-2|Ly-37|Ly37	CD2 antigen	protein-coding
chr7-59415	chr7	16242151	16432027	+	1663.5	8.615	intron (NM_019748, intron 6 of 8)	intron (NM_019748, intron 6 of 8)	27506	NM_133234	170770	Mm.7660	NM_133234	ENSMUSG00000002083	Bbc3	PUMA|PUMA/JFY1	BCL2 binding component 3	protein-coding
chr4-13675	chr4	40773171	40905968	+	1656.0	9.126	intron (NM_022305, intron 1 of 5)	intron (NM_022305, intron 1 of 5)	10569	NR_039584	100628614		NR_039584		Mir5123	mmu-mir-5123|mu-mir-5123	microRNA 5123	ncRNA
chr4-47798	chr4	62583501	62710045	+	1648.9	9.033	intron (NM_019492, intron 18 of 19)	intron (NM_019492, intron 18 of 19)	27101	NM_001081650	50780	Mm.286753	NM_019492	ENSMUSG00000059810	Rgs3	4930506N09Rik|C2PA-RGS3|C2pa|PDZ-RGS3|RGS3S	regulator of G-protein signaling 3	protein-coding
chr2-84180	chr2	26473441	26676097	+	1645.9	8.253	Intergenic	Intergenic	-6287	NM_178444	353156	Mm.268933	NM_178444	ENSMUSG00000026921	Egfl7	VE-statin|Zneu1	EGF-like domain 7	protein-coding
chr17-53257	chr17	4993475	5206627	+	1630.9	8.769	intron (NM_001085355, intron 3 of 19)	B1_Mus1|SINE|Alu	104977	NM_001085355	239985	Mm.133401	NM_001085355	ENSMUSG00000069729	Arid1b	8030481M12|9330189K18Rik|AI836955|Ardi1b|B230217J03Rik|mKIAA1235	AT rich interactive domain 1B (SWI-like)	protein-coding
chr10-67592	chr10	93064677	93229055	+	1628.5	8.935	Intergenic	Intergenic	-14010	NM_146239	237459	Mm.217404	NM_146239	ENSMUSG00000020015	Cdk17	6430598J10Rik|Pctk2	cyclin-dependent kinase 17	protein-coding
chr3-33506	chr3	106446627	106556161	+	1625.1	8.344	TTS (NM_133869)	TTS (NM_133869)	15354	NM_028110	72121	Mm.14816	NM_028110	ENSMUSG00000027901	Dennd2d	2010308M01Rik|AI451421	DENN/MADD domain containing 2D	protein-coding
chr4-28335	chr4	155116106	155254254	+	1623.9	7.954	intron (NM_011385, intron 1 of 6)	intron (NM_011385, intron 1 of 6)	37355	NM_011385	20481	Mm.28520	NM_011385	ENSMUSG00000029050	Ski	2310012I02Rik|2610001A11Rik|AA062172|AA589460|BC004088	ski sarcoma viral oncogene homolog (avian)	protein-coding
chr12-48705	chr12	86796125	86915094	+	1614.3	7.607	Intergenic	RLTR17B_Mm|LTR|ERVK	29205	NM_145836	238330	Mm.248358	NM_145836	ENSMUSG00000034168	Irf2bpl	6430527G18Rik|Eap1	interferon regulatory factor 2 binding protein-like	protein-coding
chr4-72531	chr4	150443069	150623598	+	1610.7	5.702	intron (NM_001085492, intron 10 of 22)	intron (NM_001085492, intron 10 of 22)	118841	NM_173774	242773	Mm.29280	NM_173774		Slc45a1	C230078B22|Dnb5	solute carrier family 45, member 1	protein-coding
chr17-26197	chr17	35162691	35265738	+	1606.7	5.477	Intergenic	ID_B1|SINE|B4	-8863	NM_010735	16992	Mm.87787	NM_010735	ENSMUSG00000024402	Lta	LT|LT-[a]|LT-alpha|LT[a]|LTalpha|Ltx|TNF-beta|TNFSF1|Tnfb|Tnfsf1b|hlb382	lymphotoxin A	protein-coding
chr17-54667	chr17	26467809	26648469	+	1602.9	5.633	Intergenic	Intergenic	-3373	NM_026170	67458	Mm.30496	NM_026170	ENSMUSG00000001576	Ergic1	1200007D18Rik|maa-136	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	protein-coding
chr8-42937	chr8	14934356	15042982	+	1598.3	6.142	intron (NM_001037736, intron 25 of 27)	intron (NM_001037736, intron 25 of 27)	-22356	NM_029116	74901	Mm.46675	NM_029116	ENSMUSG00000055675	Kbtbd11	2900016B01Rik|4930465M17Rik|mKIAA0711	kelch repeat and BTB (POZ) domain containing 11	protein-coding
chr1-36649	chr1	85646903	85778884	+	1597.5	4.650	Intergenic	L1_Mus1|LINE|L1	23713	NM_177055	319997	Mm.116691	NM_177055	ENSMUSG00000052760	A630001G21Rik	-	RIKEN cDNA A630001G21 gene	protein-coding
chr1-79496	chr1	60701094	60833294	+	1594.7	4.316	intron (NM_007642, intron 3 of 3)	intron (NM_007642, intron 3 of 3)	20806	NM_007642	12487	Mm.255003	NM_007642	ENSMUSG00000026012	Cd28	-	CD28 antigen	protein-coding
chr9-62267	chr9	45200989	45330197	+	1593.7	4.213	exon (NM_008348, exon 4 of 7)	exon (NM_008348, exon 4 of 7)	1114	NR_106054	102466803		NR_106054		Mir7086	mmu-mir-7086	microRNA mir-7086	ncRNA
chr4-62200	chr4	129696307	129841182	+	1589.2	4.228	Intergenic	Intergenic	-26441	NR_045036	20218	Mm.8256	NM_011317	ENSMUSG00000028790	Khdrbs1	Sam68|p62|p68	KH domain containing, RNA binding, signal transduction associated 1	protein-coding
chr11-71707	chr11	104581234	104717778	+	1584.8	4.108	intron (NM_016780, intron 10 of 14)	L1Md_A|LINE|L1	41506	NM_016780	16416	Mm.87150	NM_016780	ENSMUSG00000020689	Itgb3	CD61|GP3A|INGRB3	integrin beta 3	protein-coding
chr17-58676	chr17	73804526	73970818	+	1584.7	4.325	intron (NM_011723, intron 34 of 35)	RLTR10-int|LTR|ERVK	62524	NM_011723	22436	Mm.11223	NM_011723	ENSMUSG00000024066	Xdh	XO|Xor|Xox-1|Xox1	xanthine dehydrogenase	protein-coding
chr16-44451	chr16	32052725	32202828	+	1583.3	4.761	Intergenic	RMER13A1|LTR|ERVK	27974	NM_025892	66994	Mm.22990	NM_025892	ENSMUSG00000035790	Cep19	1500031L02Rik|AI428934|AL022620	centrosomal protein 19	protein-coding
chr3-36479	chr3	100961272	101110921	+	1579.9	4.636	Intergenic	L1MB2|LINE|L1	-6601	NM_001167906	630146	Mm.190915	NM_001099332	ENSMUSG00000086564	Cd101	Gm1016|Gm734|Igsf2	CD101 antigen	protein-coding
chr1-69477	chr1	36221401	36376264	+	1576.0	4.037	Intergenic	Intergenic	-8901	NR_033310	214855	Mm.34316	NM_145996	ENSMUSG00000037447	Arid5a	D430024K22Rik|Mrf1	AT rich interactive domain 5A (MRF1-like)	protein-coding
chr5-57961	chr5	123974709	124091796	+	1572.2	3.385	promoter-TSS (NM_177876)	promoter-TSS (NM_177876)	-992	NM_177876	330192	Mm.4079	NM_177876	ENSMUSG00000066278	Vps37b	2300007F24Rik|AI415429|BC026744	vacuolar protein sorting 37B (yeast)	protein-coding
chr15-35441	chr15	55759462	55912884	+	1570.0	3.421	intron (NM_016667, intron 1 of 6)	intron (NM_016667, intron 1 of 6)	70776	NM_016667	20649	Mm.309425	NM_016667	ENSMUSG00000060429	Sntb1	-	syntrophin, basic 1	protein-coding
chr10-59415	chr10	77499178	77639338	+	1564.4	4.797	Intergenic	RMER17A2|LTR|ERVK	-12509	NM_145925	108705	Mm.28853	NM_145925	ENSMUSG00000009291	Pttg1ip	1810010L20Rik|AI314311|AU018448|C79540	pituitary tumor-transforming 1 interacting protein	protein-coding
chr4-27572	chr4	129495666	129625512	+	1564.2	4.430	intron (NM_001162433, intron 1 of 12)	intron (NM_001162433, intron 1 of 12)	-2217	NM_010693	16818	Mm.293753	NM_010693	ENSMUSG00000000409	Lck	Hck-3|Lsk|Lskt|p56<lck>|p56Lck	lymphocyte protein tyrosine kinase	protein-coding
chr18-20789	chr18	49978639	50108704	+	1563.5	3.973	intron (NM_001177760, intron 1 of 2)	intron (NM_001177760, intron 1 of 2)	-9611	NM_134131	106869	Mm.27740	NM_134131	ENSMUSG00000062210	Tnfaip8	AA987150|E130304C20Rik|ENSMUSG00000073567|Gg2-1|Gm10539|Nded|Ssc-2	tumor necrosis factor, alpha-induced protein 8	protein-coding
chr13-46938	chr13	49183518	49326939	+	1563.3	4.081	Intergenic	ORR1A4|LTR|ERVL-MaLR	-6522	NM_028340	66329	Mm.34308	NM_025491	ENSMUSG00000021384	Susd3	1700017I11Rik|2810440J20Rik	sushi domain containing 3	protein-coding
chr5-49569	chr5	72711711	72876585	+	1563.0	3.929	intron (NM_013689, intron 3 of 17)	B1_Mus1|SINE|Alu	-41371	NM_001289495	22165	Mm.3264	NM_013698	ENSMUSG00000054892	Txk	A130089B16Rik|Btkl|PTK-RL-18|PTK4|Rlk	TXK tyrosine kinase	protein-coding
chr10-63389	chr10	19547573	19694882	+	1552.7	3.088	promoter-TSS (NM_178258)	promoter-TSS (NM_178258)	-801	NM_178258	237310	Mm.331979	NM_178258	ENSMUSG00000039760	Il22ra2	CRF2-10|CRF2-s1|CRF2X|Il-22bp	interleukin 22 receptor, alpha 2	protein-coding
chr7-78851	chr7	83557856	83677543	+	1551.7	3.380	intron (NM_177695, intron 19 of 22)	intron (NM_177695, intron 19 of 22)	-14318	NM_023377	170460	Mm.357953	NM_023377	ENSMUSG00000046027	Stard5	2310058G22Rik|AI607880|D7Ertd152e	StAR-related lipid transfer (START) domain containing 5	protein-coding
chr14-45390	chr14	79480536	79566801	+	1550.7	3.370	intron (NM_001286411, intron 1 of 8)	intron (NM_001286411, intron 1 of 8)	7994	NM_001286412	13709	Mm.20938	NM_007920	ENSMUSG00000036461	Elf1	Elf-1|Sts1|mElf-1|p70	E74-like factor 1	protein-coding
chr9-71355	chr9	63637847	63759938	+	1546.2	3.538	intron (NM_016769, intron 1 of 8)	intron (NM_016769, intron 1 of 8)	59102	NM_016769	17127	Mm.7320	NM_016769	ENSMUSG00000032402	Smad3	AU022421|Madh3	SMAD family member 3	protein-coding
chr4-32256	chr4	63814891	63948479	+	1545.0	4.439	Intergenic	Intergenic	-20401	NM_009403	21949	Mm.4664	NM_009403		Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding
chr2-76017	chr2	32485367	32590139	+	1544.7	4.275	intron (NM_153560, intron 1 of 10)	MIRb|SINE|MIR	2394	NM_153560	98952	Mm.4065	NM_153560	ENSMUSG00000039157	Fam102a	AI426465|C230093N12Rik|Eeig1	family with sequence similarity 102, member A	protein-coding
chr2-85465	chr2	35398649	35509875	+	1542.7	4.748	intron (NM_010283, intron 1 of 8)	intron (NM_010283, intron 1 of 8)	7163	NM_001145821	14594	Mm.281124	NM_010283	ENSMUSG00000035778	Ggta1	AW108479|GALT|Gal|Ggta|Ggta-1|alpha3GalT	glycoprotein galactosyltransferase alpha 1, 3	protein-coding
chr6-61882	chr6	65498243	65672933	+	1542.1	5.398	Intergenic	Intergenic	-4810	NM_001001495	414084	Mm.117558	NM_001001495	ENSMUSG00000044162	Tnip3	9030611K07Rik|ABIN-3|LIND	TNFAIP3 interacting protein 3	protein-coding
chr11-39094	chr11	30101288	30222393	+	1540.8	4.865	intron (NM_175836, intron 1 of 34)	intron (NM_175836, intron 1 of 34)	36417	NM_009260	20742	Mm.123110	NM_009260	ENSMUSG00000020315	Sptbn1	9930031C03Rik|AL033301|SPTB2|Spnb-2|Spnb2|elf1|elf3|mKIAA4049	spectrin beta, non-erythrocytic 1	protein-coding
chr15-6830	chr15	100039061	100248946	+	1534.7	5.388	intron (NM_001159361, intron 4 of 37)	intron (NM_001159361, intron 4 of 37)	-10393	NM_172819	239667	Mm.243658	NM_172819	ENSMUSG00000023026	Dip2b	4932422C22|AI317237|AI854602|mKIAA1463	DIP2 disco-interacting protein 2 homolog B (Drosophila)	protein-coding
chr6-55705	chr6	83347272	83508010	+	1525.6	5.371	intron (NM_183138, intron 2 of 10)	intron (NM_183138, intron 2 of 10)	14037	NM_183138	194388	Mm.211030	NM_183138	ENSMUSG00000034832	Tet3	B430006D22Rik|BC037432|D230004J03Rik	tet methylcytosine dioxygenase 3	protein-coding
chr9-58164	chr9	96324775	96450190	+	1521.5	5.191	Intergenic	B3|SINE|B2	-23183	NM_007502	11933	Mm.424	NM_007502	ENSMUSG00000032412	Atp1b3	AA409958|AI664000|AW212096	ATPase, Na+/K+ transporting, beta 3 polypeptide	protein-coding
chr15-52032	chr15	6539791	6630596	+	1516.4	5.373	intron (NM_011815, intron 1 of 17)	(TC)n|Simple_repeat|Simple_repeat	5346	NM_011815	23880	Mm.170905	NM_011815		Fyb	ADAP|B630013F22Rik|FYB-120/130|Slap130|p120/130|p120/p130	FYN binding protein	protein-coding
chr14-40123	chr14	74753717	74956498	+	1515.2	5.711	intron (NM_001252132, intron 2 of 18)	intron (NM_001252132, intron 2 of 18)	92770	NM_001252132	380916	Mm.288868	NM_001033439	ENSMUSG00000068015	Lrch1	4832412D13Rik|AI552548|AW215503|Chdc1|mKIAA1016	leucine-rich repeats and calponin homology (CH) domain containing 1	protein-coding
chr11-90518	chr11	117866988	118020286	+	1510.7	5.682	Intergenic	Intergenic	25729	NM_007707	12702	Mm.3468	NM_007707	ENSMUSG00000053113	Socs3	Cis3|Cish3|EF-10|Ef10|SSI-3|Ssi3	suppressor of cytokine signaling 3	protein-coding
chr4-62595	chr4	133048504	133196769	+	1510.6	5.091	Intergenic	MIRb|SINE|MIR	-7997	NM_153423	242687	Mm.23566	NM_153423	ENSMUSG00000028868	Wasf2	AW742646|D4Ertd13e|WAVE2	WAS protein family, member 2	protein-coding
chr14-49206	chr14	60685732	60768506	+	1509.7	4.982	intron (NM_001033272, intron 4 of 12)	PB1D10|SINE|Alu	-41015	NM_183175	239126	Mm.319636	NM_183175	ENSMUSG00000071347	C1qtnf9	9130217G22Rik|CTRP9|Ciqtnf9	C1q and tumor necrosis factor related protein 9	protein-coding
chr13-41401	chr13	45805325	45971410	+	1507.9	4.555	intron (NM_001199305, intron 2 of 7)	B4A|SINE|B4	76624	NM_009124	20238	Mm.342683	NM_009124	ENSMUSG00000046876	Atxn1	2900016G23Rik|Atx1|C85907|ENSMUSG00000074917|Gm10786|Sca1	ataxin 1	protein-coding
chr12-49345	chr12	102270802	102396779	+	1504.5	4.606	intron (NM_177620, intron 3 of 9)	intron (NM_177620, intron 3 of 9)	50149	NM_001161365	217835	Mm.24145	NM_177620	ENSMUSG00000044456	Rin3	6430500K07|C86933	Ras and Rab interactor 3	protein-coding
chr11-101621	chr11	117636716	117833061	+	1498.6	4.920	intron (NM_198022, intron 7 of 21)	intron (NM_198022, intron 7 of 21)	45733	NM_181321	217353	Mm.286963	NM_145439	ENSMUSG00000025572	Tmc6	D11Ertd204e|EVER1	transmembrane channel-like gene family 6	protein-coding
chr11-89080	chr11	106082399	106222557	+	1493.2	5.037	intron (NM_011947, intron 15 of 15)	intron (NM_011947, intron 15 of 15)	7664	NM_172397	67803	Mm.21687	NM_172397	ENSMUSG00000040699	Limd2	0610025L06Rik|AI413966	LIM domain containing 2	protein-coding
chr13-38017	chr13	85374835	85560570	+	1489.8	4.982	Intergenic	L1Md_A|LINE|L1	-178216	NM_145452	218397	Mm.259653	NM_145452	ENSMUSG00000021549	Rasa1	Gap|RasGAP|Rasa	RAS p21 protein activator 1	protein-coding
chr3-38683	chr3	52261475	52415822	+	1487.4	4.877	intron (NM_019739, intron 1 of 2)	intron (NM_019739, intron 1 of 2)	70311	NM_019739	56458	Mm.29891	NM_019739	ENSMUSG00000044167	Foxo1	AI876417|Afxh|FKHR|Fkhr1|Foxo1a	forkhead box O1	protein-coding
chr1-91403	chr1	91024119	91118484	+	1486.0	4.665	intron (NM_001111311, intron 2 of 7)	intron (NM_001111311, intron 2 of 7)	17857	NM_008515	16978	Mm.45039	NM_008515	ENSMUSG00000026305	Lrrfip1	AU024550|Fliiap1	leucine rich repeat (in FLII) interacting protein 1	protein-coding
chr9-59223	chr9	115450035	115651932	+	1479.4	4.032	Intergenic	Intergenic	214822	NR_040730	73856	Mm.399156	NR_040730		4930428G15Rik	-	RIKEN cDNA 4930428G15 gene	ncRNA
chr2-103883	chr2	167687120	167864156	+	1478.5	3.720	Intergenic	Intergenic	84461	NR_015500	329562	Mm.123101	NM_177851	ENSMUSG00000006462	A530013C23Rik	-	RIKEN cDNA A530013C23 gene	ncRNA
chr19-33801	chr19	34154565	34318372	+	1478.0	3.346	intron (NM_029682, intron 8 of 10)	intron (NM_029682, intron 8 of 10)	18905	NM_007392	11475	Mm.213025	NM_007392		Acta2	0610041G09Rik|Actvs|SMalphaA|a-SMA|alphaSMA	actin, alpha 2, smooth muscle, aorta	protein-coding
chr7-17670	chr7	24365015	24472684	+	1476.9	3.212	intron (NM_028047, intron 9 of 13)	MYSERV16_I-int|LTR|ERVK	19221	NM_028047	71997	Mm.150977	NM_028047	ENSMUSG00000002210	Smg9	1500002O20Rik|AI429693|N28092	smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)	protein-coding
chr1-62934	chr1	40380414	40544224	+	1474.8	3.307	3' UTR (NM_001025602, exon 11 of 11)	3' UTR (NM_001025602, exon 11 of 11)	-3233	NM_001161842	16182	Mm.253664	NM_008365	ENSMUSG00000026070	Il18r1	Il18ralpha|Il1rrp	interleukin 18 receptor 1	protein-coding
chr13-50850	chr13	20089897	20261040	+	1472.9	2.675	intron (NM_080288, intron 1 of 21)	RMER10B|LTR|ERVL	84961	NM_080288	140580	Mm.342392	NM_080288	ENSMUSG00000041112	Elmo1	6330578D22Rik|C230095H21Rik|CED-12	engulfment and cell motility 1	protein-coding
chr11-32782	chr11	4186324	4351468	+	1469.5	2.717	intron (NM_001039537, intron 2 of 2)	MIRc|SINE|MIR	2100	NM_001039537	16878	Mm.4964	NM_008501	ENSMUSG00000034394	Lif	-	leukemia inhibitory factor	protein-coding
chr18-34297	chr18	70503914	70652919	+	1468.6	3.308	intron (NM_010773, intron 1 of 6)	intron (NM_010773, intron 1 of 6)	10124	NM_010773	17191	Mm.322	NM_010773	ENSMUSG00000024513	Mbd2	MBD2a	methyl-CpG binding domain protein 2	protein-coding
chr6-64302	chr6	113604256	113749640	+	1467.0	4.336	intron (NM_172161, intron 8 of 12)	intron (NM_172161, intron 8 of 12)	-20551	NM_001033463	381801	Mm.333322	NM_001033463	ENSMUSG00000056952	Tatdn2	AI646012|mKIAA0218	TatD DNase domain containing 2	protein-coding
