PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr10-46851	chr10	96163366	96309732	+	1705.4	12.331	intron (NR_110448, intron 1 of 2)	L1Md_F2|LINE|L1	10342	NR_110448	74881	Mm.410819	NR_110448		4930459C07Rik	-	RIKEN cDNA 4930459C07 gene	ncRNA
chr15-44560	chr15	27563666	27682056	+	1692.3	11.603	intron (NM_001013792, intron 2 of 6)	intron (NM_001013792, intron 2 of 6)	7832	NM_001013792	432940	Mm.309164	NM_001013792	ENSMUSG00000046034	Otulin	C79097|Fam105b|m3Sapc|m7-1Sapc	OTU deubiquitinase with linear linkage specificity	protein-coding
chr14-37626	chr14	60694839	60785374	+	1684.7	11.598	intron (NM_001033272, intron 4 of 12)	intron (NM_001033272, intron 4 of 12)	-28028	NM_183175	239126	Mm.319636	NM_183175	ENSMUSG00000071347	C1qtnf9	9130217G22Rik|CTRP9|Ciqtnf9	C1q and tumor necrosis factor related protein 9	protein-coding
chr9-58262	chr9	119964283	120130033	+	1682.1	11.472	Intergenic	Intergenic	21138	NM_009987	13051	Mm.44065	NM_009987	ENSMUSG00000052336	Cx3cr1	-	chemokine (C-X3-C motif) receptor 1	protein-coding
chr10-51914	chr10	93242115	93376606	+	1678.0	10.946	intron (NM_013508, intron 1 of 4)	(TG)n|Simple_repeat|Simple_repeat	1799	NM_013508	13713	Mm.4454	NM_013508	ENSMUSG00000008398	Elk3	D430049E23Rik|Erp|Etrp|Net|Sap-2	ELK3, member of ETS oncogene family	protein-coding
chr15-38878	chr15	86000212	86125788	+	1670.0	10.557	intron (NM_001205353, intron 1 of 18)	L1MB8|LINE|L1	4273	NM_001205353	223752	Mm.24442	NM_172611	ENSMUSG00000035900	Gramd4	9930016O13	GRAM domain containing 4	protein-coding
chr17-38297	chr17	35162687	35264665	+	1666.9	7.896	Intergenic	CT-rich|Low_complexity|Low_complexity	-8325	NM_010735	16992	Mm.87787	NM_010735	ENSMUSG00000024402	Lta	LT|LT-[a]|LT-alpha|LT[a]|LTalpha|Ltx|TNF-beta|TNFSF1|Tnfb|Tnfsf1b|hlb382	lymphotoxin A	protein-coding
chr4-33282	chr4	62583560	62710197	+	1664.7	8.217	intron (NM_019492, intron 18 of 19)	intron (NM_019492, intron 18 of 19)	27206	NM_134257	50780	Mm.286753	NM_019492	ENSMUSG00000059810	Rgs3	4930506N09Rik|C2PA-RGS3|C2pa|PDZ-RGS3|RGS3S	regulator of G-protein signaling 3	protein-coding
chr15-28131	chr15	60087572	60193584	+	1661.5	9.229	Intergenic	MTEa|LTR|ERVL-MaLR	-123960	NM_027668	71088	Mm.425950	NM_027668	ENSMUSG00000071749	4933412E24Rik	-	RIKEN cDNA 4933412E24 gene	protein-coding
chr10-58064	chr10	93069063	93229209	+	1658.0	8.383	Intergenic	Intergenic	-11740	NM_146239	237459	Mm.217404	NM_146239	ENSMUSG00000020015	Cdk17	6430598J10Rik|Pctk2	cyclin-dependent kinase 17	protein-coding
chr3-45100	chr3	21884222	21997223	+	1655.4	7.398	Intergenic	ID_B1|SINE|B4	-135930	NM_030732	81004	Mm.202966	NM_030732	ENSMUSG00000027630	Tbl1xr1	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	transducin (beta)-like 1X-linked receptor 1	protein-coding
chr9-39992	chr9	45979321	46127089	+	1654.8	7.873	intron (NM_027498, intron 1 of 24)	intron (NM_027498, intron 1 of 24)	40385	NM_027498	70661	Mm.219459	NM_027498	ENSMUSG00000034135	Sik3	5730525O22Rik|9030204A07Rik|AI447252|AI846254|AI849445|Qsk|SIK-3|mKIAA0999	SIK family kinase 3	protein-coding
chr9-53824	chr9	41047496	41194394	+	1645.8	9.171	intron (NM_176860, intron 1 of 13)	intron (NM_176860, intron 1 of 13)	36549	NM_176860	72828	Mm.133615	NM_176860	ENSMUSG00000032020	Ubash3b	2810457I06Rik|BB125008|TULA-2|p70	ubiquitin associated and SH3 domain containing, B	protein-coding
chr5-46725	chr5	140902563	141062891	+	1638.4	8.811	intron (NM_175362, intron 1 of 24)	RMER4A|LTR|ERVK	17869	NM_175362	108723	Mm.46187	NM_175362	ENSMUSG00000036526	Card11	0610008L17Rik|2410011D02Rik|BIMP3|CARMA1	caspase recruitment domain family, member 11	protein-coding
chr5-49819	chr5	100562829	100675196	+	1638.3	8.106	Intergenic	(TTAA)n|Simple_repeat|Simple_repeat	-46807	NM_139198	231507	Mm.34609	NM_139198	ENSMUSG00000029322	Plac8	C15|D5Wsu111e	placenta-specific 8	protein-coding
chr14-34450	chr14	74820153	74949655	+	1635.0	12.062	intron (NM_001252132, intron 1 of 18)	intron (NM_001252132, intron 1 of 18)	62973	NM_001033439	380916	Mm.288868	NM_001033439	ENSMUSG00000068015	Lrch1	4832412D13Rik|AI552548|AW215503|Chdc1|mKIAA1016	leucine-rich repeats and calponin homology (CH) domain containing 1	protein-coding
chr7-50657	chr7	16272554	16419524	+	1629.6	12.244	intron (NM_019748, intron 6 of 8)	intron (NM_019748, intron 6 of 8)	36456	NM_133234	170770	Mm.7660	NM_133234	ENSMUSG00000002083	Bbc3	PUMA|PUMA/JFY1	BCL2 binding component 3	protein-coding
chr11-54504	chr11	34698119	34796082	+	1621.2	11.070	intron (NM_033374, intron 2 of 51)	L1Md_F2|LINE|L1	36805	NM_033374	94176	Mm.380679	NM_033374	ENSMUSG00000020143	Dock2	AI662014|AW122239|CED-5|Hch|MBC	dedicator of cyto-kinesis 2	protein-coding
chr1-70160	chr1	91025252	91099110	+	1619.7	11.155	intron (NM_001111311, intron 1 of 7)	B4A|SINE|B4	8737	NM_008515	16978	Mm.45039	NM_008515	ENSMUSG00000026305	Lrrfip1	AU024550|Fliiap1	leucine rich repeat (in FLII) interacting protein 1	protein-coding
chr9-54311	chr9	45203971	45331586	+	1619.6	11.744	intron (NM_008348, intron 1 of 6)	intron (NM_008348, intron 1 of 6)	-1071	NR_106054	102466803		NR_106054		Mir7086	mmu-mir-7086	microRNA mir-7086	ncRNA
chr8-4086	chr8	117224774	117408177	+	1598.2	13.304	intron (NM_001163262, intron 1 of 20)	intron (NM_001163262, intron 1 of 20)	-32695	NM_028941	74440	Mm.233181	NM_028941	ENSMUSG00000034390	Cmip	4933407C03Rik|5830471E12Rik|AI314065|AI464126	c-Maf inducing protein	protein-coding
chr10-5917	chr10	7780289	7855754	+	1596.8	12.944	intron (NM_026141, intron 12 of 12)	B4A|SINE|B4	-14449	NM_172785	237256	Mm.140055	NM_172785	ENSMUSG00000039981	Zc3h12d	D730019B10Rik	zinc finger CCCH type containing 12D	protein-coding
chr2-74741	chr2	22755852	22876140	+	1593.4	11.341	intron (NM_019456, intron 1 of 13)	intron (NM_019456, intron 1 of 13)	41669	NM_019456	54519	Mm.14255	NM_019456	ENSMUSG00000026786	Apbb1ip	9930118P07Rik|Prp48	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	protein-coding
chr1-34370	chr1	165634719	165742240	+	1585.6	11.311	intron (NM_001038846, intron 1 of 5)	RLTR17D_Mm|LTR|ERVK	19615	NM_001038846	226594	Mm.265552	NM_178593	ENSMUSG00000040723	Rcsd1	A430105K13Rik|BC025872	RCSD domain containing 1	protein-coding
chr19-21255	chr19	53140471	53248463	+	1582.6	11.984	intron (NM_013758, intron 1 of 15)	intron (NM_013758, intron 1 of 15)	50470	NM_013758	27360	Mm.426080	NM_013758	ENSMUSG00000025026	Add3	AI463285|R75380	adducin 3 (gamma)	protein-coding
chr15-46755	chr15	73114335	73186996	+	1571.9	7.503	intron (NM_153178, intron 1 of 18)	intron (NM_153178, intron 1 of 18)	34282	NM_153178	239528	Mm.23095	NM_153178		Ago2	1110029L17Rik|2310051F07Rik|AI225898|AL022874|AW546247|ENSMUSG00000072493|Eif2c2|Gerp95|Gm10365|mKIAA4215	argonaute RISC catalytic subunit 2	protein-coding
chr8-37932	chr8	22684531	22820011	+	1568.3	10.774	Intergenic	Intergenic	-5473	NM_008872	18791	Mm.154660	NM_008872	ENSMUSG00000031538	Plat	AU020998|AW212668|D8Ertd2e|tPA	plasminogen activator, tissue	protein-coding
chr8-38404	chr8	36081868	36197515	+	1567.5	10.454	exon (NM_172911, exon 5 of 6)	exon (NM_172911, exon 5 of 6)	44863	NM_172911	244418	Mm.244971	NM_172911	ENSMUSG00000050271	D8Ertd82e	9830148H23|Sgk223|mFLJ00269	DNA segment, Chr 8, ERATO Doi 82, expressed	protein-coding
chr14-16927	chr14	73015582	73185108	+	1566.1	9.867	Intergenic	Intergenic	-42165	NM_001170694	105670	Mm.280068	NM_134083	ENSMUSG00000022106	Rcbtb2	2610028E02Rik|2810420M18Rik|AI448345|AW240694|Chc1l|RC/BTB2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	protein-coding
chr15-36161	chr15	25805424	25969614	+	1562.8	9.512	intron (NM_001034851, intron 1 of 8)	MTC|LTR|ERVL-MaLR	44221	NM_001034851	66270	Mm.25311	NM_025459	ENSMUSG00000022270	Fam134b	1810015C04Rik|AU015349	family with sequence similarity 134, member B	protein-coding
chr4-39305	chr4	40773006	40859423	+	1562.7	7.465	intron (NM_022305, intron 2 of 5)	PB1D9|SINE|Alu	33924	NR_039584	100628614		NR_039584		Mir5123	mmu-mir-5123|mu-mir-5123	microRNA 5123	ncRNA
chr2-68012	chr2	32486996	32590181	+	1545.8	7.297	intron (NM_153560, intron 1 of 10)	intron (NM_153560, intron 1 of 10)	3229	NM_153560	98952	Mm.4065	NM_153560	ENSMUSG00000039157	Fam102a	AI426465|C230093N12Rik|Eeig1	family with sequence similarity 102, member A	protein-coding
chr13-23356	chr13	101622291	101768938	+	1543.8	7.382	intron (NM_001077495, intron 7 of 15)	intron (NM_001077495, intron 7 of 15)	-2984	NM_001024955	18708	Mm.259333	NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	protein-coding
chr2-39590	chr2	35397277	35511755	+	1538.8	7.733	intron (NM_010283, intron 1 of 8)	B1_Mur4|SINE|Alu	6909	NM_010283	14594	Mm.281124	NM_010283	ENSMUSG00000035778	Ggta1	AW108479|GALT|Gal|Ggta|Ggta-1|alpha3GalT	glycoprotein galactosyltransferase alpha 1, 3	protein-coding
chr3-34814	chr3	93501374	93607925	+	1537.6	7.540	promoter-TSS (NM_009112)	promoter-TSS (NM_009112)	-468	NM_009112	20194	Mm.1	NM_009112	ENSMUSG00000041959	S100a10	42C|AA409961|AL024248|CAL12|CLP11|Cal1l|p10|p11	S100 calcium binding protein A10 (calpactin)	protein-coding
chr2-29129	chr2	43722936	43822791	+	1536.6	8.563	intron (NM_153820, intron 1 of 13)	intron (NM_153820, intron 1 of 13)	24036	NM_001025377	76117	Mm.217350	NM_153820	ENSMUSG00000049744	Arhgap15	5830480G12Rik	Rho GTPase activating protein 15	protein-coding
chr19-16140	chr19	29128646	29272313	+	1533.7	5.269	Intergenic	Lx2A|LINE|L1	-51324	NM_008413	16452	Mm.275839	NM_008413	ENSMUSG00000024789	Jak2	Fd17	Janus kinase 2	protein-coding
chr6-44199	chr6	136447705	136561940	+	1532.5	5.286	Intergenic	ID_B1|SINE|B4	-14029	NM_019426	54343	Mm.173271	NM_019426	ENSMUSG00000030213	Atf7ip	2610204M12Rik|AM|Mcaf1	activating transcription factor 7 interacting protein	protein-coding
chr3-48339	chr3	105748137	105911271	+	1529.5	4.494	Intergenic	Intergenic	14137	NR_045845	433637	Mm.331285	NR_045845		Gm5547	EG433637	predicted gene 5547	ncRNA
chr11-38468	chr11	4186333	4346543	+	1527.1	4.266	promoter-TSS (NM_001039537)	promoter-TSS (NM_001039537)	-358	NM_001039537	16878	Mm.4964	NM_008501	ENSMUSG00000034394	Lif	-	leukemia inhibitory factor	protein-coding
chr11-68436	chr11	79003116	79153262	+	1522.1	4.165	intron (NM_013571, intron 1 of 17)	intron (NM_013571, intron 1 of 17)	54592	NR_045873	790910	Mm.440410	NR_045873		Gm11201	ENSMUSG00000072637|OTTMUSG00000000169	predicted gene 11201	ncRNA
chr14-39367	chr14	121306735	121392596	+	1520.8	4.075	intron (NM_145465, intron 1 of 10)	intron (NM_145465, intron 1 of 10)	29565	NM_145465	223255	Mm.390756	NM_145465	ENSMUSG00000063410	Stk24	1810013H02Rik|C76483|MST-3|Mst3|STE20	serine/threonine kinase 24	protein-coding
chr7-59381	chr7	83597235	83675774	+	1518.8	5.514	intron (NM_023377, intron 3 of 5)	intron (NM_023377, intron 3 of 5)	4487	NM_023377	170460	Mm.357953	NM_023377	ENSMUSG00000046027	Stard5	2310058G22Rik|AI607880|D7Ertd152e	StAR-related lipid transfer (START) domain containing 5	protein-coding
chr1-41481	chr1	36231412	36327826	+	1517.5	5.348	Intergenic	Intergenic	-6194	NM_153408	214854	Mm.389110	NM_153408	ENSMUSG00000047180	Neurl3	2010300P06Rik|Lincr	neuralized homolog 3 homolog (Drosophila)	protein-coding
chr7-28449	chr7	80755447	80870125	+	1517.3	4.916	Intergenic	Intergenic	-9455	NM_016721	29875	Mm.207619	NM_016721	ENSMUSG00000030536	Iqgap1	AA682088|D7Ertd237e|D7Ertd257e|mKIAA0051	IQ motif containing GTPase activating protein 1	protein-coding
chr1-66895	chr1	13214701	13386392	+	1516.8	4.793	intron (NM_001077695, intron 1 of 21)	intron (NM_001077695, intron 1 of 21)	73537	NM_008678	17978	Mm.2537	NM_008678	ENSMUSG00000005886	Ncoa2	9530095N19|D1Ertd433e|GRIP-1|Grip1|KAT13C|SRC-2|TIF-2|TIF2|bHLHe75	nuclear receptor coactivator 2	protein-coding
chr4-58540	chr4	149646360	149721868	+	1514.4	5.284	intron (NM_001029837, intron 1 of 23)	intron (NM_001029837, intron 1 of 23)	-8025	NM_001164051	18707	Mm.229108	NM_008840	ENSMUSG00000039936	Pik3cd	2410099E07Rik|2610208K16Rik|AW545373|p110delta	phosphatidylinositol 3-kinase catalytic delta polypeptide	protein-coding
chr2-9370	chr2	167895000	168009996	+	1506.4	5.408	intron (NM_011201, intron 1 of 8)	intron (NM_011201, intron 1 of 8)	20171	NM_011201	19246	Mm.277916	NM_011201	ENSMUSG00000027540	Ptpn1	PTP-1B|PTP-HA2|PTP1B	protein tyrosine phosphatase, non-receptor type 1	protein-coding
chr8-43903	chr8	72260167	72381891	+	1504.1	5.869	3' UTR (NM_008452, exon 3 of 3)	3' UTR (NM_008452, exon 3 of 3)	1967	NM_008452	16598	Mm.26938	NM_008452	ENSMUSG00000055148	Klf2	Lklf	Kruppel-like factor 2 (lung)	protein-coding
chr10-37694	chr10	77499688	77640271	+	1503.8	6.303	Intergenic	Intergenic	-11788	NM_145925	108705	Mm.28853	NM_145925	ENSMUSG00000009291	Pttg1ip	1810010L20Rik|AI314311|AU018448|C79540	pituitary tumor-transforming 1 interacting protein	protein-coding
chr6-58834	chr6	108622617	108736282	+	1499.4	6.491	Intergenic	B1_Mus1|SINE|Alu	-18515	NR_104577	75394	Mm.395061	NR_040757	ENSMUSG00000087341	0610040F04Rik	-	RIKEN cDNA 0610040F04 gene	ncRNA
chr1-69672	chr1	85648676	85778672	+	1495.8	6.534	Intergenic	RLTR42-int|LTR|ERVK	22932	NM_177055	319997	Mm.116691	NM_177055	ENSMUSG00000052760	A630001G21Rik	-	RIKEN cDNA A630001G21 gene	protein-coding
chr6-51741	chr6	87462660	87554457	+	1493.2	5.498	intron (NM_001037727, intron 1 of 10)	L1Md_F3|LINE|L1	-12231	NR_104483	232201	Mm.119564	NM_175476		Arhgap25	A130039I20Rik	Rho GTPase activating protein 25	protein-coding
chr19-4609	chr19	5786643	5879455	+	1489.7	6.771	Intergenic	Intergenic	12429	NR_003513	66961	Mm.281895	NR_003513		Neat1	2310043N10Rik|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
chr9-34499	chr9	96669708	96819110	+	1487.5	6.772	intron (NR_015511, intron 2 of 3)	B1_Mur2|SINE|Alu	8422	NR_015511	319859	Mm.259909	NM_177020		E030011O05Rik	-	RIKEN cDNA E030011O05 gene	ncRNA
chr5-41582	chr5	134206874	134334829	+	1486.1	5.994	intron (NM_001080749, intron 10 of 32)	B1_Mur4|SINE|Alu	-41226	NR_104383	17969	Mm.425296	NM_010876	ENSMUSG00000015950	Ncf1	NCF-47K|NOXO2|Ncf-1|p47-phox|p47<phox>|p47phox	neutrophil cytosolic factor 1	protein-coding
chr2-72351	chr2	158641479	158768844	+	1483.5	5.457	intron (NM_153089, intron 2 of 10)	MER58B|DNA|hAT-Charlie	38026	NM_001159662	228852	Mm.150540	NM_153089	ENSMUSG00000037754	Ppp1r16b	ANKRD4|C130078N17Rik|TIMAP|Wdt4	protein phosphatase 1, regulatory (inhibitor) subunit 16B	protein-coding
chr15-34930	chr15	81000591	81138678	+	1480.3	5.010	intron (NM_001082536, intron 2 of 13)	intron (NM_001082536, intron 2 of 13)	35413	NM_153049	223701	Mm.439814	NM_153049	ENSMUSG00000042292	Mkl1	AMKL|Bsac|Mal|Mrtf-A	MKL (megakaryoblastic leukemia)/myocardin-like 1	protein-coding
chr4-42874	chr4	11074414	11165332	+	1472.1	5.624	Intergenic	MLT1B|LTR|ERVL-MaLR	-14224	NR_030455	735261		NR_030455		Mir684-2	Mirn684-2	microRNA 684-2	ncRNA
chr1-73478	chr1	171886801	172000736	+	1471.7	6.131	TTS (NM_030710)	TTS (NM_030710)	26231	NM_030710	30925	Mm.486404	NM_030710	ENSMUSG00000015314	Slamf6	KAL1|KAL1b|Ly108|NTB-A|NTBA|SF2000	SLAM family member 6	protein-coding
chr2-40025	chr2	73435917	73497725	+	1471.0	6.092	intron (NM_153138, intron 1 of 7)	intron (NM_153138, intron 1 of 7)	-12932	NM_001289722	215280	Mm.223504	NM_153138	ENSMUSG00000075284	Wipf1	AI115543|D2Ertd120e|WIP|Waspip	WAS/WASL interacting protein family, member 1	protein-coding
chr16-17872	chr16	32058959	32202850	+	1469.9	6.721	Intergenic	PB1D7|SINE|Alu	31102	NM_025892	66994	Mm.22990	NM_025892	ENSMUSG00000035790	Cep19	1500031L02Rik|AI428934|AL022620	centrosomal protein 19	protein-coding
chr10-40911	chr10	60319027	60411735	+	1469.4	6.191	intron (NM_001159572, intron 4 of 6)	intron (NM_001159572, intron 4 of 6)	18530	NM_001159572	74048	Mm.273584	NM_028732	ENSMUSG00000020101	4632428N05Rik	Dies1|PD-1H|VISTA	RIKEN cDNA 4632428N05 gene	protein-coding
chr12-42316	chr12	3739325	3898384	+	1463.1	5.023	intron (NM_001271753, intron 1 of 22)	Tigger16a|DNA|TcMar-Tigger	11694	NM_001271753	13435	Mm.5001	NM_007872	ENSMUSG00000020661	Dnmt3a	MmuIIIA	DNA methyltransferase 3A	protein-coding
chr12-33059	chr12	100952382	101029665	+	1458.4	5.704	intron (NM_026681, intron 3 of 29)	intron (NM_026681, intron 3 of 29)	30745	NR_035421	100316805		NR_035421		Mir1190	Mirn1190|mmu-mir-1190	microRNA 1190	ncRNA
chr2-61593	chr2	34927508	35051711	+	1457.2	5.693	intron (NM_010406, intron 37 of 40)	intron (NM_010406, intron 37 of 40)	-27837	NM_009421	22029	Mm.239514	NM_009421	ENSMUSG00000026875	Traf1	4732496E14Rik	TNF receptor-associated factor 1	protein-coding
chr7-42940	chr7	66104969	66234790	+	1451.6	5.841	intron (NM_001081163, intron 2 of 2)	intron (NM_001081163, intron 2 of 2)	60364	NM_001081163	269941	Mm.333916	NM_001081163	ENSMUSG00000032640	Chsy1	mKIAA0990	chondroitin sulfate synthase 1	protein-coding
chr1-10535	chr1	87811199	87940742	+	1451.0	6.711	intron (NM_177646, intron 1 of 29)	intron (NM_177646, intron 1 of 29)	22683	NM_177646	227333	Mm.277217	NM_177646	ENSMUSG00000070738	Dgkd	AI841987|D330025K09|DGKdelta|dgkd-2	diacylglycerol kinase, delta	protein-coding
chr9-46269	chr9	108983196	109096006	+	1448.3	6.191	intron (NM_025858, intron 1 of 5)	B1_Mur1|SINE|Alu	1034	NM_025858	66940	Mm.196533	NM_025858	ENSMUSG00000025647	Shisa5	2310008D10Rik|6430628I05Rik|Scotin|mShisa5	shisa homolog 5 (Xenopus laevis)	protein-coding
chr19-30174	chr19	34549282	34662387	+	1444.7	5.438	Intergenic	Intergenic	-2123	NM_001005858	667370	Mm.271850	NM_001005858	ENSMUSG00000062488	I830012O16Rik	-	RIKEN cDNA I830012O16 gene	protein-coding
chr5-57377	chr5	122204100	122324665	+	1444.0	6.102	promoter-TSS (NM_001039153)	promoter-TSS (NM_001039153)	78	NM_001039153	654470	Mm.28804	NM_001039153	ENSMUSG00000038593	Tctn1	G730031O11Rik|Tect1	tectonic family member 1	protein-coding
chr2-45468	chr2	173336037	173480409	+	1442.3	5.186	Intergenic	Intergenic	-114369	NM_028158	72221	Mm.46132	NM_028158	ENSMUSG00000027518	1700021F07Rik	-	RIKEN cDNA 1700021F07 gene	protein-coding
chr17-27316	chr17	7867861	7946150	+	1437.6	5.590	Intergenic	Intergenic	-18995	NM_145968	72536	Mm.119680	NM_145968	ENSMUSG00000033450	Tagap	2610315E15Rik	T cell activation Rho GTPase activating protein	protein-coding
chr12-36086	chr12	82163093	82301937	+	1433.7	5.881	intron (NM_001167983, intron 1 of 23)	intron (NM_001167983, intron 1 of 23)	62499	NM_001167983	217692	Mm.261333	NM_172579	ENSMUSG00000042700	Sipa1l1	4931426N11Rik|AW213287|Spar|mKIAA0440	signal-induced proliferation-associated 1 like 1	protein-coding
chr1-57920	chr1	136596913	136718326	+	1432.7	5.328	Intergenic	Intergenic	-25777	NR_045324	100503460	Mm.30630	NR_045324	ENSMUSG00000097113	Gm19705	-	predicted gene, 19705	ncRNA
chr11-37828	chr11	106083632	106228083	+	1428.3	5.514	TTS (NM_172397)	TTS (NM_172397)	4285	NM_172397	67803	Mm.21687	NM_172397	ENSMUSG00000040699	Limd2	0610025L06Rik|AI413966	LIM domain containing 2	protein-coding
chr17-37936	chr17	31727484	31876157	+	1427.0	5.530	Intergenic	Intergenic	53972	NM_010831	17691	Mm.290941	NM_010831	ENSMUSG00000024042	Sik1	Msk|Sik|Snf1lk	salt inducible kinase 1	protein-coding
chr11-56434	chr11	83038112	83125260	+	1424.5	5.479	Intergenic	SRV_MM-int|LTR|ERVK	16574	NM_011408	20556	Mm.278689	NM_011408	ENSMUSG00000072620	Slfn2	Shlf2	schlafen 2	protein-coding
chr7-6510	chr7	117375990	117533759	+	1420.4	7.094	intron (NM_175645, intron 1 of 11)	intron (NM_175645, intron 1 of 11)	73895	NM_175645	233781	Mm.461427	NM_175645	ENSMUSG00000030657	Xylt1	8030490L12	xylosyltransferase 1	protein-coding
chr11-48697	chr11	116358930	116446056	+	1419.5	7.001	intron (NM_027258, intron 1 of 18)	B3|SINE|B2	10539	NM_027258	217340	Mm.426344	NM_027258	ENSMUSG00000052949	Rnf157	2610036E23Rik|A130073L17Rik|mKIAA1917	ring finger protein 157	protein-coding
chr6-15810	chr6	125215050	125276552	+	1417.9	7.084	Intergenic	B1_Mus1|SINE|Alu	-8774	NM_001286753	21940	Mm.367714	NM_001033126	ENSMUSG00000030336	Cd27	S152|Tnfrsf7|Tp55	CD27 antigen	protein-coding
chr19-23889	chr19	8918292	9003307	+	1416.1	7.552	intron (NM_197993, intron 4 of 8)	RLTR31B2|LTR|ERVK	-6242	NM_026007	67160	Mm.247762	NM_026007	ENSMUSG00000071644	Eef1g	2610301D06Rik|AA407312|EF1G	eukaryotic translation elongation factor 1 gamma	protein-coding
chr9-42892	chr9	14128434	14312925	+	1411.7	9.077	Intergenic	Intergenic	-55622	NM_030261	75747	Mm.325126	NM_030261	ENSMUSG00000032009	Sesn3	5630400E15Rik|BC003348|SEST3	sestrin 3	protein-coding
chr4-36863	chr4	102552494	102657497	+	1400.1	10.733	exon (NM_019840, exon 15 of 15)	exon (NM_019840, exon 15 of 15)	15152	NM_001177981	18578	Mm.20181	NM_019840	ENSMUSG00000028525	Pde4b	Dpde4|R74983|dunce	phosphodiesterase 4B, cAMP specific	protein-coding
chr11-72520	chr11	21088219	21201818	+	1399.5	11.240	intron (NM_023324, intron 4 of 6)	MTA_Mm|LTR|ERVL-MaLR	53694	NM_023324	67245	Mm.28957	NM_023324	ENSMUSG00000020134	Peli1	2810468L03Rik|A930031K15Rik|AA409794|AI586297|D11Ertd676e	pellino 1	protein-coding
chr17-39007	chr17	51777041	51858150	+	1394.7	11.437	intron (NM_001163632, intron 1 of 10)	intron (NM_001163632, intron 1 of 10)	-5541	NM_001163630	20230	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding
chr3-27005	chr3	103850534	103933929	+	1391.3	12.155	intron (NM_008979, intron 16 of 20)	RMER6A|LTR|ERVK	-21889	NM_172684	229675	Mm.29366	NM_172684	ENSMUSG00000044098	Rsbn1	C230004D03Rik|E330004N01|Rosbin|Rsbn|Rsbp|mKIAA3002	rosbin, round spermatid basic protein 1	protein-coding
chr11-70585	chr11	109325699	109445998	+	1381.5	11.740	intron (NM_010303, intron 2 of 3)	intron (NM_010303, intron 2 of 3)	-22194	NR_038097	100036768	Mm.467767	NR_038097	ENSMUSG00000056687	Gm11696	OTTMUSG00000003456	predicted gene 11696	ncRNA
chr11-44795	chr11	115578435	115718156	+	1369.5	9.613	intron (NM_008163, intron 4 of 5)	intron (NM_008163, intron 4 of 5)	-20000	NM_001252384	67283	Mm.383426	NM_026071	ENSMUSG00000020744	Slc25a19	2900089E13Rik|DNC|MUP1|TPC	solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19	protein-coding
chr8-41378	chr8	124226455	124321430	+	1366.2	10.045	intron (NM_139272, intron 1 of 15)	intron (NM_139272, intron 1 of 15)	42548	NM_139272	108148	Mm.33808	NM_139272	ENSMUSG00000089704	Galnt2	AI480629	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
chr12-44099	chr12	55421919	55499099	+	1363.7	9.267	intron (NR_035430, intron 1 of 3)	intron (NR_035430, intron 1 of 3)	32138	NM_010907	18035	Mm.170515	NM_010907	ENSMUSG00000021025	Nfkbia	AI462015|Nfkbi	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	protein-coding
chr4-42441	chr4	155148603	155254233	+	1358.5	9.835	intron (NM_011385, intron 1 of 6)	intron (NM_011385, intron 1 of 6)	21117	NM_011385	20481	Mm.28520	NM_011385	ENSMUSG00000029050	Ski	2310012I02Rik|2610001A11Rik|AA062172|AA589460|BC004088	ski sarcoma viral oncogene homolog (avian)	protein-coding
chr9-55221	chr9	61658764	61796743	+	1356.0	8.283	Intergenic	Intergenic	186757	NM_018853	56040	Mm.3158	NM_018853	ENSMUSG00000007892	Rplp1	2410042H16Rik|Arpp1|C430017H15Rik	ribosomal protein, large, P1	protein-coding
chr9-28277	chr9	56075386	56184370	+	1354.6	5.964	TTS (NM_011193)	TTS (NM_011193)	31192	NM_019793	56434	Mm.28484	NM_019793	ENSMUSG00000032324	Tspan3	1700055K04Rik|TM4-A|Tm4sf8	tetraspanin 3	protein-coding
