PeakID (cmd=annotatePeaks.pl enhancers_only_no_peptide.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
8306	chr7	110998084	110998584	+	0	NA	Intergenic	RMER15|LTR|ERVL	-15873	NM_194464	17540	Mm.250023	NM_010826	ENSMUSG00000005611	Mrvi1	BB115629|Irag|Ris1	MRV integration site 1	protein-coding
2790	chr8	72276597	72277475	+	0	NA	Intergenic	Intergenic	36904	NM_007456	11767	Mm.290086	NM_007456	ENSMUSG00000003033	Ap1m1	AA408894|AP47|Adtm1A|Cltnm|[m]1A|mu1A	adaptor-related protein complex AP-1, mu subunit 1	protein-coding
8805	chr11	115689404	115689904	+	0	NA	intron (NM_008163, intron 2 of 5)	intron (NM_008163, intron 2 of 5)	18943	NM_008163	14784	Mm.439649	NM_008163	ENSMUSG00000059923	Grb2	AA408164|Ash	growth factor receptor bound protein 2	protein-coding
6117	chr14	27408117	27408617	+	0	NA	Intergenic	ORR1G|LTR|ERVL-MaLR	-20480	NM_001114879	218850	Mm.247767	NM_028945	ENSMUSG00000040651	Fam208a	4732418E12|4933409E02Rik|D14Abb1e	family with sequence similarity 208, member A	protein-coding
8459	chr18	32407106	32407606	+	0	NA	intron (NM_001083334, intron 2 of 14)	intron (NM_001083334, intron 2 of 14)	-29072	NR_045403	402767	Mm.385109	NR_045403	ENSMUSG00000097413	A830052D11Rik	-	RIKEN cDNA A830052D11 gene	ncRNA
8135	chr15	63982954	63983454	+	0	NA	intron (NM_144846, intron 1 of 11)	intron (NM_144846, intron 1 of 11)	68743	NR_029414	74460	Mm.390801	NR_029414		Gsdmcl-ps	4933426G20Rik	gasdermin C-like, pseudogene	pseudo
7601	chr14	33213620	33214120	+	0	NA	Intergenic	Intergenic	-2953	NM_153800	239027	Mm.318350	NM_153800	ENSMUSG00000063506	Arhgap22	B230341L19Rik|RHOGAP2|p68RacGAP	Rho GTPase activating protein 22	protein-coding
8560	chr7	28488429	28488929	+	0	NA	Intergenic	PB1D9|SINE|Alu	-8262	NR_033605	70001	Mm.417851	NR_033605		1700028B04Rik	-	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8 pseudogene	pseudo
6134	chr16	34666952	34667452	+	0	NA	intron (NM_030744, intron 2 of 5)	intron (NM_030744, intron 2 of 5)	15991	NM_030744	76378	Mm.23515	NM_030744	ENSMUSG00000022832	Ropn1	1700008N21Rik|ODF6|RHPNAP1|Rppn|ropporin	ropporin, rhophilin associated protein 1	protein-coding
8161	chr19	41726508	41727008	+	0	NA	intron (NM_015748, intron 3 of 36)	intron (NM_015748, intron 3 of 36)	17098	NM_015748	20562	Mm.40322	NM_015748	ENSMUSG00000025020	Slit1	Slil1|mKIAA0813	slit homolog 1 (Drosophila)	protein-coding
7277	chr18	46511581	46512081	+	0	NA	intron (NM_173423, intron 2 of 2)	intron (NM_173423, intron 2 of 2)	14140	NM_173423	240263	Mm.38249	NM_173423		Fem1c	2610312A07Rik|3632443A22Rik|AI646567	fem-1 homolog c (C.elegans)	protein-coding
8658	chr18	73767143	73767643	+	0	NA	Intergenic	Intergenic	-12914	NM_053255	114615	Mm.50642	NM_053255	ENSMUSG00000036941	Elac1	2610018O07Rik|8430417G19Rik	elaC homolog 1 (E. coli)	protein-coding
6998	chr16	31136606	31137106	+	0	NA	intron (NM_030138, intron 6 of 22)	intron (NM_030138, intron 6 of 22)	-55424	NM_198626	268880	Mm.286693	NM_198626	ENSMUSG00000047434	Xxylt1	AI480653	xyloside xylosyltransferase 1	protein-coding
8449	chr17	57339223	57339723	+	0	NA	Intergenic	Lx8|LINE|L1	-19213	NM_010130	13733	Mm.2254	NM_010130	ENSMUSG00000004730	Emr1	DD7A5-7|EGF-TM7|F4/80|Gpf480|Ly71|TM7LN3	EGF-like module containing, mucin-like, hormone receptor-like sequence 1	protein-coding
6962	chr13	19139055	19139555	+	0	NA	exon (NM_175007, exon 19 of 21)	exon (NM_175007, exon 19 of 21)	190954	NM_175007	218038	Mm.101650	NM_175007	ENSMUSG00000021314	Amph	-	amphiphysin	protein-coding
7185	chr10	40232165	40232665	+	0	NA	intron (NM_023323, intron 7 of 9)	intron (NM_023323, intron 7 of 9)	14564	NM_001042556	67239	Mm.11480	NM_023323	ENSMUSG00000038510	Rpf2	2810470K21Rik|AU040229|AU043242|Bxdc1	ribosome production factor 2 homolog (S. cerevisiae)	protein-coding
5566	chr9	59551277	59551777	+	0	NA	intron (NM_010421, intron 1 of 13)	intron (NM_010421, intron 1 of 13)	11860	NM_010421	15211	Mm.2284	NM_010421	ENSMUSG00000025232	Hexa	Hex-1	hexosaminidase A	protein-coding
4173	chr9	69301364	69302206	+	0	NA	intron (NM_001289916, intron 1 of 9)	intron (NM_001289916, intron 1 of 9)	11944	NM_001289916	19883	Mm.378450	NM_013646	ENSMUSG00000032238	Rora	9530021D13Rik|Nr1f1|ROR1|ROR2|ROR3|nmf267|sg|staggerer|tmgc26	RAR-related orphan receptor alpha	protein-coding
5187	chr14	122901569	122902069	+	0	NA	intron (NM_145466, intron 1 of 2)	intron (NM_145466, intron 1 of 2)	11346	NM_145466	223267	Mm.379358	NM_145466	ENSMUSG00000041625	Ggact	A2ld1	gamma-glutamylamine cyclotransferase	protein-coding
8000	chr2	34476509	34477009	+	0	NA	intron (NM_001290625, intron 4 of 11)	ERV3-16A3_I-int|LTR|ERVL	69908	NM_177345	227743	Mm.270866	NM_177345	ENSMUSG00000038696	Mapkap1	AI591529|D230039K05Rik|Sin1	mitogen-activated protein kinase associated protein 1	protein-coding
5688	chr3	100916995	100917495	+	0	NA	Intergenic	B3A|SINE|B2	-5248	NM_194343	229644	Mm.189351	NM_194343	ENSMUSG00000033233	Trim45	4921530N01Rik	tripartite motif-containing 45	protein-coding
6248	chr9	96957571	96958071	+	0	NA	intron (NM_145134, intron 2 of 2)	intron (NM_145134, intron 2 of 2)	60534	NM_145134	211949	Mm.491271	NM_145134	ENSMUSG00000046997	Spsb4	D030068E18Rik|SSB-4|Ssb4	splA/ryanodine receptor domain and SOCS box containing 4	protein-coding
8377	chr11	114127027	114127527	+	0	NA	Intergenic	Intergenic	-61326	NM_172800	237979	Mm.130504	NM_172800	ENSMUSG00000041592	Sdk2	4632412F08Rik|5330435L01Rik|Sdk-2|mKIAA1514	sidekick homolog 2 (chicken)	protein-coding
8131	chr14	118635559	118636059	+	0	NA	intron (NM_001163676, intron 3 of 29)	intron (NM_001163676, intron 3 of 29)	41122	NM_001163675	239273	Mm.40537	NM_001033336	ENSMUSG00000032849	Abcc4	D630049P08Rik|MOATB|MRP4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	protein-coding
1849	chr1	51584333	51585877	+	0	NA	Intergenic	ORR1F|LTR|ERVL-MaLR	-106706	NM_028696	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding
8855	chr16	29843708	29844208	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	135166	NR_037689	328657	Mm.425982	NM_001033403		Gm1968	-	predicted gene 1968	ncRNA
7324	chr2	29418530	29419030	+	0	NA	intron (NM_029615, intron 3 of 4)	intron (NM_029615, intron 3 of 4)	40266	NM_001290489	68975	Mm.330109	NM_026896	ENSMUSG00000026799	Med27	1500015J03Rik|2310042P07Rik|AA682045|Crsp8|D2Ertd434e	mediator complex subunit 27	protein-coding
7171	chr9	43038247	43038895	+	0	NA	intron (NM_027144, intron 4 of 40)	intron (NM_027144, intron 4 of 40)	67147	NM_027144	69632	Mm.275266	NM_027144	ENSMUSG00000059495	Arhgef12	2310014B11Rik|AU019857|Larg|mKIAA0382	Rho guanine nucleotide exchange factor (GEF) 12	protein-coding
8111	chr12	102342579	102343079	+	0	NA	intron (NM_177620, intron 3 of 9)	intron (NM_177620, intron 3 of 9)	59188	NM_001161365	217835	Mm.24145	NM_177620	ENSMUSG00000044456	Rin3	6430500K07|C86933	Ras and Rab interactor 3	protein-coding
8372	chr11	88538326	88538826	+	0	NA	intron (NM_054043, intron 6 of 13)	intron (NM_054043, intron 6 of 13)	179653	NM_054043	76626	Mm.400451	NM_054043	ENSMUSG00000069769	Msi2	1700105C15Rik|AI451722|AI563628|AW489193|Msi2h	musashi RNA-binding protein 2	protein-coding
6350	chr3	38044292	38044792	+	0	NA	Intergenic	MLT1B|LTR|ERVL-MaLR	145729	NR_040559	626410	Mm.389417	NR_040559		Gm20755	-	predicted gene, 20755	ncRNA
7478	chr8	106651541	106652041	+	0	NA	intron (NM_009864, intron 3 of 15)	intron (NM_009864, intron 3 of 15)	-31277	NM_173037	272538	Mm.87151	NM_173037	ENSMUSG00000041949	Tango6	AW413431|E330010G16|Tmco7	transport and golgi organization 6	protein-coding
8780	chr9	102249215	102249715	+	0	NA	intron (NM_173447, intron 1 of 15)	intron (NM_173447, intron 1 of 15)	55510	NR_106163	102466241		NR_106163		Mir7243	mmu-mir-7243	microRNA mir-7243	ncRNA
5600	chr12	35690782	35691282	+	0	NA	intron (NR_045050, intron 3 of 4)	intron (NR_045050, intron 3 of 4)	4086	NR_045050	71581	Mm.100110	NR_045050		9130015A21Rik	-	RIKEN cDNA 9130015A21 gene	ncRNA
8925	chr3	131122955	131123455	+	0	NA	intron (NM_001276402, intron 3 of 9)	intron (NM_001276402, intron 3 of 9)	10414	NM_001276403	16842	Mm.255219	NM_010703	ENSMUSG00000027985	Lef1	3000002B05|AI451430|Lef-1	lymphoid enhancer binding factor 1	protein-coding
7801	chr6	99392063	99392563	+	0	NA	intron (NM_053202, intron 1 of 18)	intron (NM_053202, intron 1 of 18)	43032	NM_053202	108655	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding
7786	chr5	142784048	142784548	+	0	NA	intron (NM_001122730, intron 4 of 27)	RSINE1|SINE|B4	33089	NM_178242	231861	Mm.354649	NM_178242	ENSMUSG00000039477	Tnrc18	BC025631|EG381742|Zfp469	trinucleotide repeat containing 18	protein-coding
8937	chr8	104110341	104110841	+	0	NA	intron (NM_009868, intron 1 of 11)	ID4|SINE|ID	8966	NM_009868	12562	Mm.21767	NM_009868	ENSMUSG00000031871	Cdh5	7B4|AA408225|Cd144|VE-Cad|VECD|VEcad|Vec	cadherin 5	protein-coding
8812	chr12	85115365	85115865	+	0	NA	intron (NM_030225, intron 3 of 14)	intron (NM_030225, intron 3 of 14)	4782	NM_030225	78920	Mm.296221	NM_030225	ENSMUSG00000004789	Dlst	1600017E01Rik|4632413C10Rik|4930529O08Rik|DLTS	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	protein-coding
7262	chr17	21492466	21492966	+	0	NA	intron (NM_013843, intron 2 of 4)	intron (NM_013843, intron 2 of 4)	3728	NM_013843	24132	Mm.42140	NM_013843		Zfp53	D030067O06Rik|KRAZ1|Zfp-53|Zfp118|zfas8	zinc finger protein 53	protein-coding
6295	chr16	24235001	24235501	+	0	NA	Intergenic	Intergenic	-158099	NM_178665	210126	Mm.209385	NM_178665	ENSMUSG00000033306	Lpp	9430020K16Rik|AA959454|AU024130|B130055L10Rik|C79715|D630048H16	LIM domain containing preferred translocation partner in lipoma	protein-coding
8514	chr2	155683150	155683650	+	0	NA	intron (NM_019828, intron 1 of 18)	B4|SINE|B4	8984	NM_019828	56407	Mm.268304	NM_019828	ENSMUSG00000038324	Trpc4ap	4833429F06Rik|D2Ertd113e|Trrp4ap|mFLJ00177|truss	transient receptor potential cation channel, subfamily C, member 4 associated protein	protein-coding
8653	chr17	27174428	27174928	+	0	NA	Intergenic	MT2B|LTR|ERVL	-6914	NM_173027	271424	Mm.209679	NM_173027	ENSMUSG00000024210	Ip6k3	D830007E07Rik|Ihpk3	inositol hexaphosphate kinase 3	protein-coding
7816	chr7	100851557	100852057	+	0	NA	intron (NM_177073, intron 2 of 10)	intron (NM_177073, intron 2 of 10)	11606	NM_177073	320100	Mm.40336	NM_177073	ENSMUSG00000008318	Relt	E430021K24Rik|Tnfrsf19l	RELT tumor necrosis factor receptor	protein-coding
8203	chr2	73561074	73561574	+	0	NA	Intergenic	(GGGA)n|Simple_repeat|Simple_repeat	19014	NM_007389	11435	Mm.4583	NM_007389	ENSMUSG00000027107	Chrna1	AI385656|AI608266|Achr-1|Acra	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)	protein-coding
6904	chr7	17058263	17058763	+	0	NA	intron (NM_001162950, intron 1 of 14)	intron (NM_001162950, intron 1 of 14)	-1834	NM_016868	53417	Mm.135110	NM_016868	ENSMUSG00000004328	Hif3a	Ipas|MOP7|NEPAS|bHLHe17	hypoxia inducible factor 3, alpha subunit	protein-coding
4212	chr1	52649998	52650498	+	0	NA	non-coding (NR_024590, exon 9 of 9)	non-coding (NR_024590, exon 9 of 9)	19543	NM_001142647	227094	Mm.83541	NM_172654	ENSMUSG00000043015	Tmem194b	5330401P04Rik|9830163O08	transmembrane protein 194B	protein-coding
6309	chr18	64599100	64599734	+	0	NA	intron (NM_001001488, intron 2 of 27)	intron (NM_001001488, intron 2 of 27)	61583	NM_001001488	54670	Mm.270043	NM_001001488	ENSMUSG00000039529	Atp8b1	AI451886|FIC1|Ic	ATPase, class I, type 8B, member 1	protein-coding
7832	chr8	106038507	106039007	+	0	NA	intron (NM_025518, intron 7 of 15)	intron (NM_025518, intron 7 of 15)	-20846	NM_010901	18021	Mm.383185	NM_010901	ENSMUSG00000031902	Nfatc3	C80703|D8Ertd281e|NFAT4|NFATx	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3	protein-coding
6458	chr11	104647014	104647514	+	0	NA	intron (NM_016780, intron 10 of 14)	intron (NM_016780, intron 10 of 14)	39264	NM_016780	16416	Mm.87150	NM_016780	ENSMUSG00000020689	Itgb3	CD61|GP3A|INGRB3	integrin beta 3	protein-coding
4747	chr5	30662398	30663238	+	0	NA	Intergenic	RMER13A1|LTR|ERVK	-4084	NM_007681	12615	Mm.290563	NM_007681	ENSMUSG00000029177	Cenpa	Cenp-A	centromere protein A	protein-coding
5017	chr9	46181449	46181949	+	0	NA	intron (NM_027498, intron 6 of 24)	intron (NM_027498, intron 6 of 24)	-46931	NM_009692	11806	Mm.26743	NM_009692	ENSMUSG00000032083	Apoa1	Alp-1|Apoa-1|Brp-14|Ltw-1|Lvtw-1|Sep-1|Sep-2|Sep2|apo-AI|apoA-I	apolipoprotein A-I	protein-coding
7316	chr1	191724533	191725033	+	0	NA	intron (NM_001134829, intron 2 of 7)	intron (NM_001134829, intron 2 of 7)	6388	NM_001134829	226856	Mm.277958	NM_172266	ENSMUSG00000026623	Lpgat1	AI649174|AW112037|BC013667	lysophosphatidylglycerol acyltransferase 1	protein-coding
4030	chr17	83906932	83907618	+	0	NA	Intergenic	Intergenic	-60485	NM_025325	107766	Mm.30100	NM_025325	ENSMUSG00000000673	Haao	0610007K21Rik|0610012J07Rik|3-HAO|3-HAOxase|3HAO	3-hydroxyanthranilate 3,4-dioxygenase	protein-coding
6370	chr4	99199592	99200092	+	0	NA	intron (NM_175029, intron 1 of 10)	intron (NM_175029, intron 1 of 10)	5695	NM_001145967	242557	Mm.241663	NM_175029	ENSMUSG00000028550	Atg4c	Apg4-C|Apg4c|Atg4cl|Autl1	autophagy related 4C, cysteine peptidase	protein-coding
6847	chr2	17702624	17703124	+	0	NA	intron (NM_028757, intron 2 of 6)	intron (NM_028757, intron 2 of 6)	28194	NM_028757	74103	Mm.120298	NM_028757	ENSMUSG00000053702	Nebl	1200007O21Rik|A630080F05Rik|BB140644|D830029A09Rik|Lnebl	nebulette	protein-coding
5407	chr10	39600431	39600931	+	0	NA	Intergenic	MER44D|DNA|TcMar-Tigger	-12253	NM_134000	103213	Mm.436686	NM_134000	ENSMUSG00000019842	Traf3ip2	AI429613|Act1|CIKS	TRAF3 interacting protein 2	protein-coding
5476	chr1	35971161	35971793	+	0	NA	Intergenic	ORR1F|LTR|ERVL-MaLR	-96923	NM_015818	50785	Mm.213566	NM_015818	ENSMUSG00000045216	Hs6st1	6Ost1	heparan sulfate 6-O-sulfotransferase 1	protein-coding
7509	chr10	39379924	39380424	+	0	NA	intron (NM_008054, intron 1 of 13)	intron (NM_008054, intron 1 of 13)	10375	NM_001122893	14360	Mm.4848	NM_008054	ENSMUSG00000019843	Fyn	AI448320|AW552119	Fyn proto-oncogene	protein-coding
8547	chr6	56788908	56789408	+	0	NA	intron (NM_145958, intron 2 of 3)	intron (NM_145958, intron 2 of 3)	8655	NM_145958	210973	Mm.57295	NM_145958	ENSMUSG00000059486	Kbtbd2	BC022962|Bklhd1|mKIAA1489	kelch repeat and BTB (POZ) domain containing 2	protein-coding
6516	chr16	93721676	93722474	+	0	NA	intron (NM_027293, intron 2 of 36)	intron (NM_027293, intron 2 of 36)	10168	NM_026700	70028	Mm.23230	NM_026700	ENSMUSG00000022946	Dopey2	0610038M01Rik|2610510B01Rik|AI503246|C21orf5|mKIAA0933	dopey family member 2	protein-coding
8533	chr5	33270544	33271044	+	0	NA	intron (NM_001198860, intron 1 of 9)	intron (NM_001198860, intron 1 of 9)	4210	NM_001198861	13016	Mm.7286	NM_013502	ENSMUSG00000037373	Ctbp1	BARS|CtBP1-L|CtBP1-S|CtBP3/BARS|D4S115h|D5H4S115|D5H4S115E	C-terminal binding protein 1	protein-coding
8453	chr17	78428114	78428614	+	0	NA	Intergenic	Intergenic	-10212	NM_001285946	225020	Mm.236835	NM_199448	ENSMUSG00000056121	Fez2	9030616F16|D17Ertd315e	fasciculation and elongation protein zeta 2 (zygin II)	protein-coding
6956	chr12	31532144	31532644	+	0	NA	intron (NM_011867, intron 14 of 20)	intron (NM_011867, intron 14 of 20)	27575	NM_011867	23985	Mm.100187	NM_011867	ENSMUSG00000020651	Slc26a4	Pds|pendrin	solute carrier family 26, member 4	protein-coding
8326	chr8	81561366	81561866	+	0	NA	intron (NM_001297596, intron 2 of 24)	intron (NM_001297596, intron 2 of 24)	219054	NM_001024617	234515	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
8456	chr18	5630397	5630897	+	0	NA	intron (NM_011546, intron 1 of 7)	RCHARR1|DNA|hAT-Charlie	-38210	NR_033552	791318	Mm.84339	NR_033552	ENSMUSG00000063087	Gm10125	ENSMUSG00000063087|Zeb1os	predicted gene 10125	ncRNA
6620	chr4	59569478	59569978	+	0	NA	Intergenic	Intergenic	-11835	NM_024255	72479	Mm.272905	NM_024255	ENSMUSG00000028383	Hsdl2	2610207I16Rik	hydroxysteroid dehydrogenase like 2	protein-coding
6487	chr14	19712783	19713283	+	0	NA	Intergenic	Intergenic	-38224	NM_008695	18074	Mm.20348	NM_008695	ENSMUSG00000021806	Nid2	AW547149|Ly111|NID-2|entactin-2|nidogen-2	nidogen 2	protein-coding
5748	chr11	61602728	61603228	+	0	NA	Intergenic	Intergenic	-23291	NM_001252188	13855	Mm.139695	NM_010148	ENSMUSG00000001036	Epn2	9530051D10Rik|AA536924|Ibp2	epsin 2	protein-coding
7420	chr6	57531652	57532152	+	0	NA	intron (NM_175523, intron 1 of 6)	(CAGA)n|Simple_repeat|Simple_repeat	3524	NM_175523	243382	Mm.396893	NM_175523	ENSMUSG00000037826	Ppm1k	2900063A19Rik|A930026L03Rik|PP2Cm	protein phosphatase 1K (PP2C domain containing)	protein-coding
8199	chr2	61032629	61033129	+	0	NA	Intergenic	Intergenic	-57728	NR_045335	100038493	Mm.388076	NR_045335	ENSMUSG00000075325	Gm13582	ENSMUSG00000075325|OTTMUSG00000012844	predicted gene 13582	ncRNA
7895	chr13	56216068	56216568	+	0	NA	Intergenic	Intergenic	35845	NM_010896	18014	Mm.266665	NM_010896	ENSMUSG00000048904	Neurog1	AKA|Math4C|Neurod3|bHLHa6|ngn1	neurogenin 1	protein-coding
7290	chrX	77569860	77570486	+	0	NA	intron (NM_020601, intron 1 of 15)	B1F1|SINE|Alu	58946	NM_020601	21372	Mm.258476	NM_020601	ENSMUSG00000025246	Tbl1x	5330429M20|Tbl1	transducin (beta)-like 1 X-linked	protein-coding
8912	chrX	167315231	167315731	+	0	NA	intron (NM_001290758, intron 2 of 3)	MER63D|DNA|hAT-Blackjack	15090	NM_133211	170743	Mm.23979	NM_133211	ENSMUSG00000044583	Tlr7	-	toll-like receptor 7	protein-coding
6957	chr12	92884050	92884550	+	0	NA	Intergenic	MMTV-int|LTR|ERVK	-1035143	NM_001039089	20338	Mm.250605	NM_011344	ENSMUSG00000020964	Sel1l	AW493766|Sel1h|mKIAA4137	sel-1 suppressor of lin-12-like (C. elegans)	protein-coding
8648	chr16	59617332	59617832	+	0	NA	intron (NM_019665, intron 7 of 7)	intron (NM_019665, intron 7 of 7)	-19363	NR_040564	75145	Mm.399348	NR_040564		4930547E14Rik	-	RIKEN cDNA 4930547E14 gene	ncRNA
5929	chr15	66453625	66454125	+	0	NA	intron (NM_019457, intron 5 of 11)	intron (NM_019457, intron 5 of 11)	47035	NM_019457	54562	Mm.244890	NM_019457	ENSMUSG00000022375	Lrrc6	LRTP	leucine rich repeat containing 6 (testis)	protein-coding
6420	chr9	63506796	63507296	+	0	NA	intron (NM_030068, intron 13 of 21)	intron (NM_030068, intron 13 of 21)	95402	NM_030068	78250	Mm.444612	NM_030068	ENSMUSG00000037801	Iqch	4921504K03Rik	IQ motif containing H	protein-coding
5053	chr13	95390109	95390609	+	0	NA	Intergenic	Intergenic	-15002	NM_025630	66549	Mm.36785	NM_025630	ENSMUSG00000021681	Aggf1	2010009L17Rik|2310029P06Rik|AW112072|Peg3|VG5Q	angiogenic factor with G patch and FHA domains 1	protein-coding
8277	chr6	31174151	31174651	+	0	NA	intron (NR_110470, intron 2 of 2)	(CA)n|Simple_repeat|Simple_repeat	44073	NR_110469	232685	Mm.443019	NM_144555		Lincpint	MNCb-1768|Pint|linc-Pint	long intergenic non-protein coding RNA, Trp53 induced transcript	ncRNA
8907	chrX	155212573	155213073	+	0	NA	TTS (NM_001291865)	TTS (NM_001291865)	3626	NM_009121	20229	Mm.2734	NM_009121	ENSMUSG00000025283	Sat1	AA617398|SSAT|Sat	spermidine/spermine N1-acetyl transferase 1	protein-coding
8411	chr14	45646932	45647432	+	0	NA	intron (NM_176845, intron 1 of 12)	intron (NM_176845, intron 1 of 12)	10871	NR_039593	100628600		NR_039593		Mir5131	mmu-mir-5131|mu-mir-5131	microRNA 5131	ncRNA
5448	chr15	76251254	76251978	+	0	NA	Intergenic	B1_Mus1|SINE|Alu	3425	NR_105918	102465575		NR_105918		Mir6953	mmu-mir-6953	microRNA mir-6953	ncRNA
6626	chr4	133715155	133715655	+	0	NA	intron (NM_001080819, intron 4 of 19)	intron (NM_001080819, intron 4 of 19)	1703	NR_106086	102465707		NR_106086		Mir7227	mmu-mir-7227	microRNA mir-7227	ncRNA
8786	chr10	60090765	60091265	+	0	NA	intron (NM_001199187, intron 9 of 10)	intron (NM_001199187, intron 9 of 10)	-15242	NM_052994	94214	Mm.153429	NM_052994	ENSMUSG00000058297	Spock2	AA407235|Gcap26|mKIAA0275	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2	protein-coding
7565	chr12	86974572	86975072	+	0	NA	Intergenic	GC_rich|Low_complexity|Low_complexity	13854	NM_001080943	238331	Mm.185890	NM_001080943	ENSMUSG00000048483	Zdhhc22	Gm262	zinc finger, DHHC-type containing 22	protein-coding
7019	chr19	43722429	43722929	+	0	NA	intron (NM_053103, intron 9 of 12)	intron (NM_053103, intron 9 of 12)	30321	NM_144874	226139	Mm.248237	NM_144874	ENSMUSG00000040018	Cox15	2900026G05Rik	cytochrome c oxidase assembly protein 15	protein-coding
5665	chr19	47905852	47906480	+	0	NA	intron (NM_001001738, intron 1 of 1)	intron (NM_001001738, intron 1 of 1)	13133	NM_001001738	414801	Mm.29457	NM_001001738	ENSMUSG00000079254	Itprip	4833424O12Rik|DANGER|mKIAA1754	inositol 1,4,5-triphosphate receptor interacting protein	protein-coding
6511	chr16	23997484	23997984	+	0	NA	Intergenic	Intergenic	-9122	NM_009744	12053	Mm.347398	NM_009744	ENSMUSG00000022508	Bcl6	Bcl5	B cell leukemia/lymphoma 6	protein-coding
5998	chr3	133509019	133509519	+	0	NA	intron (NM_001040400, intron 2 of 10)	intron (NM_001040400, intron 2 of 10)	35121	NM_001040400	214133	Mm.347816	NM_145989	ENSMUSG00000040943	Tet2	Ayu17-449|E130014J05Rik|mKIAA1546	tet methylcytosine dioxygenase 2	protein-coding
8816	chr13	20147411	20147911	+	0	NA	intron (NM_080288, intron 1 of 21)	intron (NM_080288, intron 1 of 21)	57154	NM_080288	140580	Mm.342392	NM_080288	ENSMUSG00000041112	Elmo1	6330578D22Rik|C230095H21Rik|CED-12	engulfment and cell motility 1	protein-coding
8928	chr4	118274077	118274577	+	0	NA	intron (NM_011213, intron 3 of 32)	intron (NM_011213, intron 3 of 32)	17070	NM_011213	19268	Mm.29855	NM_011213	ENSMUSG00000033295	Ptprf	AA591035|LAR|LARS|RPTP-LAR	protein tyrosine phosphatase, receptor type, F	protein-coding
8650	chr16	92028315	92028815	+	0	NA	Intergenic	Intergenic	-29757	NM_017391	53881	Mm.217354	NM_017391	ENSMUSG00000089774	Slc5a3	AA623876|BF642829|Smit1	solute carrier family 5 (inositol transporters), member 3	protein-coding
7679	chr18	33059923	33060423	+	0	NA	intron (NM_009793, intron 1 of 10)	intron (NM_009793, intron 1 of 10)	121132	NM_009793	12326	Mm.222329	NM_009793	ENSMUSG00000038128	Camk4	A430110E23Rik|AI666733|CaMKIV|CaMKIV/Gr|D18Bwg0362e	calcium/calmodulin-dependent protein kinase IV	protein-coding
5455	chr16	58690442	58690942	+	0	NA	Intergenic	Intergenic	20484	NM_007757	12892	Mm.291519	NM_007757	ENSMUSG00000022742	Cpox	CPX|Cpo|HCP|cac|nct	coproporphyrinogen oxidase	protein-coding
7392	chr5	65878014	65878514	+	0	NA	intron (NM_001081105, intron 1 of 2)	intron (NM_001081105, intron 1 of 2)	14695	NM_001081105	74734	Mm.20323	NM_001081105	ENSMUSG00000029204	Rhoh	5830400A04Rik|AU019774|Arhh	ras homolog gene family, member H	protein-coding
8476	chrX	36952978	36953646	+	0	NA	intron (NM_001177324, intron 3 of 9)	MLTR11B|LTR|ERVK	36383	NM_001177323	56526	Mm.260036	NM_019942	ENSMUSG00000050379	Sept6	2810035H17Rik|C920001C06Rik|Sep6|mKIAA0128	septin 6	protein-coding
6917	chr8	70552410	70553118	+	0	NA	intron (NM_007924, intron 1 of 11)	intron (NM_007924, intron 1 of 11)	13089	NM_007924	13716	Mm.271973	NM_007924	ENSMUSG00000070002	Ell	Ell1|Men	elongation factor RNA polymerase II	protein-coding
8024	chr4	55651206	55651706	+	0	NA	Intergenic	CpG	-118981	NM_010637	16600	Mm.4325	NM_010637	ENSMUSG00000003032	Klf4	EZF|Gklf|Zie	Kruppel-like factor 4 (gut)	protein-coding
5291	chr11	11506366	11507042	+	0	NA	intron (NM_028669, intron 4 of 5)	intron (NM_028669, intron 4 of 5)	17438	NM_028669	73862	Mm.159077	NM_028669	ENSMUSG00000020191	4930415F15Rik	-	RIKEN cDNA 4930415F15 gene	protein-coding
