PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-1uM-24h-MNase-All-Conditions/regions.txt mm10 -size given -d AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	1uM K99A	1uM PCC	No Peptide
chr7-3675	chr7	122397298	122397798	+	21.8	68.79	intron (NM_008855, intron 2 of 16)	MLT1K|LTR|ERVL-MaLR	108423.0	NM_008855	18751.0	Mm.207496	NM_008855	ENSMUSG00000052889	Prkcb	A130082F03Rik|PKC-Beta|Pkcb|Prkcb1|Prkcb2	protein kinase C, beta	protein-coding	12.37	43.92	11.52
chr13-4957	chr13	30824836	30825586	+	21.7	23.357	intron (NM_025588, intron 24 of 27)	intron (NM_025588, intron 24 of 27)	75953.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	17.52	24.11	10.89
chr6-11788	chr6	112861777	112862403	+	21.7	57.3	intron (NM_080448, intron 1 of 21)	intron (NM_080448, intron 1 of 21)	85176.0	NM_080448	259302.0	Mm.236401	NM_080448	ENSMUSG00000030257	Srgap3	AI452337|Arhgap14|D130026O08Rik|Gbi|MEGAP|WRP|mKIAA0411	SLIT-ROBO Rho GTPase activating protein 3	protein-coding	15.46	40.48	12.98
chrX-1624	chrX	12005590	12006866	+	21.5	16.58	Intergenic	Intergenic	74325.0	NM_029510	71458.0	Mm.196328	NM_029510	ENSMUSG00000040363	Bcor	5830466J11Rik|8430401K06Rik|BcorR|D930024N20Rik|mKIAA1575	BCL6 interacting corepressor	protein-coding	19.41	38.11	11.1
chr6-6766	chr6	92091820	92092828	+	21.5	35.806999999999995	intron (NM_011630, intron 1 of 14)	CpG	906.0	NM_011630	22026.0	Mm.87062	NM_011630	ENSMUSG00000005893	Nr2c2	TAK1|Tr4|mKIAA4145	nuclear receptor subfamily 2, group C, member 2	protein-coding	17.01	30.57	15.08
chr2-8229	chr2	11622616	11623300	+	21.4	37.87	Intergenic	Intergenic	-19759.0	NM_152824	76938.0	Mm.182769	NM_152824	ENSMUSG00000037197	Rbm17	2700027J02Rik	RNA binding motif protein 17	protein-coding	13.92	40.26	12.98
chr6-16495	chr6	97309039	97310363	+	21.4	16.933	intron (NM_145148, intron 13 of 23)	B1_Mm|SINE|Alu	-56921.0	NM_001081157	320502.0	Mm.68163	NM_001081157	ENSMUSG00000044086	Lmod3	5430424A14Rik	leiomodin 3 (fetal)	protein-coding	12.2	33.37	13.82
chr13-3848	chr13	30752197	30752949	+	21.3	28.013	intron (NM_013674, intron 3 of 8)	intron (NM_013674, intron 3 of 8)	3315.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	13.92	33.59	9.84
chr8-2888	chr8	122284249	122284897	+	21.3	41.617	intron (NM_009569, intron 1 of 9)	CpG	2432.0	NM_009569	22761.0	Mm.3105	NM_009569	ENSMUSG00000049577	Zfpm1	FOG|Fog1	zinc finger protein, multitype 1	protein-coding	20.44	32.51	13.4
chr4-9800	chr4	32315104	32315988	+	21.2	27.563000000000002	Intergenic	Intergenic	-101889.0	NM_001109661	12014.0	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology 2	protein-coding	18.56	33.59	15.29
chr6-11271	chr6	108448002	108448810	+	21.1	23.25	intron (NM_010585, intron 44 of 61)	intron (NM_010585, intron 44 of 61)	-41337.0	NR_106121	102465766.0	0	NR_106121	0	Mir7661	mmu-mir-7661	microRNA mir-7661	ncRNA	13.4	32.29	12.15
chr5-11675	chr5	29946253	29947035	+	21.1	21.81	intron (NR_105781, intron 2 of 2)	intron (NR_105781, intron 2 of 2)	-66517.0	NM_031168	16193.0	Mm.1019	NM_031168	ENSMUSG00000025746	Il6	Il-6	interleukin 6	protein-coding	13.23	25.62	8.38
chr5-4278	chr5	44223721	44224345	+	21.0	29.533	intron (NM_173764, intron 1 of 13)	intron (NM_173764, intron 1 of 13)	2573.0	NM_173764	231225.0	Mm.30688	NM_173764	ENSMUSG00000046985	Tapt1	4932414K18Rik	transmembrane anterior posterior transformation 1	protein-coding	17.87	20.88	10.05
chr8-2333	chr8	113656100	113656600	+	21.0	53.69	TTS (NM_001048145)	TTS (NM_001048145)	13137.0	NM_001286494	668110.0	Mm.390078	NM_029139	ENSMUSG00000033409	Syce1l	4930481F22Rik|MMRP|PSESS|mmrp2	synaptonemal complex central element protein 1 like	protein-coding	14.78	37.68	10.68
chr10-16670	chr10	19077914	19078708	+	20.9	26.206999999999997	Intergenic	Intergenic	-62901.0	NM_009397	21929.0	Mm.116683	NM_009397	ENSMUSG00000019850	Tnfaip3	A20|Tnfip3	tumor necrosis factor, alpha-induced protein 3	protein-coding	17.52	32.08	14.87
chr9-14600	chr9	57076803	57077433	+	20.8	79.78699999999999	intron (NM_001110350, intron 1 of 20)	CpG	742.0	NM_001110350	20466.0	Mm.15755	NM_011378	ENSMUSG00000042557	Sin3a	AW553200|Sin3|mKIAA4126|mSin3A	transcriptional regulator, SIN3A (yeast)	protein-coding	18.56	32.73	13.82
chr7-4195	chr7	139684506	139685006	+	20.8	46.51	Intergenic	ORR1E|LTR|ERVL-MaLR	-68427.0	NM_001243018	212124.0	Mm.425507	NM_001243018	ENSMUSG00000070357	E030019B06Rik	Gm170	RIKEN cDNA E030019B06 gene	protein-coding	13.23	16.79	7.12
chr8-22268	chr8	106006207	106007455	+	20.8	23.32	Intergenic	B1_Mm|SINE|Alu	-4647.0	NM_025518	66369.0	Mm.287500	NM_025518	ENSMUSG00000031901	Dus2	2310016K04Rik|Dus2l	dihydrouridine synthase 2	protein-coding	13.4	33.16	14.45
chr2-15532	chr2	129100780	129101764	+	20.7	32.383	intron (NM_009086, intron 1 of 14)	CpG	276.0	NM_009086	20017.0	Mm.259078	NM_009086	ENSMUSG00000027395	Polr1b	128kDa|D630020H17Rik|RPA116|RPA135|RPA2|Rpo1-2	polymerase (RNA) I polypeptide B	protein-coding	20.1	30.36	14.03
chr17-18572	chr17	26552709	26553649	+	20.7	16.21	Intergenic	Intergenic	-8333.0	NM_026170	67458.0	Mm.30496	NM_026170	ENSMUSG00000001576	Ergic1	1200007D18Rik|maa-136	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	protein-coding	21.3	30.57	9.84
chr13-4774	chr13	44321066	44321844	+	20.5	33.87	Intergenic	Intergenic	-104968.0	NR_045088	100503592.0	Mm.184925	NR_045088	0	A330076C08Rik	-	RIKEN cDNA A330076C08 gene	ncRNA	14.6	30.36	13.4
chr10-23528	chr10	37334285	37335331	+	20.5	17.07	Intergenic	Intergenic	-195882.0	NM_008538	17118.0	Mm.30059	NM_008538	ENSMUSG00000069662	Marcks	Macs|PKCSL	myristoylated alanine rich protein kinase C substrate	protein-coding	18.73	33.16	14.03
chr5-17572	chr5	115694701	115695725	+	20.4	24.68	intron (NM_001080808, intron 2 of 8)	intron (NM_001080808, intron 2 of 8)	36346.0	NM_001080808	75665.0	Mm.233914	NM_001080808	ENSMUSG00000041609	Ccdc64	2210403N09Rik|BICDR-1	coiled-coil domain containing 64	protein-coding	13.57	24.33	11.31
chr10-8800	chr10	75446679	75447179	+	20.4	71.017	Intergenic	Intergenic	-2581.0	NR_045841	71125.0	Mm.399516	NR_045841	0	4933407G14Rik	-	RIKEN cDNA 4933407G14 gene	ncRNA	10.65	47.37	8.38
chr6-4921	chr6	82740534	82741158	+	20.4	31.243000000000002	intron (NM_013820, intron 7 of 17)	B3|SINE|B2	33608.0	NM_013820	15277.0	Mm.255848	NM_013820	ENSMUSG00000000628	Hk2	AI642394|HKII	hexokinase 2	protein-coding	16.67	24.11	11.1
chr12-2185	chr12	103343438	103343938	+	20.4	48.323	intron (NM_023049, intron 2 of 9)	intron (NM_023049, intron 2 of 9)	12313.0	NM_023049	65256.0	Mm.27159	NM_023049	ENSMUSG00000021200	Asb2	1110008E15Rik	ankyrin repeat and SOCS box-containing 2	protein-coding	17.52	24.54	11.31
chr9-6125	chr9	123844953	123845709	+	20.3	14.747	intron (NM_148925, intron 1 of 18)	intron (NM_148925, intron 1 of 18)	6330.0	NM_148925	17281.0	Mm.252941	NM_148925	ENSMUSG00000025241	Fyco1	2810409M01Rik|Mem2|RUFY3|ZFYVE7	FYVE and coiled-coil domain containing 1	protein-coding	19.24	32.73	14.24
chr3-7006	chr3	105818523	105819277	+	20.3	28.686999999999998	Intergenic	Intergenic	3333.0	NR_045845	433637.0	Mm.331285	NR_045845	0	Gm5547	EG433637	predicted gene 5547	ncRNA	18.21	31.86	15.08
chr2-22772	chr2	9577402	9578044	+	20.2	39.13	Intergenic	UCON26|Unknown|Unknown	300877.0	NM_008091	14462.0	Mm.313866	NM_008091	ENSMUSG00000015619	Gata3	Gata-3|jal	GATA binding protein 3	protein-coding	19.41	37.03	14.24
chr15-22644	chr15	12588116	12588886	+	20.2	24.07	intron (NM_001081064, intron 1 of 23)	intron (NM_001081064, intron 1 of 23)	4055.0	NM_001081064	68070.0	Mm.423205	NM_001081064	ENSMUSG00000022197	Pdzd2	4930537L06Rik|A930022H17Rik|Gm82|Pdzk3|mKIAA0300	PDZ domain containing 2	protein-coding	7.56	21.96	6.49
chr10-11041	chr10	13873712	13874656	+	20.1	21.17	Intergenic	Intergenic	-5354.0	NM_025446	66253.0	Mm.45755	NM_025446	ENSMUSG00000019806	Aig1	1500031O19Rik|AV064870|AW413422|CGI-103	androgen-induced 1	protein-coding	12.2	25.19	11.73
chr5-6098	chr5	90382777	90383277	+	20.1	46.827	Intergenic	L2b|LINE|L2	16030.0	NR_045618	791294.0	Mm.30508	NR_045618	ENSMUSG00000054945	Gm9958	ENSMUSG00000054945	predicted gene 9958	ncRNA	16.84	43.49	11.1
chr12-9585	chr12	35578132	35579020	+	20.1	31.17	Intergenic	Intergenic	-43587.0	NM_013464	11622.0	Mm.341377	NM_013464	ENSMUSG00000019256	Ahr	Ah|Ahh|Ahre|In|bHLHe76	aryl-hydrocarbon receptor	protein-coding	15.46	43.71	12.98
chr17-16090	chr17	37028759	37029259	+	20.1	78.45	Intergenic	Intergenic	-5611.0	NM_010814	17441.0	Mm.210857	NM_010814	ENSMUSG00000076439	Mog	B230317G11Rik	myelin oligodendrocyte glycoprotein	protein-coding	14.43	34.02	13.61
chr11-15645	chr11	70512173	70513011	+	20.0	19.83	TTS (NM_001013607)	TTS (NM_001013607)	2024.0	NM_001013607	327956.0	Mm.244514	NM_001013607	ENSMUSG00000020830	Vmo1	Gm741	vitelline membrane outer layer 1 homolog (chicken)	protein-coding	14.95	26.7	12.36
chr3-6666	chr3	131208413	131209051	+	19.9	19.68	intron (NM_001276403, intron 11 of 11)	intron (NM_001276403, intron 11 of 11)	63369.0	NM_008212	15107.0	Mm.260164	NM_008212	ENSMUSG00000027984	Hadh	AA409008|AU019341|AW742602|HCDH|Hadhsc|Schad	hydroxyacyl-Coenzyme A dehydrogenase	protein-coding	15.63	24.33	10.47
chr6-8409	chr6	134068595	134069491	+	19.9	16.973	intron (NM_007961, intron 1 of 7)	ID4|SINE|ID	33336.0	NM_007961	14011.0	Mm.269995	NM_007961	ENSMUSG00000030199	Etv6	AW123102|AW557856|Tel	ets variant 6	protein-coding	16.49	28.63	13.4
chr8-6290	chr8	34816017	34816657	+	19.9	33.537	intron (NM_176933, intron 1 of 3)	intron (NM_176933, intron 1 of 3)	8727.0	NM_176933	319520.0	Mm.170276	NM_176933	ENSMUSG00000031530	Dusp4	2700078F24Rik|AI844617|BB104621|E130306H24Rik|MKP2	dual specificity phosphatase 4	protein-coding	14.09	22.82	10.68
chr4-8700	chr4	148437514	148438166	+	19.9	14.777000000000001	intron (NM_027873, intron 1 of 1)	intron (NM_027873, intron 1 of 1)	6911.0	NM_027873	71707.0	Mm.292503	NM_027873	ENSMUSG00000047719	Ubiad1	1200002M06Rik|AI426463|AW320947|Tere1	UbiA prenyltransferase domain containing 1	protein-coding	10.82	22.18	10.26
chr12-33219	chr12	85729400	85730206	+	19.8	35.5	Intergenic	Intergenic	-16736.0	NM_145447	217721.0	Mm.301076	NM_145447	ENSMUSG00000034258	Mfsd7c	CCT|Flvcr2	major facilitator superfamily domain containing 7C	protein-coding	10.82	50.16	11.1
chr15-3675	chr15	86034588	86035088	+	19.8	27.95	Intergenic	Intergenic	-1061.0	NM_009886	12614.0	Mm.22680	NM_009886	ENSMUSG00000016028	Celsr1	Crsh|Scy|crash	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	protein-coding	11.34	20.24	8.59
chr7-7777	chr7	31147581	31148399	+	19.8	33.513000000000005	intron (NM_027898, intron 1 of 18)	intron (NM_027898, intron 1 of 18)	3060.0	NM_027898	52857.0	Mm.27366	NM_027898	ENSMUSG00000001248	Gramd1a	1300003M23Rik|AI415002|AW547240|D7Bwg0611e	GRAM domain containing 1A	protein-coding	16.15	24.11	11.94
chr12-2922	chr12	82284583	82285083	+	19.7	67.07	intron (NM_001167983, intron 3 of 23)	intron (NM_001167983, intron 3 of 23)	-26516.0	NM_172579	217692.0	Mm.261333	NM_172579	ENSMUSG00000042700	Sipa1l1	4931426N11Rik|AW213287|Spar|mKIAA0440	signal-induced proliferation-associated 1 like 1	protein-coding	23.19	40.26	17.38
chr3-4417	chr3	35763034	35763534	+	19.6	31.92	intron (NM_029570, intron 1 of 29)	intron (NM_029570, intron 1 of 29)	9146.0	NM_029570	76295.0	Mm.239416	NM_029570	ENSMUSG00000037400	Atp11b	1110019I14Rik|ATPIF|ATPIR|mKIAA0956	ATPase, class VI, type 11B	protein-coding	11.85	17.87	8.8
chr15-5737	chr15	52900190	52900816	+	19.6	19.08	Intergenic	Intergenic	188058.0	NM_027212	69790.0	Mm.195562	NM_027212	ENSMUSG00000038622	Med30	1810038N03Rik|2510044J04Rik|TRAP25|Thrap6	mediator complex subunit 30	protein-coding	9.45	18.09	4.19
chr6-10957	chr6	31167921	31168829	+	19.6	13.193	intron (NR_110470, intron 2 of 2)	intron (NR_110470, intron 2 of 2)	50099.0	NR_110471	232685.0	Mm.443019	NM_144555	0	Lincpint	MNCb-1768|Pint|linc-Pint	long intergenic non-protein coding RNA, Trp53 induced transcript	ncRNA	8.25	27.34	6.07
chr5-3595	chr5	118361626	118362126	+	19.6	25.406999999999996	Intergenic	Intergenic	116649.0	NM_001081236	76792.0	Mm.103428	NM_001081236	0	2410131K14Rik	-	RIKEN cDNA 2410131K14 gene	protein-coding	16.49	36.17	12.57
chr4-7399	chr4	32153229	32153853	+	19.6	30.656999999999996	Intergenic	Intergenic	189434.0	NM_172688	26409.0	Mm.258589	NM_009316	ENSMUSG00000028284	Map3k7	B430101B05|C87327|Tak1	mitogen-activated protein kinase kinase kinase 7	protein-coding	19.07	31.0	11.31
chr1-14791	chr1	138595821	138596445	+	19.5	36.98	intron (NM_021605, intron 1 of 9)	intron (NM_021605, intron 1 of 9)	23563.0	NM_021605	59125.0	Mm.143817	NM_021605	ENSMUSG00000026393	Nek7	2810460C19Rik|AU020186	NIMA (never in mitosis gene a)-related expressed kinase 7	protein-coding	12.71	31.86	14.45
chr2-6148	chr2	38471758	38472258	+	19.4	24.506999999999998	Intergenic	Intergenic	-39689.0	NM_021606	59126.0	Mm.143818	NM_021606	ENSMUSG00000026749	Nek6	1300007C09Rik	NIMA (never in mitosis gene a)-related expressed kinase 6	protein-coding	9.28	31.22	7.33
chr13-27254	chr13	30781978	30783168	+	19.4	25.063000000000002	Intergenic	Intergenic	33315.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	15.12	33.16	15.92
chr2-19479	chr2	102975694	102976608	+	19.4	27.967	Intergenic	MTD|LTR|ERVL-MaLR	-74486.0	NM_001177787	12505.0	Mm.423621	NM_009851	ENSMUSG00000005087	Cd44	AU023126|AW121933|AW146109|HERMES|Ly-24|Pgp-1	CD44 antigen	protein-coding	17.35	29.5	12.78
chr8-7375	chr8	35641669	35642297	+	19.2	27.31	intron (NM_001081279, intron 1 of 2)	intron (NM_001081279, intron 1 of 2)	-52963.0	NR_040376	100504714.0	Mm.381744	NR_040376	ENSMUSG00000097357	Gm16793	-	predicted gene, 16793	ncRNA	14.26	32.73	11.31
chr4-11505	chr4	152491183	152491683	+	19.2	71.21300000000001	intron (NM_153424, intron 3 of 29)	intron (NM_153424, intron 3 of 29)	13291.0	NM_153424	260305.0	Mm.302496	NM_153424	ENSMUSG00000039577	Nphp4	4930564O18Rik|nmf192	nephronophthisis 4 (juvenile) homolog (human)	protein-coding	13.74	23.25	10.47
chr4-5169	chr4	106787755	106788255	+	19.1	44.27	intron (NM_025590, intron 1 of 15)	intron (NM_025590, intron 1 of 15)	11826.0	NM_025590	329910.0	Mm.222956	NM_025590	ENSMUSG00000034853	Acot11	1110020M10Rik|2010309H15Rik|AW060409|BFIT|BFIT1|Thea|Them1|mKIAA0707	acyl-CoA thioesterase 11	protein-coding	17.7	30.14	12.57
chrX-3069	chrX	159732682	159733492	+	19.1	26.967	intron (NM_021389, intron 1 of 16)	intron (NM_021389, intron 1 of 16)	24486.0	NM_021389	58194.0	Mm.286495	NM_021389	ENSMUSG00000040990	Sh3kbp1	1200007H22Rik|1700125L08Rik|5830464D22Rik|AI447724|IN85|Ruk|Seta	SH3-domain kinase binding protein 1	protein-coding	14.43	23.68	10.26
chr3-4024	chr3	84071158	84071942	+	18.9	26.497	Intergenic	B3|SINE|B2	-31389.0	NM_172681	229473.0	Mm.28838	NM_172681	ENSMUSG00000033767	D930015E06Rik	Kiaa0922|mKIAA0922	RIKEN cDNA D930015E06 gene	protein-coding	17.18	46.07	14.87
chr17-11306	chr17	34179112	34179958	+	18.9	15.93	Intergenic	Intergenic	7795.0	NM_013585	16912.0	Mm.390983	NM_013585	0	Psmb9	Lmp-2|Lmp2	proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)	protein-coding	12.37	34.88	10.89
chr4-14524	chr4	59199940	59200890	+	18.9	12.802999999999999	intron (NM_011673, intron 1 of 8)	intron (NM_011673, intron 1 of 8)	10865.0	NM_011673	22234.0	Mm.198803	NM_011673	ENSMUSG00000028381	Ugcg	AU043821|C80537|Epcs21|GlcT-1|Ugcgl	UDP-glucose ceramide glucosyltransferase	protein-coding	11.85	21.96	9.63
chr17-59090	chr17	28484369	28485437	+	18.9	16.183	intron (NM_010220, intron 1 of 10)	intron (NM_010220, intron 1 of 10)	1246.0	NM_010220	14229.0	Mm.276405	NM_010220	ENSMUSG00000024222	Fkbp5	D17Ertd592e|Dit1|FKBP-5|FKBP51	FK506 binding protein 5	protein-coding	14.95	26.7	12.36
chr9-11332	chr9	45082909	45083535	+	18.8	38.047	intron (NM_001005421, intron 2 of 10)	intron (NM_001005421, intron 2 of 10)	4039.0	NM_001005421	270152.0	Mm.190461	NM_001005421	ENSMUSG00000048534	Amica1	AMICA|Crea7|Gm638	adhesion molecule, interacts with CXADR antigen 1	protein-coding	12.54	27.13	10.05
chr16-2587	chr16	32516276	32516776	+	18.8	65.747	Intergenic	Intergenic	20245.0	NM_199309	245308.0	Mm.76859	NM_199309	ENSMUSG00000052363	Zdhhc19	Gm1744|Gm616	zinc finger, DHHC domain containing 19	protein-coding	16.15	29.07	12.98
chr9-11597	chr9	46116753	46117377	+	18.8	29.253	intron (NM_027498, intron 1 of 24)	intron (NM_027498, intron 1 of 24)	104245.0	NM_027498	70661.0	Mm.219459	NM_027498	ENSMUSG00000034135	Sik3	5730525O22Rik|9030204A07Rik|AI447252|AI846254|AI849445|Qsk|SIK-3|mKIAA0999	SIK family kinase 3	protein-coding	14.6	29.71	12.57
chr10-11232	chr10	78372487	78373159	+	18.8	23.683000000000003	Intergenic	ORR1A1|LTR|ERVL-MaLR	-21123.0	NM_053014	28169.0	Mm.141230	NM_053014	ENSMUSG00000001211	Agpat3	AW061257|AW493985|D10Jhu12e|lpaat3	1-acylglycerol-3-phosphate O-acyltransferase 3	protein-coding	11.34	28.42	11.94
chr2-34730	chr2	127137160	127137934	+	18.8	14.287	Intergenic	Intergenic	-3593.0	NM_144818	215387.0	Mm.29786	NM_144818	ENSMUSG00000034906	Ncaph	A730011O11Rik|Brrn1|HCAP-H|mKIAA0074	non-SMC condensin I complex, subunit H	protein-coding	13.23	15.93	7.96
chr6-7530	chr6	134205427	134206057	+	18.8	21.54	intron (NM_007961, intron 2 of 7)	intron (NM_007961, intron 2 of 7)	170035.0	NM_007961	14011.0	Mm.269995	NM_007961	ENSMUSG00000030199	Etv6	AW123102|AW557856|Tel	ets variant 6	protein-coding	10.65	23.25	7.12
chr11-142497	chr11	106722661	106723621	+	18.7	52.253	Intergenic	G-rich|Low_complexity|Low_complexity	-7860.0	NM_008816	18613.0	Mm.343951	NM_008816	ENSMUSG00000020717	Pecam1	C85791|Cd31|PECAM-1|Pecam	platelet/endothelial cell adhesion molecule 1	protein-coding	18.56	38.75	13.61
chr1-23531	chr1	52055264	52056028	+	18.7	42.18	intron (NM_011487, intron 3 of 23)	intron (NM_011487, intron 3 of 23)	47402.0	NM_011487	20849.0	Mm.1550	NM_011487	ENSMUSG00000062939	Stat4	-	signal transducer and activator of transcription 4	protein-coding	14.6	30.14	14.24
chr17-9910	chr17	47525866	47526684	+	18.7	17.453	intron (NM_001081636, intron 1 of 6)	B1_Mus1|SINE|Alu	21224.0	NM_001081635	12445.0	Mm.27291	NM_007632	ENSMUSG00000034165	Ccnd3	9230106B05Rik|AA682053|AL024085|AW146355|C78795	cyclin D3	protein-coding	12.54	24.33	10.26
chr6-55777	chr6	134081714	134082610	+	18.5	25.23	intron (NM_007961, intron 1 of 7)	B1_Mm|SINE|Alu	46455.0	NM_007961	14011.0	Mm.269995	NM_007961	ENSMUSG00000030199	Etv6	AW123102|AW557856|Tel	ets variant 6	protein-coding	15.81	25.41	12.36
chr17-3940	chr17	66112176	66112800	+	18.5	23.677	intron (NM_001037757, intron 1 of 10)	intron (NM_001037757, intron 1 of 10)	843.0	NM_001037757	68767.0	Mm.296545	NM_026833	ENSMUSG00000024101	Wash	1110049F14Rik|ORF19|Wash1	WAS protein family homolog	protein-coding	14.78	31.0	11.31
chr6-4641	chr6	41113714	41114214	+	18.4	21.54	Intergenic	Intergenic	-78455.0	NM_023333	67373.0	Mm.153729	NM_023333	ENSMUSG00000029882	2210010C04Rik	AV072249	RIKEN cDNA 2210010C04 gene	protein-coding	16.49	24.97	10.26
chr11-76300	chr11	61698119	61698889	+	18.4	29.053	intron (NM_178618, intron 2 of 4)	intron (NM_178618, intron 2 of 4)	14094.0	NM_178618	69640.0	Mm.458559	NM_178618	ENSMUSG00000042377	Fam83g	2310040C09Rik|AI506990|wly	family with sequence similarity 83, member G	protein-coding	12.37	37.25	10.05
chr10-52002	chr10	93187763	93189047	+	18.4	31.593000000000004	intron (NM_146239, intron 1 of 16)	(C)n|Simple_repeat|Simple_repeat	25620.0	NR_035452	100316689.0	0	NR_035452	0	Mir1931	mmu-mir-1931	microRNA 1931	ncRNA	21.13	37.89	15.71
chr16-4393	chr16	50204767	50205393	+	18.4	16.16	intron (NM_027444, intron 14 of 16)	intron (NM_027444, intron 14 of 16)	-132228.0	NR_045935	224180.0	Mm.146439	NM_175010	0	Gm4827	B130050K08|EG224180	predicted gene 4827	ncRNA	17.52	21.75	10.26
chr15-16033	chr15	62239639	62240627	+	18.3	15.77	intron (NR_003368, intron 5 of 8)	intron (NR_003368, intron 5 of 8)	-20682.0	NR_003523	67552.0	Mm.484027	NM_026230	0	H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo	13.23	32.73	12.15
chr6-4191	chr6	146747207	146747707	+	18.3	43.773	intron (NM_172734, intron 1 of 13)	intron (NM_172734, intron 1 of 13)	22527.0	NM_172734	232533.0	Mm.322121	NM_172734	ENSMUSG00000001630	Stk38l	4930473A22Rik|B230328I19|Ndr2|Ndr54	serine/threonine kinase 38 like	protein-coding	18.73	27.77	11.31
chr3-8193	chr3	37209982	37210608	+	18.2	15.73	Intergenic	(CAAT)n|Simple_repeat|Simple_repeat	22341.0	NM_021782	60505.0	Mm.157689	NM_021782	ENSMUSG00000027718	Il21	IL-21	interleukin 21	protein-coding	9.28	22.61	7.54
chr8-51219	chr8	120710446	120711468	+	18.2	19.307000000000002	Intergenic	L1MC|LINE|L1	-25419.0	NM_008320	15900.0	Mm.334861	NM_008320	ENSMUSG00000041515	Irf8	AI893568|ICSBP|IRF-8|Icsbp1|Myls	interferon regulatory factor 8	protein-coding	16.49	31.0	14.24
chr11-19626	chr11	97125152	97125996	+	18.1	20.303	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-10243.0	NM_019507	57765.0	Mm.94519	NM_019507	ENSMUSG00000001444	Tbx21	TBT1|Tbet|Tblym	T-box 21	protein-coding	11.85	27.13	12.78
chr13-6530	chr13	96487188	96487814	+	18.1	28.213	intron (NM_012048, intron 11 of 14)	intron (NM_012048, intron 11 of 14)	-16341.0	NM_001042714	271144.0	Mm.470057	NM_001042714	ENSMUSG00000047117	Ankdd1b	9330128J19Rik	ankyrin repeat and death domain containing 1B	protein-coding	19.24	38.32	12.57
chr13-18882	chr13	30777769	30778685	+	18.0	23.346999999999998	Intergenic	Intergenic	28969.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	12.71	25.41	10.47
chr13-4626	chr13	51815749	51816385	+	18.0	34.713	Intergenic	PB1|SINE|Alu	-22320.0	NM_013660	20354.0	Mm.33903	NM_013660	ENSMUSG00000021451	Sema4d	CD100|Semacl2|Semaj|Semcl2|coll-4	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	protein-coding	17.18	25.19	11.52
chr2-11072	chr2	3709632	3710258	+	18.0	23.656999999999996	Intergenic	Intergenic	-3513.0	NM_025626	66540.0	Mm.277864	NM_025626	ENSMUSG00000026655	Fam107b	3110001A13Rik|AA589595|AA959793|AI132312	family with sequence similarity 107, member B	protein-coding	13.74	26.05	9.63
chr15-5824	chr15	97667158	97667910	+	18.0	32.01	Intergenic	Intergenic	38288.0	NM_028003	71919.0	Mm.12255	NM_028003	ENSMUSG00000022466	Rpap3	2310042P20Rik|D15Ertd682e	RNA polymerase II associated protein 3	protein-coding	15.81	31.43	13.19
chr13-2630	chr13	10234128	10234628	+	18.0	36.92	intron (NM_033269, intron 1 of 4)	intron (NM_033269, intron 1 of 4)	126425.0	NM_033269	12671.0	Mm.342315	NM_033269	0	Chrm3	Chrm-3|M3|M3R	cholinergic receptor, muscarinic 3, cardiac	protein-coding	11.17	14.43	7.12
chr6-5430	chr6	87551965	87552465	+	18.0	79.607	Intergenic	Intergenic	-18956.0	NM_001286610	232201.0	Mm.119564	NM_175476	0	Arhgap25	A130039I20Rik	Rho GTPase activating protein 25	protein-coding	22.16	30.36	13.4
