PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-1uM-24h-MNase-All-Conditions/regions.txt mm10 -size given -d AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	1uM K99A	1uM PCC	No Peptide
chr12-7413	chr12	55441771	55442271	+	13.2	25.61	intron (NR_035430, intron 1 of 3)	ID_B1|SINE|B4	43196.0	NM_011968	26443.0	Mm.30210	NM_011968	ENSMUSG00000021024	Psma6	IOTA	proteasome (prosome, macropain) subunit, alpha type 6	protein-coding	11.68	11.63	11.1
chr3-10444	chr3	135681488	135682142	+	13.2	19.377	intron (NM_008689, intron 1 of 24)	intron (NM_008689, intron 1 of 24)	9732.0	NM_008689	18033.0	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	13.06	14.21	12.57
chr14-6982	chr14	56293473	56293973	+	12.9	17.03	Intergenic	Intergenic	-31463.0	NM_013542	14939.0	Mm.14874	NM_013542	ENSMUSG00000015437	Gzmb	AI553453|CCP-1/C11|CCP1|Ctla-1|Ctla1|GZB	granzyme B	protein-coding	9.28	13.99	5.86
chr18-6771	chr18	82568741	82569369	+	12.9	39.376999999999995	intron (NM_001025256, intron 2 of 5)	intron (NM_001025256, intron 2 of 5)	14547.0	NM_001025254	17196.0	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	9.79	10.98	9.21
chr7-19924	chr7	114309551	114310307	+	12.8	11.453	Intergenic	B3|SINE|B2	-33813.0	NM_011965	26440.0	Mm.121265	NM_011965	ENSMUSG00000030751	Psma1	C2|HC2|Pros-30|alpha-type	proteasome (prosome, macropain) subunit, alpha type 1	protein-coding	9.45	6.67	10.05
chr11-86603	chr11	97186748	97187546	+	12.7	29.397	intron (NM_008379, intron 2 of 21)	CpG	745.0	NM_008379	16211.0	Mm.251013	NM_008379	ENSMUSG00000001440	Kpnb1	AA409963|IPOB|Impnb	karyopherin (importin) beta 1	protein-coding	10.14	18.09	9.42
chr17-28901	chr17	29467392	29468160	+	12.7	55.097	Intergenic	Intergenic	-23269.0	NM_008842	18712.0	Mm.405293	NM_008842	0	Pim1	Pim-1	proviral integration site 1	protein-coding	13.4	20.02	13.82
chr3-87444	chr3	130748544	130749312	+	12.7	25.603	Intergenic	AT_rich|Low_complexity|Low_complexity	-18530.0	NM_001005859	68436.0	Mm.140568	NM_026724	ENSMUSG00000062006	Rpl34	1100001I22Rik	ribosomal protein L34	protein-coding	11.68	12.49	12.15
chr3-59608	chr3	142499741	142500811	+	12.5	16.707	intron (NM_153564, intron 1 of 10)	(T)n|Simple_repeat|Simple_repeat	3342.0	NM_153564	229898.0	Mm.459245	NM_153564	ENSMUSG00000040264	Gbp5	5330409J06Rik|Gbp5a	guanylate binding protein 5	protein-coding	11.17	13.78	12.36
chr19-8053	chr19	53500540	53501200	+	12.5	12.42	Intergenic	Intergenic	-28448.0	NM_001085390	240672.0	Mm.482424	NM_001085390	0	Dusp5	Gm337	dual specificity phosphatase 5	protein-coding	17.01	19.16	15.5
chr7-12346	chr7	125638832	125639332	+	12.5	33.26	Intergenic	Intergenic	35653.0	NM_021887	60504.0	Mm.155643	NM_021887	ENSMUSG00000030745	Il21r	NILR	interleukin 21 receptor	protein-coding	11.85	11.84	12.78
chr17-18393	chr17	51815196	51815822	+	12.5	22.153000000000002	intron (NM_001163632, intron 1 of 10)	intron (NM_001163632, intron 1 of 10)	-3455.0	NM_001163630	20230.0	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding	8.25	15.07	6.7
chr3-27786	chr3	135669203	135670027	+	12.4	28.073	intron (NM_008689, intron 1 of 24)	intron (NM_008689, intron 1 of 24)	21932.0	NM_008689	18033.0	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	12.37	27.77	8.17
chr4-16599	chr4	63867183	63867683	+	12.3	26.01	Intergenic	Intergenic	-6149.0	NM_009403	21949.0	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	6.87	12.92	8.59
chr12-16345	chr12	55393037	55393817	+	12.3	17.243	intron (NR_035430, intron 1 of 3)	intron (NR_035430, intron 1 of 3)	-5398.0	NM_011968	26443.0	Mm.30210	NM_011968	ENSMUSG00000021024	Psma6	IOTA	proteasome (prosome, macropain) subunit, alpha type 6	protein-coding	12.54	14.86	10.47
chr19-29007	chr19	10816884	10817672	+	12.3	13.597000000000001	intron (NM_009852, intron 1 of 12)	intron (NM_009852, intron 1 of 12)	12780.0	NM_001037801	12511.0	Mm.290897	NM_009852	ENSMUSG00000024670	Cd6	-	CD6 antigen	protein-coding	12.71	7.54	9.84
chr15-30821	chr15	77933715	77934215	+	12.2	72.86	Intergenic	Intergenic	-4971.0	NM_019913	56551.0	Mm.291917	NM_019913	ENSMUSG00000005354	Txn2	2510006J11Rik|AI788873|Trx2	thioredoxin 2	protein-coding	21.13	23.25	16.96
chr12-36639	chr12	73900221	73901175	+	12.2	16.767	Intergenic	(TCTA)n|Simple_repeat|Simple_repeat	-7169.0	NM_010431	15251.0	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding	11.0	13.56	10.05
chr4-19636	chr4	152186214	152186986	+	12.2	16.22	intron (NM_001146057, intron 1 of 8)	intron (NM_001146057, intron 1 of 8)	466.0	NM_001146057	70025.0	Mm.296191	NM_133348	ENSMUSG00000028937	Acot7	2410041A17Rik|Ach1|Act|Bach|CTE-IIa|Cte-II|Lach1	acyl-CoA thioesterase 7	protein-coding	26.8	30.14	20.31
chr17-13271	chr17	34192241	34193003	+	12.1	21.583000000000002	intron (NM_013683, intron 5 of 10)	(CAGA)n|Simple_repeat|Simple_repeat	5066.0	NM_013683	21354.0	Mm.482076	NM_013683	ENSMUSG00000037321	Tap1	ABC17|APT1|Abcb2|Ham-1|Ham1|MTP1|PSF1|RING4|TAP|Tap-1|Y3	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	protein-coding	11.0	10.98	12.98
chr16-63562	chr16	32572077	32572721	+	12.0	26.163	Intergenic	(GAAA)n|Simple_repeat|Simple_repeat	-36497.0	NM_011638	22042.0	Mm.28683	NM_011638	ENSMUSG00000022797	Tfrc	2610028K12Rik|AI195355|AI426448|AU015758|CD71|E430033M20Rik|Mtvr-1|Mtvr1|TFR|TFR1|TR|Trfr|p90	transferrin receptor	protein-coding	9.28	9.69	10.05
chr12-8275	chr12	55473900	55474400	+	11.9	26.506999999999998	intron (NR_035430, intron 2 of 3)	intron (NR_035430, intron 2 of 3)	18497.0	NM_010907	18035.0	Mm.170515	NM_010907	ENSMUSG00000021025	Nfkbia	AI462015|Nfkbi	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	protein-coding	11.85	13.99	10.89
chr18-10263	chr18	82518268	82518896	+	11.9	13.103	intron (NM_001025245, intron 2 of 3)	intron (NM_001025245, intron 2 of 3)	-35881.0	NM_001025258	17196.0	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	12.2	8.61	11.1
chr13-18558	chr13	30797351	30797851	+	11.9	26.857	Intergenic	L1Md_T|LINE|L1	48343.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	5.15	12.49	4.61
chr18-8278	chr18	38426613	38427265	+	11.9	25.09	intron (NM_022996, intron 1 of 7)	intron (NM_022996, intron 1 of 7)	7964.0	NM_022996	65113.0	Mm.102496	NM_022996	ENSMUSG00000024425	Ndfip1	0610010M22Rik|N4wbp5	Nedd4 family interacting protein 1	protein-coding	10.82	12.49	11.73
chr12-15892	chr12	73816268	73816966	+	11.7	18.827	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-91250.0	NM_010431	15251.0	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding	16.49	17.87	21.36
chr12-11064	chr12	73775522	73776022	+	11.7	20.157	intron (NM_008856, intron 13 of 13)	intron (NM_008856, intron 13 of 13)	-132095.0	NM_010431	15251.0	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding	10.65	12.49	11.52
chr9-27785	chr9	66890081	66890711	+	11.6	19.463	intron (NM_173413, intron 1 of 7)	MTC|LTR|ERVL-MaLR	29309.0	NM_173413	235442.0	Mm.260376	NM_173413	ENSMUSG00000036943	Rab8b	5930437D16|D330025I23Rik	RAB8B, member RAS oncogene family	protein-coding	13.57	15.93	10.68
chr6-17420	chr6	140546630	140547256	+	11.5	14.637	intron (NM_144920, intron 11 of 30)	intron (NM_144920, intron 11 of 30)	-75720.0	NM_178803	11569.0	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding	10.48	11.2	7.75
chr9-23908	chr9	107301529	107302283	+	11.4	20.447	TTS (NM_009895)	TTS (NM_009895)	5217.0	NM_009895	12700.0	Mm.4592	NM_009895	0	Cish	AI385595|CIS1|Cis|F17|F23	cytokine inducible SH2-containing protein	protein-coding	9.62	16.58	9.21
chr5-26421	chr5	21788112	21788758	+	11.4	18.39	intron (NM_011188, intron 2 of 12)	intron (NM_011188, intron 2 of 12)	3152.0	NM_011188	19181.0	Mm.2462	NM_011188	ENSMUSG00000028932	Psmc2	-	proteasome (prosome, macropain) 26S subunit, ATPase 2	protein-coding	11.51	12.49	10.05
chr16-10118	chr16	45387072	45387836	+	11.4	12.007	intron (NM_010818, intron 5 of 5)	intron (NM_010818, intron 5 of 5)	21599.0	NM_010818	17470.0	Mm.245851	NM_010818	ENSMUSG00000022661	Cd200	Mox2|OX2	CD200 antigen	protein-coding	8.76	10.33	7.96
chr3-11281	chr3	135675055	135675555	+	11.3	15.98	intron (NM_008689, intron 1 of 24)	intron (NM_008689, intron 1 of 24)	16242.0	NM_008689	18033.0	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	5.84	8.4	7.12
chr9-19668	chr9	120084641	120085275	+	11.3	14.923	Intergenic	Intergenic	-7175.0	NM_007720	12776.0	Mm.442098	NM_007720	ENSMUSG00000042262	Ccr8	C-C|C-C CKR-8|CC-CKR-8|CCR-8|CKR-8|Cmkbr8|mCCR8	chemokine (C-C motif) receptor 8	protein-coding	8.93	11.41	7.96
chr4-24390	chr4	150950717	150951359	+	11.2	18.757	Intergenic	Intergenic	23039.0	NM_001077509	21942.0	Mm.244187	NM_011612	ENSMUSG00000028965	Tnfrsf9	4-1BB|A930040I11Rik|AA408498|AI325004|CDw137|Cd137|ILA|Ly63	tumor necrosis factor receptor superfamily, member 9	protein-coding	10.82	10.76	9.63
chr18-5402	chr18	82490383	82490883	+	11.2	22.213	intron (NM_001025245, intron 1 of 3)	intron (NM_001025245, intron 1 of 3)	15510.0	NM_010777	17196.0	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	11.85	8.83	10.26
chr6-21726	chr6	11902753	11903381	+	11.0	14.732999999999999	intron (NM_010886, intron 3 of 3)	intron (NM_010886, intron 3 of 3)	4379.0	NM_010886	17992.0	Mm.415865	NM_010886	ENSMUSG00000029632	Ndufa4	MLRQ	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4	protein-coding	12.71	8.61	10.68
chr3-10928	chr3	37124051	37124551	+	11.0	37.59	intron (NM_008366, intron 2 of 3)	intron (NM_008366, intron 2 of 3)	1653.0	NM_008366	16183.0	Mm.14190	NM_008366	ENSMUSG00000027720	Il2	Il-2	interleukin 2	protein-coding	9.11	20.24	6.07
chr11-20204	chr11	61659376	61659876	+	11.0	18.027	intron (NM_027817, intron 1 of 4)	intron (NM_027817, intron 1 of 4)	6305.0	NM_027817	71520.0	Mm.202760	NM_027817	ENSMUSG00000004837	Grap	8430435N19Rik|BB233594	GRB2-related adaptor protein	protein-coding	9.28	19.81	9.01
chr18-5931	chr18	82540144	82540644	+	11.0	21.19	intron (NM_001025245, intron 3 of 3)	intron (NM_001025245, intron 3 of 3)	-14069.0	NM_001025258	17196.0	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	6.01	7.75	8.59
chr4-31999	chr4	63922769	63923567	+	11.0	32.417	Intergenic	(TA)n|Simple_repeat|Simple_repeat	-61884.0	NM_009403	21949.0	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	8.07	15.5	8.59
chr15-12790	chr15	101250485	101250985	+	10.9	18.793	Intergenic	RMER15-int|LTR|ERVL	-16111.0	NM_010444	15370.0	Mm.119	NM_010444	ENSMUSG00000023034	Nr4a1	GFRP1|Gfrp|Hbr-1|Hbr1|Hmr|N10|NGFI-B|NGFIB|NP10|TIS1|TR3|nur77	nuclear receptor subfamily 4, group A, member 1	protein-coding	11.0	18.3	8.59
chr17-62548	chr17	29425889	29426817	+	10.9	14.552999999999999	Intergenic	Intergenic	-64692.0	NM_008842	18712.0	Mm.405293	NM_008842	0	Pim1	Pim-1	proviral integration site 1	protein-coding	11.17	9.47	11.94
chr6-39313	chr6	140630855	140631615	+	10.9	9.077	intron (NM_001005605, intron 1 of 7)	Charlie15b|DNA|hAT-Charlie	6937.0	NM_009637	11569.0	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding	10.14	12.06	7.12
chr16-13984	chr16	52122120	52122806	+	10.9	20.51	intron (NM_001033238, intron 4 of 17)	intron (NM_001033238, intron 4 of 17)	90914.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	16.15	7.32	12.78
chr7-16656	chr7	125600411	125600911	+	10.8	24.783	Intergenic	MIR|SINE|MIR	-2768.0	NM_021887	60504.0	Mm.155643	NM_021887	ENSMUSG00000030745	Il21r	NILR	interleukin 21 receptor	protein-coding	12.03	14.21	11.1
chr16-34115	chr16	52077941	52078741	+	10.8	20.76	intron (NM_001033238, intron 3 of 17)	intron (NM_001033238, intron 3 of 17)	46792.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	15.63	10.33	13.61
chr12-11857	chr12	55440150	55440650	+	10.8	14.367	intron (NR_035430, intron 1 of 3)	MIRb|SINE|MIR	41575.0	NM_011968	26443.0	Mm.30210	NM_011968	ENSMUSG00000021024	Psma6	IOTA	proteasome (prosome, macropain) subunit, alpha type 6	protein-coding	10.65	7.1	9.21
chr12-15428	chr12	55456418	55457042	+	10.8	6.912999999999999	intron (NR_035430, intron 1 of 3)	intron (NR_035430, intron 1 of 3)	35917.0	NM_010907	18035.0	Mm.170515	NM_010907	ENSMUSG00000021025	Nfkbia	AI462015|Nfkbi	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	protein-coding	8.25	8.83	7.54
chr1-34908	chr1	52141158	52141848	+	10.7	11.82	intron (NM_009283, intron 11 of 24)	RLTR28|LTR|ERVL	21881.0	NM_001205313	20846.0	Mm.277406	NM_009283	ENSMUSG00000026104	Stat1	2010005J02Rik|AA408197	signal transducer and activator of transcription 1	protein-coding	9.11	10.55	8.38
chr16-12763	chr16	52089447	52089947	+	10.6	33.167	intron (NM_001033238, intron 3 of 17)	intron (NM_001033238, intron 3 of 17)	58148.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	14.26	14.86	10.47
chr19-12893	chr19	53554279	53554909	+	10.6	10.327	Intergenic	Intergenic	25276.0	NM_001085390	240672.0	Mm.482424	NM_001085390	0	Dusp5	Gm337	dual specificity phosphatase 5	protein-coding	7.73	4.09	7.33
chr11-20397	chr11	58021604	58022104	+	10.6	18.86	intron (NM_028451, intron 1 of 18)	intron (NM_028451, intron 1 of 18)	12790.0	NM_028451	73158.0	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	12.2	8.18	11.1
chr1-19901	chr1	167246329	167246829	+	10.6	13.2	intron (NM_030724, intron 1 of 6)	L1M4|LINE|L1	38548.0	NM_030724	80914.0	Mm.280895	NM_030724	ENSMUSG00000026558	Uck2	AA407809|AI481316|AU018180|AU020720|TSA903|UK|UMK|Umpk	uridine-cytidine kinase 2	protein-coding	11.68	7.97	11.94
chr16-12422	chr16	51767233	51767733	+	10.6	46.683	Intergenic	(TA)n|Simple_repeat|Simple_repeat	-264066.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	6.36	19.81	3.14
chr1-40054	chr1	61021878	61022512	+	10.5	19.527	Intergenic	Intergenic	44281.0	NM_017480	54167.0	Mm.42044	NM_017480	ENSMUSG00000026009	Icos	AILIM|CCLP|CRP-1|H4|Ly115	inducible T cell co-stimulator	protein-coding	9.11	12.27	14.24
chr14-9815	chr14	56288369	56288869	+	10.4	20.177	Intergenic	Intergenic	-26359.0	NM_013542	14939.0	Mm.14874	NM_013542	ENSMUSG00000015437	Gzmb	AI553453|CCP-1/C11|CCP1|Ctla-1|Ctla1|GZB	granzyme B	protein-coding	11.0	10.76	7.54
chr11-34184	chr11	70982513	70983141	+	10.4	16.067	exon (NM_007573, exon 1 of 6)	exon (NM_007573, exon 1 of 6)	199.0	NM_007573	12261.0	Mm.30049	NM_007573	ENSMUSG00000018446	C1qbp	AA407365|AA986492|D11Wsu182e|HABP1|P32|gC1qBP	complement component 1, q subcomponent binding protein	protein-coding	7.39	8.61	6.07
chr6-15499	chr6	67158713	67159213	+	10.4	53.193000000000005	Intergenic	Intergenic	-108016.0	NM_001113566	66870.0	Mm.240490	NM_025814	ENSMUSG00000036371	Serbp1	1200009K13Rik|9330147J08Rik|AL022786|Pairbp1	serpine1 mRNA binding protein 1	protein-coding	13.92	24.76	10.05
chr5-33506	chr5	134630324	134631116	+	10.3	18.973	intron (NM_033561, intron 1 of 6)	intron (NM_033561, intron 1 of 6)	8608.0	NM_033561	22384.0	Mm.27955	NM_033561	ENSMUSG00000040731	Eif4h	AU018978|D5Ertd355e|E430026L18Rik|Ef4h|Wbscr1|Wscr1|mKIAA0038	eukaryotic translation initiation factor 4H	protein-coding	15.81	12.7	11.73
chr2-21656	chr2	152804480	152804980	+	10.3	23.61	intron (NM_001289717, intron 2 of 2)	intron (NM_001289717, intron 2 of 2)	25987.0	NM_001289739	12048.0	Mm.238213	NM_009743	ENSMUSG00000007659	Bcl2l1	Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1	BCL2-like 1	protein-coding	14.6	10.76	12.15
chr16-9825	chr16	20673675	20674175	+	10.3	29.973000000000003	exon (NM_145941, exon 2 of 33)	exon (NM_145941, exon 2 of 33)	1176.0	NM_001005331	208643.0	Mm.260256	NM_145941	ENSMUSG00000045983	Eif4g1	E030015G23Rik|eIF4GI	eukaryotic translation initiation factor 4, gamma 1	protein-coding	8.76	10.98	11.52
chr11-129386	chr11	75745870	75747054	+	10.3	10.94	intron (NM_009536, intron 1 of 5)	PB1D9|SINE|Alu	13575.0	NM_009536	22627.0	Mm.234700	NM_009536	ENSMUSG00000020849	Ywhae	AU019196	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	protein-coding	11.34	9.04	10.68
chr13-11604	chr13	30841777	30842277	+	10.2	33.457	intron (NM_025588, intron 23 of 27)	intron (NM_025588, intron 23 of 27)	92769.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	8.76	29.93	6.28
chr7-18765	chr7	125590740	125591240	+	10.2	16.01	Intergenic	MYSERV16_I-int|LTR|ERVK	-12439.0	NM_021887	60504.0	Mm.155643	NM_021887	ENSMUSG00000030745	Il21r	NILR	interleukin 21 receptor	protein-coding	6.53	5.81	6.7
chr16-23247	chr16	52154959	52155591	+	10.2	14.283	intron (NM_001033238, intron 10 of 17)	intron (NM_001033238, intron 10 of 17)	123726.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	8.93	7.54	7.54
chr14-9903	chr14	37165459	37165959	+	10.2	15.63	Intergenic	Intergenic	-30387.0	NM_078478	66092.0	Mm.182912	NM_078478	ENSMUSG00000041028	Ghitm	1010001P14Rik|C77840|MICS1|PTD010|Tmbim5	growth hormone inducible transmembrane protein	protein-coding	7.39	6.24	7.96
chr4-22307	chr4	152196441	152196941	+	10.2	11.982999999999999	intron (NM_001146057, intron 1 of 8)	intron (NM_001146057, intron 1 of 8)	-3153.0	NM_001146058	70025.0	Mm.296191	NM_133348	ENSMUSG00000028937	Acot7	2410041A17Rik|Ach1|Act|Bach|CTE-IIa|Cte-II|Lach1	acyl-CoA thioesterase 7	protein-coding	17.18	12.27	15.71
chr2-21411	chr2	151545976	151546476	+	10.1	14.4	intron (NM_008019, intron 2 of 4)	intron (NM_008019, intron 2 of 4)	3727.0	NM_008019	14225.0	Mm.278458	NM_008019	ENSMUSG00000032966	Fkbp1a	12kDa|FKBP12|FKBP12-T1|FKBP12-T2|Fkbp|Fkbp1|mFKBP1|mFKBP12	FK506 binding protein 1a	protein-coding	11.0	7.32	10.68
chr1-54065	chr1	51449646	51450330	+	10.1	16.352999999999998	Intergenic	Intergenic	28411.0	NM_028696	109019.0	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	10.14	14.21	7.96
chr7-30984	chr7	125591083	125591583	+	10.0	18.237000000000002	Intergenic	MYSERV16_I-int|LTR|ERVK	-12096.0	NM_021887	60504.0	Mm.155643	NM_021887	ENSMUSG00000030745	Il21r	NILR	interleukin 21 receptor	protein-coding	7.22	6.89	6.28
chr4-14898	chr4	129049086	129049586	+	10.0	33.387	Intergenic	Intergenic	-8935.0	NM_029219	75234.0	Mm.259672	NM_029219	ENSMUSG00000028793	Rnf19b	4930534K13Rik|4930555L03Rik|Ibrdc3	ring finger protein 19B	protein-coding	14.78	17.01	12.57
chr19-39117	chr19	53557075	53557873	+	10.0	11.817	Intergenic	Intergenic	28156.0	NM_001085390	240672.0	Mm.482424	NM_001085390	0	Dusp5	Gm337	dual specificity phosphatase 5	protein-coding	13.92	8.61	11.52
chr11-23809	chr11	58024287	58024787	+	10.0	16.217	intron (NM_028451, intron 1 of 18)	intron (NM_028451, intron 1 of 18)	15473.0	NM_028451	73158.0	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	10.31	8.4	9.84
chr16-10196	chr16	10721632	10722132	+	9.91	18.692999999999998	intron (NM_177562, intron 21 of 22)	intron (NM_177562, intron 21 of 22)	63654.0	NM_009896	12703.0	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	6.01	7.32	8.38
chr13-29038	chr13	30822741	30823653	+	9.91	6.687	intron (NM_025588, intron 24 of 27)	intron (NM_025588, intron 24 of 27)	73939.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	8.07	12.92	8.38
chr7-20729	chr7	16760514	16761140	+	9.84	15.77	Intergenic	(A)n|Simple_repeat|Simple_repeat	-20519.0	NM_009201	20514.0	Mm.1056	NM_009201	ENSMUSG00000001918	Slc1a5	AAAT|ASCT2|ATBO|M7V1|M7VS1|R16|RDRC|Slc1a7	solute carrier family 1 (neutral amino acid transporter), member 5	protein-coding	6.7	5.81	6.91
chr15-15615	chr15	67031288	67031914	+	9.84	28.72	Intergenic	Intergenic	-61960.0	NM_008681	17988.0	Mm.30837	NM_008681	ENSMUSG00000005125	Ndrg1	CAP43|CMT4D|DRG1|HMSNL|NMSL|Ndr1|Ndrl|PROXY1|RTP|TDD5	N-myc downstream regulated gene 1	protein-coding	11.68	12.49	9.01
chr11-26447	chr11	46377866	46378366	+	9.84	18.0	intron (NM_001281966, intron 1 of 16)	L1ME4b|LINE|L1	11399.0	NM_001281968	16428.0	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding	11.68	11.41	8.17
chr12-13321	chr12	73763937	73764437	+	9.84	12.51	intron (NM_008856, intron 12 of 13)	(CA)n|Simple_repeat|Simple_repeat	-143680.0	NM_010431	15251.0	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding	9.45	8.61	11.1
chr1-51604	chr1	178332639	178333491	+	9.84	11.453	exon (NM_016805, exon 6 of 14)	exon (NM_016805, exon 6 of 14)	4719.0	NM_016805	51810.0	Mm.86589	NM_016805	ENSMUSG00000039630	Hnrnpu	AA408410|AI256620|AL024194|AL024437|AW557595|C86794|Hnrpu|SAFA|Sp120|hnRNP U	heterogeneous nuclear ribonucleoprotein U	protein-coding	11.0	8.83	10.89
chr10-31730	chr10	127153142	127153896	+	9.78	18.417	Intergenic	L1M4a2|LINE|L1	-11637.0	NR_045166	14421.0	Mm.386762	NM_008080	ENSMUSG00000006731	B4galnt1	4933429D13Rik|Gal-NAc-T|GalNAc-T|GalNAcT|Galgt1|Ggm-2|Ggm2	beta-1,4-N-acetyl-galactosaminyl transferase 1	protein-coding	8.93	8.61	6.7
