PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K4me2/AND-CD4TCell-ChIP-H3K4me2-All-Conditions-KAA-14-10-20/regions.txt mm10 -size given -d AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	0.1uM PCC	100uM K99A	10uM K99A	10uM PCC	No Peptide
chr11-17358	chr11	58030390	58031794	+	47.6	16.337	intron (NM_028451, intron 1 of 18)	B1_Mus2|SINE|Alu	22028	NM_028451	73158	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	56.19	42.98	41.06	47.37	39.21
chrX-2264	chrX	159372314	159373980	+	47.4	11.533	intron (NM_025437, intron 1 of 6)	intron (NM_025437, intron 1 of 6)	952	NM_025437	66235	Mm.294623	NM_025437	0	Eif1ax	1500010B24Rik|AI426898|Eif1ay	eukaryotic translation initiation factor 1A, X-linked	protein-coding	41.37	32.8	49.73	43.9	60.91
chr11-38549	chr11	58192917	58194383	+	46.5	14.453	Intergenic	Intergenic	-5906	NM_018738	16145	Mm.33902	NM_018738	ENSMUSG00000078853	Igtp	AW558444|Irgm3	interferon gamma induced GTPase	protein-coding	56.81	39.59	47.9	56.03	58.4
chr11-4000	chr11	54866532	54867300	+	46.4	27.97	intron (NM_008248, intron 1 of 2)	CpG	478	NM_008248	15254	Mm.425	NM_008248	ENSMUSG00000020267	Hint1	AA673479|Hint|Ipk1|PKCI-1|PRKCNH1	histidine triad nucleotide binding protein 1	protein-coding	21.61	16.4	27.83	19.64	30.04
chr16-4681	chr16	32593623	32594613	+	46.2	24.57	Intergenic	Intergenic	-14778	NM_011638	22042	Mm.28683	NM_011638	ENSMUSG00000022797	Tfrc	2610028K12Rik|AI195355|AI426448|AU015758|CD71|E430033M20Rik|Mtvr-1|Mtvr1|TFR|TFR1|TR|Trfr|p90	transferrin receptor	protein-coding	46.31	39.02	39.69	39.28	54.23
chr14-11897	chr14	78381480	78383126	+	45.9	21.197	Intergenic	Intergenic	-74260	NM_011613	21943	Mm.249221	NM_011613	ENSMUSG00000022015	Tnfsf11	Ly109l|ODF|OPG|OPGL|RANKL|Trance	tumor necrosis factor (ligand) superfamily, member 11	protein-coding	50.01	40.72	48.81	40.44	51.73
chr6-8550	chr6	124687933	124689107	+	45.9	13.787	intron (NM_145130, intron 1 of 12)	intron (NM_145130, intron 1 of 12)	23658	NM_013536	14791	Mm.6390	NM_013536	ENSMUSG00000004268	Emg1	C2f|Grcc2f	EMG1 nucleolar protein homolog (S. cerevisiae)	protein-coding	51.25	40.72	45.16	41.59	52.56
chr8-16655	chr8	79680275	79681483	+	45.2	60.523	Intergenic	Intergenic	30861	NM_015751	24015	Mm.5831	NM_015751	ENSMUSG00000058355	Abce1	C79080|Oabp|RLI|RNS41|Rnaseli	ATP-binding cassette, sub-family E (OABP), member 1	protein-coding	59.28	35.06	43.79	36.39	50.06
chr14-9995	chr14	78356557	78358075	+	45.1	12.652999999999999	Intergenic	Intergenic	-49273	NM_011613	21943	Mm.249221	NM_011613	ENSMUSG00000022015	Tnfsf11	Ly109l|ODF|OPG|OPGL|RANKL|Trance	tumor necrosis factor (ligand) superfamily, member 11	protein-coding	27.17	42.98	32.85	35.81	53.4
chr14-5368	chr14	56287364	56288646	+	44.9	18.143	Intergenic	Intergenic	-25745	NM_013542	14939	Mm.14874	NM_013542	ENSMUSG00000015437	Gzmb	AI553453|CCP-1/C11|CCP1|Ctla-1|Ctla1|GZB	granzyme B	protein-coding	63.6	36.2	42.43	43.9	39.21
chr2-22037	chr2	127328010	127329296	+	44.8	23.563000000000002	Intergenic	Intergenic	-7506	NM_010090	13537	Mm.4729	NM_010090	ENSMUSG00000027368	Dusp2	PAC1	dual specificity phosphatase 2	protein-coding	38.9	42.42	44.71	38.7	46.72
chr3-19341	chr3	101493480	101494542	+	44.8	49.847	Intergenic	Intergenic	110696	NM_144900	11928	Mm.280103	NM_144900	ENSMUSG00000033161	Atp1a1	Atpa-1|BC010319	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein-coding	43.22	35.06	48.36	32.93	40.05
chr3-11307	chr3	135607330	135608540	+	44.4	23.186999999999998	intron (NM_008689, intron 13 of 24)	MER44A|DNA|TcMar-Tigger	83612	NM_008689	18033	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	38.9	42.42	42.88	34.66	61.74
chr4-11905	chr4	150939649	150940675	+	43.5	22.783	intron (NM_011612, intron 7 of 7)	L1MDa|LINE|L1	12163	NM_001077509	21942	Mm.244187	NM_011612	ENSMUSG00000028965	Tnfrsf9	4-1BB|A930040I11Rik|AA408498|AI325004|CDw137|Cd137|ILA|Ly63	tumor necrosis factor receptor superfamily, member 9	protein-coding	38.9	44.11	44.71	34.08	61.74
chr16-1762	chr16	10771859	10772761	+	43.1	56.113	Intergenic	Intergenic	13226	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	58.66	44.68	51.09	43.9	69.25
chr1-3277	chr1	51596756	51597632	+	43.1	57.486999999999995	Intergenic	Intergenic	-118795	NM_028696	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	51.25	31.11	46.99	43.32	53.4
chr16-5789	chr16	91917558	91918458	+	42.9	46.84	3' UTR (NM_010587, exon 39 of 39)	3' UTR (NM_010587, exon 39 of 39)	13622	NM_138597	28080	Mm.41	NM_138597	ENSMUSG00000022956	Atp5o	ATPO|D12Wsu28e|OSCP	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	protein-coding	40.75	36.76	43.79	40.44	55.07
chr1-35996	chr1	51572011	51573827	+	42.9	9.647	Intergenic	ORR1F|LTR|ERVL-MaLR	-94520	NM_028696	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	43.84	45.24	46.08	45.06	39.21
chr16-9335	chr16	10740409	10741911	+	42.3	18.427	intron (NM_177562, intron 22 of 22)	(A)n|Simple_repeat|Simple_repeat	44376	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	44.46	32.24	47.9	45.06	45.05
chr4-14177	chr4	152200753	152202101	+	42.1	8.993	intron (NM_001146058, intron 1 of 8)	intron (NM_001146058, intron 1 of 8)	1583	NM_001146058	70025	Mm.296191	NM_133348	ENSMUSG00000028937	Acot7	2410041A17Rik|Ach1|Act|Bach|CTE-IIa|Cte-II|Lach1	acyl-CoA thioesterase 7	protein-coding	41.37	37.33	46.08	41.01	43.39
chr8-18200	chr8	120887038	120888632	+	41.0	31.49	Intergenic	G-rich|Low_complexity|Low_complexity	151459	NM_008320	15900	Mm.334861	NM_008320	ENSMUSG00000041515	Irf8	AI893568|ICSBP|IRF-8|Icsbp1|Myls	interferon regulatory factor 8	protein-coding	37.05	27.71	37.86	38.7	49.23
chr16-10356	chr16	52080781	52082055	+	40.9	21.643	intron (NM_001033238, intron 3 of 17)	AT_rich|Low_complexity|Low_complexity	49869	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	61.75	42.98	57.02	45.06	59.24
chr10-5825	chr10	127150160	127151194	+	40.8	14.257	Intergenic	Intergenic	-14479	NM_001244617	14421	Mm.386762	NM_008080	ENSMUSG00000006731	B4galnt1	4933429D13Rik|Gal-NAc-T|GalNAc-T|GalNAcT|Galgt1|Ggm-2|Ggm2	beta-1,4-N-acetyl-galactosaminyl transferase 1	protein-coding	41.99	33.93	47.44	31.77	47.56
chrX-8664	chrX	36795390	36797358	+	40.7	20.08	intron (NM_007451, intron 1 of 3)	CpG	722	NM_007451	11740	Mm.371544	NM_007451	ENSMUSG00000016319	Slc25a5	Ant2	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	protein-coding	43.22	33.37	48.36	30.62	40.88
chr3-7819	chr3	108458723	108459869	+	40.3	10.943	intron (NM_001033304, intron 20 of 20)	(TC)n|Simple_repeat|Simple_repeat	-14037	NM_011319	20226	Mm.28688	NM_011319	ENSMUSG00000068739	Sars	Sars1|Strs|serRS	seryl-aminoacyl-tRNA synthetase	protein-coding	46.31	23.75	36.95	22.53	27.53
chr10-17909	chr10	80955152	80956616	+	40.0	18.442999999999998	intron (NM_001038655, intron 2 of 3)	intron (NM_001038655, intron 2 of 3)	25793	NM_008655	17873	Mm.1360	NM_008655	ENSMUSG00000015312	Gadd45b	AI323528|Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	43.22	29.41	28.74	42.75	27.53
chr10-19600	chr10	30802191	30803213	+	39.7	22.956999999999997	intron (NM_172495, intron 1 of 15)	CpG	405	NM_172495	211329	Mm.297903	NM_172495	ENSMUSG00000039697	Ncoa7	9030406N13Rik	nuclear receptor coactivator 7	protein-coding	22.23	20.93	34.67	27.73	43.39
chr6-13377	chr6	140682131	140683355	+	39.7	17.49	Intergenic	Intergenic	58445	NM_009637	11569	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding	40.75	41.29	40.15	31.19	47.56
chr1-13737	chr1	51513257	51514709	+	39.0	7.6129999999999995	Intergenic	Intergenic	-35584	NM_028696	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	34.58	31.11	30.56	35.24	29.2
chr8-11814	chr8	94735503	94736767	+	38.8	19.003	Intergenic	Intergenic	-9549	NM_009137	20299	Mm.12895	NM_009137	ENSMUSG00000031779	Ccl22	ABCD-1|DCBCK|MDC|Scya22	chemokine (C-C motif) ligand 22	protein-coding	43.84	28.84	51.09	32.93	33.37
chr17-4018	chr17	35209964	35210858	+	37.8	22.123	Intergenic	Intergenic	-5060	NM_010735	16992	Mm.87787	NM_010735	ENSMUSG00000024402	Lta	LT|LT-[a]|LT-alpha|LT[a]|LTalpha|Ltx|TNF-beta|TNFSF1|Tnfb|Tnfsf1b|hlb382	lymphotoxin A	protein-coding	54.95	35.63	43.79	35.24	36.71
chr17-9136	chr17	29502580	29503962	+	37.7	16.293	Intergenic	Intergenic	12226	NM_008842	18712	Mm.405293	NM_008842	0	Pim1	Pim-1	proviral integration site 1	protein-coding	46.93	35.06	36.95	36.97	31.7
chr6-12162	chr6	124693742	124695012	+	37.3	11.933	intron (NM_145130, intron 1 of 12)	intron (NM_145130, intron 1 of 12)	17801	NM_013536	14791	Mm.6390	NM_013536	ENSMUSG00000004268	Emg1	C2f|Grcc2f	EMG1 nucleolar protein homolog (S. cerevisiae)	protein-coding	44.46	28.28	42.43	27.15	50.89
chr11-11343	chr11	58020788	58021782	+	36.3	12.887	intron (NM_028451, intron 1 of 18)	intron (NM_028451, intron 1 of 18)	12221	NM_028451	73158	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	40.75	32.8	34.67	45.06	28.37
chr11-20587	chr11	58034439	58035863	+	35.8	17.17	intron (NM_028451, intron 1 of 18)	intron (NM_028451, intron 1 of 18)	26087	NM_028451	73158	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	37.05	41.29	40.15	32.93	26.7
chr5-5454	chr5	135794338	135795094	+	35.8	43.556999999999995	Intergenic	Intergenic	16067	NM_008617	17448	Mm.297096	NM_008617	ENSMUSG00000019179	Mdh2	MDH|Mdh-2|Mor-1|Mor1	malate dehydrogenase 2, NAD (mitochondrial)	protein-coding	37.05	20.93	35.58	27.73	51.73
chr15-16676	chr15	66962362	66963516	+	35.6	5.19	intron (NM_008681, intron 1 of 15)	intron (NM_008681, intron 1 of 15)	6702	NM_008681	17988	Mm.30837	NM_008681	ENSMUSG00000005125	Ndrg1	CAP43|CMT4D|DRG1|HMSNL|NMSL|Ndr1|Ndrl|PROXY1|RTP|TDD5	N-myc downstream regulated gene 1	protein-coding	41.37	24.88	26.0	41.01	35.88
chr16-5837	chr16	52199804	52200788	+	35.5	36.09	intron (NM_001033238, intron 17 of 17)	L1M2|LINE|L1	168747	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	42.6	27.15	36.5	34.08	42.55
chr1-12173	chr1	52115988	52116980	+	35.3	15.307	Intergenic	Intergenic	-2954	NM_009283	20846	Mm.277406	NM_009283	ENSMUSG00000026104	Stat1	2010005J02Rik|AA408197	signal transducer and activator of transcription 1	protein-coding	24.7	21.49	29.2	30.04	20.02
chr11-13422	chr11	99182535	99183421	+	35.3	19.073	Intergenic	Intergenic	-27901	NM_007719	12775	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding	26.55	34.5	35.58	28.88	39.21
chr16-3305	chr16	91869590	91870468	+	35.1	24.377	intron (NM_010587, intron 28 of 38)	intron (NM_010587, intron 28 of 38)	61601	NM_138597	28080	Mm.41	NM_138597	ENSMUSG00000022956	Atp5o	ATPO|D12Wsu28e|OSCP	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	protein-coding	33.34	24.88	24.63	24.84	24.2
chr18-2113	chr18	82469664	82470416	+	35.1	43.1	Intergenic	Intergenic	-5083	NM_010777	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	27.79	21.49	29.2	35.81	30.87
chr16-6153	chr16	10723321	10724419	+	35.0	8.743	intron (NM_177562, intron 21 of 22)	intron (NM_177562, intron 21 of 22)	61666	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	35.19	34.5	32.39	36.97	33.37
chr14-10214	chr14	56283308	56284494	+	35.0	15.51	Intergenic	Intergenic	-21641	NM_013542	14939	Mm.14874	NM_013542	ENSMUSG00000015437	Gzmb	AI553453|CCP-1/C11|CCP1|Ctla-1|Ctla1|GZB	granzyme B	protein-coding	44.46	26.02	35.58	31.77	36.71
chr1-20014	chr1	167241979	167243131	+	34.5	17.49	intron (NM_030724, intron 1 of 6)	intron (NM_030724, intron 1 of 6)	42572	NM_030724	80914	Mm.280895	NM_030724	ENSMUSG00000026558	Uck2	AA407809|AI481316|AU018180|AU020720|TSA903|UK|UMK|Umpk	uridine-cytidine kinase 2	protein-coding	36.43	36.2	30.56	23.68	35.04
chrX-6033	chrX	36807256	36808916	+	34.4	21.377	Intergenic	CpG	12434	NM_007451	11740	Mm.371544	NM_007451	ENSMUSG00000016319	Slc25a5	Ant2	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	protein-coding	39.52	24.88	43.79	18.48	32.54
chr15-12296	chr15	101249527	101250535	+	33.8	17.003	Intergenic	Intergenic	-16815	NM_010444	15370	Mm.119	NM_010444	ENSMUSG00000023034	Nr4a1	GFRP1|Gfrp|Hbr-1|Hbr1|Hmr|N10|NGFI-B|NGFIB|NP10|TIS1|TR3|nur77	nuclear receptor subfamily 4, group A, member 1	protein-coding	25.32	29.41	20.07	32.35	18.36
chr4-9061	chr4	150937750	150938778	+	33.7	19.757	intron (NM_011612, intron 7 of 7)	L1M5|LINE|L1	10265	NM_001077509	21942	Mm.244187	NM_011612	ENSMUSG00000028965	Tnfrsf9	4-1BB|A930040I11Rik|AA408498|AI325004|CDw137|Cd137|ILA|Ly63	tumor necrosis factor receptor superfamily, member 9	protein-coding	31.49	23.75	42.88	29.46	40.88
chr12-7309	chr12	55388151	55389183	+	33.6	23.497	intron (NR_035430, intron 1 of 3)	intron (NR_035430, intron 1 of 3)	-10158	NM_011968	26443	Mm.30210	NM_011968	ENSMUSG00000021024	Psma6	IOTA	proteasome (prosome, macropain) subunit, alpha type 6	protein-coding	41.99	34.5	31.02	33.5	44.22
chr3-16316	chr3	37605711	37606773	+	33.3	10.392999999999999	Intergenic	Intergenic	-33708	NM_011896	24063	Mm.330986	NM_011896	ENSMUSG00000037211	Spry1	sprouty1	sprouty homolog 1 (Drosophila)	protein-coding	31.49	35.06	25.55	19.64	29.2
chr11-47315	chr11	75745519	75747437	+	33.3	11.607000000000001	intron (NM_009536, intron 1 of 5)	(TTTTTA)n|Simple_repeat|Simple_repeat	13591	NM_009536	22627	Mm.234700	NM_009536	ENSMUSG00000020849	Ywhae	AU019196	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	protein-coding	32.11	32.24	29.65	24.84	28.37
chr15-17202	chr15	78509435	78510721	+	32.9	11.607000000000001	Intergenic	Intergenic	-15012	NM_008368	16185	Mm.35287	NM_008368	ENSMUSG00000068227	Il2rb	CD122|IL-15Rbeta|IL15Rbeta|Il-2/15Rbeta|Il-2Rbeta|p70	interleukin 2 receptor, beta chain	protein-coding	30.87	28.28	28.74	26.57	18.36
chr6-25225	chr6	140560184	140561138	+	32.2	20.666999999999998	intron (NM_144920, intron 15 of 30)	C-rich|Low_complexity|Low_complexity	-62002	NM_178803	11569	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding	29.02	21.49	15.97	38.7	9.18
chr16-8010	chr16	10774663	10775765	+	32.0	29.08	Intergenic	Intergenic	10322	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	35.19	40.72	36.04	31.19	44.22
chr14-25060	chr14	52106223	52107707	+	31.5	12.213	Intergenic	B1F2|SINE|Alu	-2937	NM_001170984	15381	Mm.427321	NM_016884	ENSMUSG00000060373	Hnrnpc	AL022939|D14Wsu171e|Hnrpc|Hnrpc1|Hnrpc2|hnRNPC1|hnRNPC2|hnrnp-C	heterogeneous nuclear ribonucleoprotein C	protein-coding	33.34	28.28	26.0	35.24	35.88
chrX-10230	chrX	20666526	20668126	+	31.3	8.53	intron (NM_001136085, intron 1 of 25)	intron (NM_001136085, intron 1 of 25)	4430	NM_001136085	22201	Mm.1104	NM_009457	ENSMUSG00000001924	Uba1	A1S9|Sbx|Ube-1|Ube1x	ubiquitin-like modifier activating enzyme 1	protein-coding	30.26	26.58	24.63	23.11	16.69
chr5-22990	chr5	148264589	148265721	+	30.8	34.58	intron (NM_029920, intron 7 of 14)	(CTG)n|Simple_repeat|Simple_repeat	134749	NM_007513	11987	Mm.275489	NM_007513	ENSMUSG00000041313	Slc7a1	4831426K01Rik|AI447493|Atrc-1|Atrc1|Cat1|Rec-1|Rev-1|mCAT-1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	protein-coding	30.87	19.23	33.76	24.84	38.38
chr8-12568	chr8	120895243	120896297	+	30.7	23.5	Intergenic	Intergenic	159394	NM_008320	15900	Mm.334861	NM_008320	ENSMUSG00000041515	Irf8	AI893568|ICSBP|IRF-8|Icsbp1|Myls	interferon regulatory factor 8	protein-coding	41.37	23.75	34.21	22.53	30.87
chr1-35919	chr1	36784284	36785338	+	30.3	9.883	Intergenic	Intergenic	5827	NM_001289612	22637	Mm.8038	NM_009539	ENSMUSG00000026117	Zap70	Srk|ZAP-70|mrtle|mur	zeta-chain (TCR) associated protein kinase	protein-coding	32.11	18.1	27.37	20.22	30.87
chr5-21163	chr5	148342095	148343069	+	30.3	24.503	intron (NM_007513, intron 6 of 12)	intron (NM_007513, intron 6 of 12)	57322	NM_007513	11987	Mm.275489	NM_007513	ENSMUSG00000041313	Slc7a1	4831426K01Rik|AI447493|Atrc-1|Atrc1|Cat1|Rec-1|Rev-1|mCAT-1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	protein-coding	35.19	27.15	30.56	24.26	45.05
chr12-10795	chr12	73778942	73779848	+	30.3	12.993	Intergenic	Intergenic	-128472	NM_010431	15251	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding	31.49	18.66	33.3	27.15	10.01
chr15-24798	chr15	77933504	77934342	+	30.0	62.806999999999995	Intergenic	Intergenic	-4929	NM_019913	56551	Mm.291917	NM_019913	ENSMUSG00000005354	Txn2	2510006J11Rik|AI788873|Trx2	thioredoxin 2	protein-coding	31.49	27.15	37.86	24.84	44.22
chr1-4657	chr1	36744442	36745192	+	29.6	38.277	intron (NR_040290, intron 7 of 8)	B3|SINE|B2	-16981	NM_009539	22637	Mm.8038	NM_009539	ENSMUSG00000026117	Zap70	Srk|ZAP-70|mrtle|mur	zeta-chain (TCR) associated protein kinase	protein-coding	27.79	24.32	29.2	23.68	41.72
chr9-8018	chr9	40805021	40805931	+	29.6	13.183	TTS (NM_031165)	TTS (NM_031165)	4203	NM_031165	15481	Mm.290774	NM_031165	ENSMUSG00000015656	Hspa8	2410008N15Rik|Hsc70|Hsc71|Hsc73|Hsp73|Hspa10	heat shock protein 8	protein-coding	37.05	35.63	20.53	42.17	11.68
chr6-9504	chr6	129262616	129264008	+	29.4	16.167	Intergenic	RMER12|LTR|ERVK	12057	NM_001033122	12515	Mm.74745	NM_001033122	ENSMUSG00000030156	Cd69	5830438K24Rik|AI452015|AIM|VEA	CD69 antigen	protein-coding	34.58	24.32	30.56	35.81	25.03
chr1-12981	chr1	51508802	51510266	+	29.3	15.802999999999999	Intergenic	Intergenic	-31135	NM_028696	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	36.43	26.58	36.5	36.97	20.02
chr11-39116	chr11	58015815	58017039	+	29.0	10.837	intron (NM_028451, intron 1 of 18)	intron (NM_028451, intron 1 of 18)	7363	NM_028451	73158	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	40.13	24.32	17.79	43.9	20.02
chr2-16002	chr2	93468512	93469304	+	28.8	14.267000000000001	non-coding (NR_040532, exon 5 of 5)	non-coding (NR_040532, exon 5 of 5)	-5958	NM_001136055	12521	Mm.4261	NM_007656	ENSMUSG00000027215	Cd82	AA682076|AL023070|C33|IA4|Kai1|Tspan27	CD82 antigen	protein-coding	27.79	32.8	33.76	23.68	31.7
chr12-7827	chr12	55438772	55439774	+	28.2	6.9270000000000005	intron (NR_035430, intron 1 of 3)	intron (NR_035430, intron 1 of 3)	40448	NM_011968	26443	Mm.30210	NM_011968	ENSMUSG00000021024	Psma6	IOTA	proteasome (prosome, macropain) subunit, alpha type 6	protein-coding	17.91	26.58	20.53	18.48	20.86
chr13-10786	chr13	9030052	9031144	+	27.9	15.457	Intergenic	Lx2|LINE|L1	-34586	NM_027000	69237	Mm.41800	NM_027000	ENSMUSG00000021149	Gtpbp4	2610028C09Rik|Crfg|Gtpbp3|NGB|Nog1	GTP binding protein 4	protein-coding	27.79	24.32	23.27	37.55	27.53
chr3-8229	chr3	130796245	130797123	+	27.6	14.24	Intergenic	Intergenic	-66286	NM_001005859	68436	Mm.140568	NM_026724	ENSMUSG00000062006	Rpl34	1100001I22Rik	ribosomal protein L34	protein-coding	32.11	20.93	32.39	31.19	19.19
chr1-17897	chr1	60973515	60974363	+	27.6	19.56	Intergenic	Intergenic	-3975	NM_017480	54167	Mm.42044	NM_017480	ENSMUSG00000026009	Icos	AILIM|CCLP|CRP-1|H4|Ly115	inducible T cell co-stimulator	protein-coding	33.34	27.71	22.81	24.26	24.2
chr11-19319	chr11	58025756	58026764	+	27.4	10.873	intron (NM_028451, intron 1 of 18)	intron (NM_028451, intron 1 of 18)	17196	NM_028451	73158	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	23.46	31.11	27.37	34.66	18.36
chr2-10521	chr2	152802433	152803309	+	27.4	13.577	intron (NM_001289717, intron 2 of 2)	intron (NM_001289717, intron 2 of 2)	27846	NM_001289739	12048	Mm.238213	NM_009743	ENSMUSG00000007659	Bcl2l1	Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1	BCL2-like 1	protein-coding	19.14	24.88	20.53	21.37	20.86
chr6-6702	chr6	140546521	140547295	+	27.3	11.902999999999999	intron (NM_144920, intron 11 of 30)	intron (NM_144920, intron 11 of 30)	-75755	NM_178803	11569	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding	26.55	29.41	15.97	19.06	36.71
chr8-11208	chr8	120763600	120765084	+	27.3	13.972999999999999	Intergenic	(CCCA)n|Simple_repeat|Simple_repeat	27966	NM_008320	15900	Mm.334861	NM_008320	ENSMUSG00000041515	Irf8	AI893568|ICSBP|IRF-8|Icsbp1|Myls	interferon regulatory factor 8	protein-coding	27.79	26.02	23.72	17.91	23.36
chr1-15820	chr1	51528955	51530149	+	27.1	12.482999999999999	Intergenic	Intergenic	-51153	NM_028696	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	19.14	18.66	26.0	19.64	18.36
chr1-11934	chr1	61046455	61047553	+	27.0	23.26	Intergenic	IMPB_01|Satellite|Satellite	69090	NM_017480	54167	Mm.42044	NM_017480	ENSMUSG00000026009	Icos	AILIM|CCLP|CRP-1|H4|Ly115	inducible T cell co-stimulator	protein-coding	33.34	27.15	21.44	28.3	17.52
chr2-38188	chr2	167058151	167059403	+	27.0	12.867	intron (NM_001033196, intron 2 of 13)	Lx|LINE|L1	-4157	NM_001081005	68949	Mm.391959	NM_001081005	ENSMUSG00000074578	1500012F01Rik	Zfas1	RIKEN cDNA 1500012F01 gene	protein-coding	35.19	26.58	23.27	24.84	27.53
